Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,BASC,500,,001,Process Fundamentals,Harish Krishnan,44,83.1,84.0,81.8,84.3,88.0,78.0,,,,,,,,,29,11,
UBCV,2021,W,BASC,500,,301,Process Fundamentals,Harish Krishnan,43,83.3,83.0,82.0,85.0,90.0,76.0,,,,,,,,,28,11,
UBCV,2021,W,BASC,500,,820,Process Fundamentals,Woonghee Tim Huh,33,86.6,87.0,84.0,90.0,94.0,72.0,,,,,,,,,6,12,12
UBCV,2021,W,BASC,500,,BA1,Process Fundamentals,Harish Krishnan,65,82.7,83.0,81.0,84.0,88.0,76.0,,,,,,,,,46,14,
UBCV,2021,W,BASC,523,,001,Supply Chain Management,Harish Krishnan,47,83.2,83.0,82.0,84.0,88.0,79.0,,,,,,,,,35,10,
UBCV,2021,W,BASC,523,,002,Supply Chain Management,Harish Krishnan,56,83.7,84.0,82.0,85.0,89.0,78.0,,,,,,,,,33,20,
UBCV,2021,W,BASC,523,,BA1,Supply Chain Management,Harish Krishnan,65,82.5,82.0,81.0,84.0,86.0,80.0,0,0,0,0,0,0,0,0,54,11,0
UBCV,2021,W,BASC,523,,DD1,Supply Chain Management,Christopher Ryan,33,82.2,82.0,79.0,85.0,90.0,75.0,,,,,,,,7,14,8,
UBCV,2021,W,BASC,523,,DD2,Supply Chain Management,Christopher Ryan,33,81.8,82.0,80.0,85.0,89.0,76.0,0,0,0,0,0,0,0,8,16,9,0
UBCV,2021,W,BASC,523,,MM1,Supply Chain Management,Mahesh Nagarajan,46,75.9,75.0,72.0,80.0,90.0,64.0,,,,,,7,12,,13,,
UBCV,2021,W,BASC,524,,001,Supply Chain Analytics,Harish Krishnan,21,84.0,84.0,83.0,85.0,88.0,80.0,0,0,0,0,0,0,0,0,14,7,0
UBCV,2021,W,BASC,525,,302,Supply Chain Strategy and Analytics,Harish Krishnan,27,84.6,85.0,82.0,87.0,89.0,81.0,0,0,0,0,0,0,0,0,13,14,0
UBCV,2021,W,BASC,550,,001,Operations,Christopher Ryan,50,82.0,82.0,81.0,83.0,85.0,79.0,,,,,,,,,48,,
UBCV,2021,W,BASC,550,,002,Operations,Christopher Ryan,51,82.2,82.0,81.5,83.0,84.0,80.0,0,0,0,0,0,0,0,0,51,0,0
UBCV,2021,W,BASC,550,,101,Operations,Woonghee Tim Huh,42,87.3,89.0,85.0,90.0,94.0,61.0,,,,,,,,,6,15,19
UBCV,2021,W,BASC,550,,301,Operations,Christopher Ryan,48,82.3,82.0,81.0,83.0,85.0,80.0,,,,,,,,,46,,
UBCV,2021,W,BASC,550,,821,Operations,Mahesh Nagarajan,22,78.6,80.0,76.0,82.0,85.0,68.0,,,,,,,,,12,,
UBCV,2021,W,BASC,550,,DD1,Operations,Michael Kim,32,81.2,81.5,77.3,86.3,93.0,65.0,,,,,,,,,10,6,
UBCV,2021,W,BASC,550,,DD2,Operations,Michael Kim,33,81.0,82.0,78.0,85.0,91.0,65.0,,,,,,,,,13,8,
UBCV,2021,W,BASC,550,,MM1,Operations,Christopher Ryan,46,83.2,83.0,81.3,85.0,89.0,77.0,,,,,,,,,30,13,
