Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,ISCI,311,,201,The Size of Things,Robert James Evans,46,92.4,94.0,91.0,96.8,100.0,55.0,,,,,,,,,,,37
UBCV,2021,W,ISCI,312,,101,Symmetry,Robert James Evans,57,89.5,89.0,87.0,93.0,98.0,76.0,,,,,,,,,,25,28
UBCV,2021,W,ISCI,320,,201,Research Development Project,Hendrik Blok,15,84.9,85.0,83.5,89.0,92.0,73.0,,,,,,,,,,,
UBCV,2021,W,ISCI,330,A,101,Topics in Integrated Sciences,Denise Gabriel,25,89.0,90.0,87.0,93.0,95.0,76.0,,,,,,,,,,,16
UBCV,2021,W,ISCI,330,B,201,Topics in Integrated Sciences,Elisabeth Ormandy,15,85.7,86.0,84.5,88.5,93.0,73.0,,,,,,,,,,8,
UBCV,2021,W,ISCI,350,,101,Darwinian Medicine,Leticia Aviles,33,86.7,87.0,82.0,91.0,98.0,73.0,,,,,,,,,6,7,14
UBCV,2021,W,ISCI,360,,201,Systems Approaches to Regional Sustainability,Denise Gabriel,69,86.9,88.0,85.0,91.0,97.0,58.0,,,,,,,,,9,25,27
UBCV,2021,W,ISCI,433,,101,Ethical Issues in Science,Rana Ahmad;Elisabeth Ormandy,25,84.1,85.0,83.0,88.0,91.0,68.0,,,,,,,,,8,10,
UBCV,2021,W,ISCI,448,C,102,Directed Studies,Lee Groat,9,95.4,95.0,95.0,97.0,100.0,85.0,,,,,,,,,,,8
UBCV,2021,W,ISCI,448,D,001,Directed Studies,Lee Groat,24,90.2,90.0,88.3,93.5,100.0,75.0,,,,,,,,,,,17
