Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,LING,100,,001,Introduction to Language and Linguistics,Amanda Cardoso,165,76.6,80.0,71.0,85.0,93.0,7.0,7,,,8,10,11,14,23,41,33,12
UBCV,2021,W,LING,100,,002,Introduction to Language and Linguistics,Sylvia Cho,162,78.3,81.0,74.0,86.8,99.0,0.0,,,,7,6,,19,15,42,35,24
UBCV,2021,W,LING,100,,003,Introduction to Language and Linguistics,Amanda Cardoso,155,77.4,80.0,72.0,84.0,95.0,14.0,,,,,8,13,21,22,44,21,13
UBCV,2021,W,LING,100,,004,Introduction to Language and Linguistics,Sylvia Cho,154,79.0,80.5,74.0,86.0,97.0,16.0,,,,,11,11,13,23,28,42,17
UBCV,2021,W,LING,101,,001,Languages of the World,Neda Todorovic,151,83.0,88.0,78.5,95.0,100.0,0.0,8,,,8,,6,8,7,17,26,68
UBCV,2021,W,LING,101,,003,Languages of the World,Strang Burton,166,87.5,90.5,84.0,96.0,100.0,58.0,,,,,7,7,,9,21,28,86
UBCV,2021,W,LING,101,,CAP,Languages of the World,Strang Burton;Gloria Mellesmoen,76,76.2,78.5,69.0,85.3,97.0,1.0,,,,,6,9,7,8,12,17,7
UBCV,2021,W,LING,140,,002,Challenging Language Myths,Laurel Brinton;Gunnar Hansson,37,76.0,77.0,71.0,83.0,92.0,54.0,,,,,,,7,,9,,
UBCV,2021,W,LING,170,,001,Introduction to How to Learn a Language,Strang Burton,83,77.7,82.0,73.5,86.0,93.0,26.0,,,,,,6,,12,25,18,6
UBCV,2021,W,LING,200,,001,Linguistic Theory and Analysis I,Anne-Michelle Tessier,147,81.2,86.0,76.0,91.0,98.0,0.0,7,,,,6,6,11,13,19,25,55
UBCV,2021,W,LING,201,,002,Linguistic Theory and Analysis II,Lisa Matthewson,133,80.6,86.0,74.0,92.0,100.0,0.0,7,,,,9,,11,10,12,16,56
UBCV,2021,W,LING,209,,002,"Clinical Topics in Speech, Language, and Hearing Sciences",Md Jahurul Islam,132,73.3,75.0,67.8,83.0,95.0,5.0,6,,,8,12,12,24,16,19,20,8
UBCV,2021,W,LING,222,,001,Language Acquisition,Carla Hudson Kam,96,76.1,80.0,67.0,86.3,99.0,24.0,6,,,,7,,8,9,18,19,13
UBCV,2021,W,LING,242,,001,Computational Tools for Linguistic Analysis,Jungyeul Park,11,91.6,92.0,89.5,95.5,100.0,76.0,,,,,,,,,,,8
UBCV,2021,W,LING,270,,002,Introduction to Studies in Second Language Acquisition,Stefka Marinova-Todd,25,81.1,84.0,79.0,87.0,90.0,66.0,,,,,,,,,8,8,
UBCV,2021,W,LING,300,,001,Studies in Grammar,Rose-Marie Dechaine,65,85.8,87.0,83.0,90.0,97.0,43.0,,,,,,,,,14,24,20
UBCV,2021,W,LING,300,,002,Studies in Grammar,Rose-Marie Dechaine,38,80.9,82.0,74.5,87.0,95.0,57.0,,,,,,,,,11,7,8
UBCV,2021,W,LING,308,,002,The Languages of Africa,Joash Gambarage,19,77.6,82.0,77.0,88.5,94.0,11.0,,,,,,,,,,,
UBCV,2021,W,LING,311,,001,Studies in Phonology,Douglas Pulleyblank,56,72.2,74.0,66.0,81.0,91.0,17.0,,,6,,6,7,,9,9,6,
UBCV,2021,W,LING,311,,002,Studies in Phonology,Douglas Pulleyblank,45,69.7,73.0,60.0,81.0,88.0,20.0,,,6,,,,,,6,8,
UBCV,2021,W,LING,313,,001,Introduction to Linguistic Phonetics and Speech Science,Amanda Cardoso,51,78.7,80.0,75.5,86.5,96.0,33.0,,,,,,,,9,11,10,8
UBCV,2021,W,LING,313,,002,Introduction to Linguistic Phonetics and Speech Science,Md Jahurul Islam,45,80.4,81.0,76.0,87.0,94.0,45.0,,,,,,,6,,10,14,
UBCV,2021,W,LING,314,,002,Instrumental Phonetics,Murray Schellenberg,78,86.9,88.5,85.0,92.0,97.0,41.0,,,,,,,,,9,24,36
UBCV,2021,W,LING,319,,002,Historical Linguistics,Gunnar Hansson,31,77.2,76.0,70.5,85.0,93.0,55.0,,,,,,6,,,,6,
UBCV,2021,W,LING,327,,001,Introduction to Semantics,Hotze Rullmann,57,78.6,80.0,74.0,83.0,95.0,54.0,,,,,,,14,7,20,7,
UBCV,2021,W,LING,333,,002,Research Methods for Linguistics,Md Jahurul Islam,57,82.3,85.0,80.0,87.0,93.0,53.0,,,,,,,,,13,26,
UBCV,2021,W,LING,342,,001,Computational Models of Language,Garrett Nicolai,17,69.6,76.0,65.0,80.0,88.0,0.0,,,,,,,,,,,
UBCV,2021,W,LING,345,,002,Pragmatics,Henry Thomas Davis,39,76.3,77.0,72.0,80.5,88.0,60.0,,,,,,,,15,8,,
UBCV,2021,W,LING,405,,002,Morphology,Christopher Hammerly,15,88.4,88.0,85.5,91.0,97.0,80.0,,,,,,,,,,,6
UBCV,2021,W,LING,410,,001,Advanced Phonology,Gunnar Hansson,7,75.9,79.0,75.5,82.0,85.0,52.0,,,,,,,,,,,
UBCV,2021,W,LING,421,,001,Advanced Syntax,Henry Thomas Davis,12,75.9,80.5,77.0,84.0,88.0,31.0,,,,,,,,,7,,
UBCV,2021,W,LING,425,,002,Advanced Semantics,Hotze Rullmann,19,76.0,79.0,72.5,88.0,99.0,0.0,,,,,,,,,,,
UBCV,2021,W,LING,433,,002,Native Languages of the Americas,Suzanne Gessner,12,75.4,81.5,76.8,86.0,90.0,15.0,,,,,,,,,,,
UBCV,2021,W,LING,440,,002,Language as a Social Instrument,Amanda Cardoso;Hotze Rullmann,25,79.2,79.0,76.0,84.0,92.0,48.0,,,,,,,,7,6,,
UBCV,2021,W,LING,445,,002,Sociolinguistics,Amanda Cardoso,34,78.1,79.0,75.0,83.8,90.0,56.0,,,,,,,6,7,8,6,
UBCV,2021,W,LING,447,L,001,Topics in Linguistics,Eva Csipak,12,74.7,78.5,67.0,81.5,95.0,51.0,,,,,,,,,,,
UBCV,2021,W,LING,447,N,001,Topics in Linguistics,Henry Thomas Davis,26,82.0,83.0,79.3,84.8,89.0,74.0,,,,,,,,6,12,7,
UBCV,2021,W,LING,447,O,002,Topics in Linguistics,Christopher Hammerly,24,93.2,96.0,92.8,98.0,100.0,50.0,,,,,,,,,,,20
UBCV,2021,W,LING,447,P,002,Topics in Linguistics,Marcin Morzycki;Anne-Michelle Tessier,23,87.3,93.0,84.0,97.0,99.0,53.0,,,,,,,,,,,13
UBCV,2021,W,LING,451,,002,Acquisition of Phonology,Anne-Michelle Tessier,46,85.9,88.5,82.3,92.0,99.0,38.0,,,,,,,,,12,6,23
UBCV,2021,W,LING,452,,001,Acquisition of Syntax,Carla Hudson Kam,41,84.1,85.0,80.0,91.0,97.0,53.0,,,,,,,,,12,7,14
UBCV,2021,W,LING,508,,002,Phonetic Theory & Analysis,Bryan Gick,11,88.4,88.0,87.5,90.0,90.0,86.0,,,,,,,,,,7,
UBCV,2021,W,LING,510,,001,Phonological Theory and Analysis,Gunnar Hansson,6,87.7,88.0,85.8,89.5,92.0,83.0,,,,,,,,,,,
UBCV,2021,W,LING,513,,001,Topics in Phonetics,Marton Soskuthy,6,87.2,88.5,85.5,90.0,91.0,80.0,,,,,,,,,,,
UBCV,2021,W,LING,530,G,001,Linguistic Problems in a Special Area,Muhammad Abdul-Mageed,10,87.2,86.0,86.0,87.0,91.0,86.0,,,,,,,,,,8,
UBCV,2021,W,LING,530,L,001,Linguistic Problems in a Special Area,Lisa Matthewson,7,95.0,95.0,95.0,95.0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,7
UBCV,2021,W,LING,531,,001,Field Methods in Linguistics I,Michael Ryan Bochnak,9,89.1,90.0,87.0,92.0,94.0,82.0,,,,,,,,,,,
UBCV,2021,W,LING,532,,002,Field Methods in Linguistics II,Michael Ryan Bochnak,7,90.7,91.0,88.5,94.5,96.0,82.0,,,,,,,,,,,
