Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,PHIL,100,,001,Introduction to Philosophy,Dominic Lopes,100,74.5,77.5,69.0,84.0,99.0,27.0,7,,,,7,10,13,14,21,13,7
UBCV,2021,W,PHIL,101,,001,Introduction to Philosophy,Eric Margolis,121,74.8,76.0,71.0,80.0,88.0,45.0,,,,,11,14,28,29,23,9,
UBCV,2021,W,PHIL,101,,002,Introduction to Philosophy,Anders Kraal,132,70.4,73.0,63.0,80.0,92.0,0.0,5,10,8,11,10,16,19,14,19,14,6
UBCV,2021,W,PHIL,101,,003,Introduction to Philosophy,Eric Margolis,103,73.1,76.0,72.0,80.0,90.0,0.0,6,,,,,11,25,29,20,6,
UBCV,2021,W,PHIL,102,,001,Introduction to Philosophy II,Irwin Chan,112,73.8,75.0,70.8,79.0,92.0,0.0,,,,,8,17,27,27,17,6,
UBCV,2021,W,PHIL,102,,002,Introduction to Philosophy II,Irwin Chan,108,82.9,85.0,81.0,89.0,97.0,0.0,,,,,,,,13,28,34,23
UBCV,2021,W,PHIL,102,,003,Introduction to Philosophy II,Sylvia Berryman,95,70.6,74.0,68.0,80.5,91.0,0.0,8,,,,,18,17,10,17,10,
UBCV,2021,W,PHIL,120,,99A,Introduction to Critical Thinking,Graham Moore,96,81.8,85.0,76.0,90.0,99.0,39.0,,,,,6,,,11,14,20,29
UBCV,2021,W,PHIL,120,,99C,Introduction to Critical Thinking,Alexandre Korolev,129,80.3,85.0,73.0,93.0,99.0,0.0,7,,,,,8,10,10,15,12,54
UBCV,2021,W,PHIL,120,,001,Introduction to Critical Thinking,Leslie Burkholder,127,78.5,83.0,72.5,89.0,95.0,39.0,,8,,,7,,13,7,17,33,27
UBCV,2021,W,PHIL,120,,002,Introduction to Critical Thinking,Alexandre Korolev,107,78.0,83.0,69.0,89.0,96.0,8.0,,,9,,,10,7,10,11,23,25
UBCV,2021,W,PHIL,125,,001,Introduction to Scientific Reasoning,Kinley Gillette,39,72.5,73.0,70.0,82.0,88.0,11.0,,,,,,7,12,,,7,
UBCV,2021,W,PHIL,125,,002,Introduction to Scientific Reasoning,Bianca Crewe,21,74.4,76.0,70.0,82.0,86.0,54.0,,,,,,,,,,,
UBCV,2021,W,PHIL,125,,003,Introduction to Scientific Reasoning,Leslie Burkholder,131,85.5,88.0,85.0,90.0,93.0,3.0,,,,,,,,11,8,55,47
UBCV,2021,W,PHIL,211,A,001,Greek Philosophy I: Socrates and Plato,Michael Griffin,49,75.3,78.0,70.0,83.0,90.0,30.0,,,,,,,7,9,9,10,
UBCV,2021,W,PHIL,212,A,001,Greek Philosophy II: Aristotle and After,Michael Griffin,55,76.9,80.0,71.5,84.0,93.0,30.0,,,,,,6,,6,19,8,
UBCV,2021,W,PHIL,220,A,99A,Symbolic Logic,Leslie Burkholder,208,80.3,86.0,75.8,89.0,93.0,0.0,8,,,6,,13,16,17,26,62,51
UBCV,2021,W,PHIL,220,A,99C,Symbolic Logic,David Robert Gilbert,112,65.5,69.5,56.8,80.0,91.0,0.0,14,9,12,8,10,6,9,12,16,11,5
UBCV,2021,W,PHIL,220,A,001,Symbolic Logic,David Robert Gilbert,90,70.0,71.0,62.0,83.0,99.0,0.0,6,10,,8,9,13,9,,10,12,9
UBCV,2021,W,PHIL,220,A,002,Symbolic Logic,Jonathan Ichikawa,121,83.3,86.0,78.0,91.0,98.0,33.0,,,,,7,7,9,7,21,24,42
UBCV,2021,W,PHIL,220,A,003,Symbolic Logic,Leslie Burkholder,67,73.7,79.0,64.5,89.0,92.0,0.0,,,6,,,,,7,6,15,11
UBCV,2021,W,PHIL,220,A,004,Symbolic Logic,Alexandre Korolev,66,75.7,82.0,66.0,90.0,99.0,0.0,,7,,,,,,,9,12,18
UBCV,2021,W,PHIL,220,A,005,Symbolic Logic,Alexandre Korolev,98,72.6,74.5,64.3,84.0,99.0,0.0,6,,,6,8,9,13,7,15,11,13
UBCV,2021,W,PHIL,220,A,006,Symbolic Logic,Thomas Jacob Bittner,91,78.7,83.0,72.0,89.5,98.0,0.0,,,,,,7,9,9,12,17,23
UBCV,2021,W,PHIL,230,A,001,Introduction to Ethics,Scott Allen Anderson,81,73.7,76.0,72.0,79.0,85.0,4.0,,,,,,12,17,25,16,,
UBCV,2021,W,PHIL,230,A,003,Introduction to Ethics,Alisabeth Ayars,79,79.4,82.0,79.0,85.0,94.0,0.0,,,,,,,,15,31,15,7
UBCV,2021,W,PHIL,230,A,004,Introduction to Ethics,Willow Verkerk,73,74.5,77.0,70.0,83.0,90.0,17.0,,,,,,12,8,10,17,12,
UBCV,2021,W,PHIL,235,A,001,Contemporary Moral Issues,Rana Ahmad,52,75.2,78.0,71.8,82.0,91.0,0.0,,,,,,,,12,16,,
UBCV,2021,W,PHIL,240,A,001,Introduction to Epistemology,Christopher Stephens,40,76.7,80.0,72.0,84.0,91.0,46.0,,,,,,,10,,13,,
UBCV,2021,W,PHIL,240,A,002,Introduction to Epistemology,Christopher Stephens,52,70.2,74.5,66.0,78.3,89.0,23.0,6,,,6,,7,,14,6,,
UBCV,2021,W,PHIL,240,A,003,Introduction to Epistemology,Catherine Prueitt,36,66.5,77.0,65.0,84.3,92.0,0.0,6,,,,,,,7,,8,
UBCV,2021,W,PHIL,250,,001,Minds and Machines,Thomas Jacob Bittner,49,74.9,77.0,73.0,84.0,95.0,0.0,,,,,,,9,8,11,10,
UBCV,2021,W,PHIL,250,,002,Minds and Machines,Aaron Henry,47,71.2,75.0,67.0,80.0,90.0,7.0,,,,,,,9,6,6,7,
UBCV,2021,W,PHIL,311,A,001,The Philosophy of Aristotle,Brooks Sommerville,32,78.1,78.0,73.0,83.3,91.0,62.0,,,,,,,,9,,,
UBCV,2021,W,PHIL,313,,001,Medieval Philosophy,Anders Kraal,89,78.8,80.0,75.0,85.0,93.0,50.0,,,,,,8,10,17,24,21,
UBCV,2021,W,PHIL,314,A,001,Philosophy in the 17th Century,Fatema Amijee,24,77.5,78.0,71.5,85.0,90.0,63.0,,,,,,,,,,7,
UBCV,2021,W,PHIL,315,A,001,Philosophy in the 18th Century,Brooks Sommerville,17,71.9,75.0,72.0,83.0,90.0,0.0,,,,,,,,,,,
UBCV,2021,W,PHIL,316,A,001,Philosophy After 1800,Anders Kraal,71,77.8,80.0,74.0,87.0,95.0,9.0,,,,,,,10,6,14,17,9
UBCV,2021,W,PHIL,320,A,001,Logic: Metatheory and Computability,David Robert Gilbert,14,68.1,67.5,56.5,78.0,90.0,50.0,,,,,,,,,,,
