Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,UFOR,100,,101,Greening the City,Andrew Almas,96,79.5,82.5,74.0,87.3,93.0,24.0,,,,,,,9,,26,25,14
UBCV,2021,W,UFOR,110,,201,Introduction to Urban Forest Design,Andrew Almas,76,75.4,80.0,73.0,85.0,94.0,14.0,6,,,,,,9,7,18,19,7
UBCV,2021,W,UFOR,200,,101,Urban Forests and Well-Being,Tahia Devisscher,75,76.9,79.0,70.0,84.0,89.0,56.0,,,,,,12,7,9,23,14,
UBCV,2021,W,UFOR,220,,101,Urban Forest Inventory and Assessment,Tahia Devisscher,75,79.4,80.0,76.5,84.0,94.0,62.0,,,,,,7,8,19,21,14,
UBCV,2021,W,UFOR,300,,101,Arboriculture Principles and Practice,Owen Croy;Susan Day,45,78.8,80.0,75.0,86.0,96.0,54.0,,,,,,,6,8,8,11,
UBCV,2021,W,UFOR,316,,101,Trees and Shrubs in Landscape,Athena Mckown,73,76.5,79.0,72.0,84.0,96.0,37.0,,,,,,,10,11,18,7,9
UBCV,2021,W,UFOR,330,,201,Environmental Justice and Urban Green Equity,Lorien Nesbitt,52,83.1,85.5,80.0,89.0,95.0,29.0,,,,,,,,,10,21,10
UBCV,2021,W,UFOR,400,,201,Urban Forestry Field School,Andrew Almas;Susan Day;Tahia Devisscher,51,82.2,82.0,78.0,86.5,92.0,71.0,,,,,,,,12,12,17,
UBCV,2021,W,UFOR,401,,101,Integrated Urban Forestry Capstone Studio,Andrew Almas;Susan Day;Melissa Mchale;Angela Rout,53,92.4,94.0,91.0,95.0,98.0,68.0,,,,,,,,,,,47
UBCV,2021,W,UFOR,402,,201,"Urban Forestry Administration, Policy and Law",Tahia Devisscher,86,79.4,82.0,73.3,85.8,98.0,51.0,,,,,,,13,9,23,14,12
UBCV,2021,W,UFOR,403,,201,Ecological Restoration,Cindy Prescott,53,88.2,91.0,84.0,95.0,98.0,60.0,,,,,,,,6,,7,32
UBCV,2021,W,UFOR,420,,101,Ecology of Urban Green Infrastructure,Susan Day,16,89.2,92.0,88.8,93.0,96.0,64.0,,,,,,,,,,,12
UBCV,2021,W,UFOR,495,,201,Biodiversity in Urban Areas,Sarah Benson-Amram,56,80.9,84.0,77.0,88.3,95.0,39.0,,,,,,,,10,10,15,11
UBCV,2021,W,UFOR,511,,101,Geomatics Principles and Applications,Paul Pickell,10,78.4,88.5,78.0,95.0,96.0,0.0,,,,,,,,,,,
UBCV,2021,W,UFOR,512,,101,Urban Forest Governance,Owen Croy;Cecil Konijnendijk,10,81.1,86.0,73.5,89.8,91.0,61.0,,,,,,,,,,,
UBCV,2021,W,UFOR,521,,101,Advances in Arboriculture and Urban Ecology,Meagan Hanna,10,80.2,81.5,73.0,88.0,92.0,64.0,,,,,,,,,,,
UBCV,2021,W,UFOR,522,,201,Urban Forest Resources and Benefits Assessment,Sara Barron,10,87.3,86.0,82.3,89.5,97.0,82.0,,,,,,,,,,,
UBCV,2021,W,UFOR,523,,201,Strategic Urban Forest Planning and Management,Andrew Almas;Sophie Nitoslawski,10,86.5,86.0,85.0,89.5,94.0,76.0,,,,,,,,,,,
