Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,S,PSYC,101,,921,Introduction to Biological and Cognitive Psychology,Janel Fergusson,185,79.9,82.0,76.0,88.0,92.0,38.0,,,7,,6,13,11,18,51,45,26
UBCV,2022,S,PSYC,102,,921,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Andrew Rivers,198,72.9,76.0,61.0,86.0,99.0,0.0,11,13,17,10,11,17,13,17,26,19,44
UBCV,2022,S,PSYC,217,,921,Research Methods,Geoffrey Gooderham,130,71.0,71.5,66.0,80.0,92.0,21.0,,,8,7,15,25,16,14,25,7,
UBCV,2022,S,PSYC,218,,951,Analysis of Behavioural Data,Grace Truong,87,69.4,68.0,57.5,82.0,100.0,28.0,7,7,11,6,6,8,9,4,14,6,9
UBCV,2022,S,PSYC,301,,951,Brain Dysfunction and Recovery,Jeremy Hosking,118,74.3,77.0,59.0,90.8,100.0,11.0,9,10,13,,8,,13,8,8,10,34
UBCV,2022,S,PSYC,304,,921,Brain and Behaviour,Tristan Hynes,90,75.1,77.0,65.0,89.0,100.0,14.0,8,,,6,7,9,7,6,13,9,20
UBCV,2022,S,PSYC,305,A,921,Personality Psychology,David King,108,76.5,77.5,71.0,83.3,96.0,38.0,,,,,9,9,17,12,27,17,7
UBCV,2022,S,PSYC,307,,921,Cultural Psychology,Jason Martens,95,71.0,68.0,62.0,80.5,99.0,44.0,,,11,15,14,7,10,7,7,,13
UBCV,2022,S,PSYC,309,A,921,Cognitive Processes,Farid Pazhoohi,76,78.1,82.0,69.5,87.0,99.0,50.0,,7,,,,,,6,15,17,12
UBCV,2022,S,PSYC,311,,921,Psychology of Sport,Jeffrey Sauve,153,78.9,80.0,76.0,84.0,94.0,7.0,,,,,,12,15,34,44,31,7
UBCV,2022,S,PSYC,314,,921,Health Psychology,David King,109,76.6,78.0,72.0,82.0,91.0,40.0,,,,,6,11,25,15,36,9,
UBCV,2022,S,PSYC,315,,922,Childhood and Adolescence,Andrew Baron,93,72.3,73.0,66.0,84.0,95.0,32.0,8,,,8,,16,8,9,11,14,8
UBCV,2022,S,PSYC,320,A,921,Psychology of Sex Differences,David King,108,77.1,77.5,72.0,83.0,100.0,0.0,,,,6,7,,16,19,28,7,15
UBCV,2022,S,PSYC,322,,921,Adulthood and Aging,Mark Lam,148,73.8,73.0,65.0,84.3,99.0,23.0,,,12,14,11,16,25,8,17,16,21
UBCV,2022,S,PSYC,333,,921,"Memory: Historical, Clinical and Cognitive Perspectives",Francesco Belardetti,77,66.1,68.0,62.0,74.0,90.0,0.0,7,,9,,15,12,10,,9,,
UBCV,2022,S,PSYC,413,,922,Social and Personality Development,Andrew Baron,75,67.8,74.0,63.0,79.0,87.0,0.0,9,,,,8,6,14,11,10,7,
