Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,S,WRDS,150,A,001,Writing and Research in the Disciplines,Kathleen Fitzpatrick,31,77.8,80.0,76.5,83.0,91.0,18.0,1,0,0,0,2,1,4,4,13,5,1
UBCV,2022,S,WRDS,150,A,002,Writing and Research in the Disciplines,Kirby Mania,30,76.5,81.0,73.0,85.0,91.0,8.0,1,1,0,1,1,0,7,3,7,6,3
UBCV,2022,S,WRDS,150,A,003,Writing and Research in the Disciplines,Jennifer Gagnon,26,71.5,72.5,66.8,77.8,87.0,47.0,1,0,2,0,4,5,6,2,3,3,0
UBCV,2022,S,WRDS,150,A,004,Writing and Research in the Disciplines,Jennifer Cowe,28,69.1,74.0,65.5,83.3,100.0,0.0,3,3,0,0,3,3,3,2,5,4,2
UBCV,2022,S,WRDS,150,A,005,Writing and Research in the Disciplines,Dylan Cree,19,69.6,72.0,62.0,83.5,93.0,1.0,1,0,3,1,3,0,3,0,3,4,1
UBCV,2022,S,WRDS,150,A,006,Writing and Research in the Disciplines,Connor Byrne,28,74.2,77.5,69.3,82.8,92.0,23.0,1,0,1,2,3,3,3,3,5,6,1
UBCV,2022,S,WRDS,150,A,007,Writing and Research in the Disciplines,Krista Sigurdson,29,71.0,74.0,67.0,78.0,90.0,24.0,1,1,1,3,2,5,4,8,0,3,1
UBCV,2022,S,WRDS,150,B,500,Writing and Research in the Disciplines,Krista Sigurdson,28,80.8,82.0,76.0,85.0,90.0,66.0,0,0,0,0,1,1,3,4,11,6,2
UBCV,2022,S,WRDS,150,B,501,Writing and Research in the Disciplines,Darren Fleet,30,72.8,78.0,74.0,80.8,89.0,0.0,2,0,0,1,1,2,4,10,9,1,0
UBCV,2022,S,WRDS,150,B,502,Writing and Research in the Disciplines,William Green,30,72.8,74.0,66.0,80.3,90.0,57.0,0,0,2,5,1,4,5,5,7,0,1
UBCV,2022,S,WRDS,150,B,511,Writing and Research in the Disciplines,Laura Knijnik Baumvol,27,76.2,76.0,75.0,78.0,89.0,62.0,0,0,0,1,1,1,6,13,4,1,0
UBCV,2022,S,WRDS,150,B,512,Writing and Research in the Disciplines,Andrew Connolly,29,72.4,78.0,70.0,80.0,87.0,2.0,1,0,0,4,2,4,2,4,10,2,0
UBCV,2022,S,WRDS,150,B,513,Writing and Research in the Disciplines,Mary Ann Saunders,30,78.4,79.0,72.3,83.8,90.0,62.0,0,0,0,1,2,5,0,7,9,5,1
UBCV,2022,S,WRDS,150,B,514,Writing and Research in the Disciplines,Sang Yin Wu,29,74.6,76.0,71.0,81.0,92.0,13.0,1,1,0,0,0,6,5,8,2,4,2
UBCV,2022,S,WRDS,150,B,515,Writing and Research in the Disciplines,Adrian Lou,31,71.9,70.0,62.5,80.5,94.0,54.0,0,1,5,2,5,4,1,1,7,4,1
UBCV,2022,S,WRDS,150,B,520,Writing and Research in the Disciplines,Rohan Karpe,28,79.6,81.5,76.8,84.3,88.0,51.0,0,1,0,0,0,3,0,6,11,7,0
UBCV,2022,S,WRDS,150,B,521,Writing and Research in the Disciplines,Deogratias Nizonkiza,27,71.7,77.0,70.5,80.0,85.0,9.0,2,1,0,1,2,3,2,8,7,1,0
UBCV,2022,S,WRDS,150,B,522,Writing and Research in the Disciplines,Kimberly Richards,31,86.8,87.0,84.5,91.5,94.0,66.0,0,0,0,0,1,0,1,0,6,11,12
UBCV,2022,S,WRDS,150,B,523,Writing and Research in the Disciplines,Michael Schandorf,29,86.6,91.0,82.0,95.0,99.0,22.0,1,0,0,0,1,0,1,2,4,4,16
UBCV,2022,S,WRDS,150,B,524,Writing and Research in the Disciplines,Adrian Lou,30,74.8,79.5,64.5,85.0,90.0,50.0,0,2,3,2,2,2,2,2,5,8,2
UBCV,2022,S,WRDS,150,B,525,Writing and Research in the Disciplines,Deogratias Nizonkiza,31,74.9,78.0,70.0,81.0,87.0,44.0,1,0,1,0,1,6,6,5,8,3,0
UBCV,2022,S,WRDS,150,B,526,Writing and Research in the Disciplines,Rohan Karpe,29,78.6,82.0,76.0,84.0,90.0,62.0,0,0,0,2,3,1,1,3,14,4,1
UBCV,2022,S,WRDS,150,B,550,Writing and Research in the Disciplines,Connor Byrne,30,81.3,81.0,78.3,86.8,91.0,67.0,0,0,0,0,1,1,1,9,9,7,2
UBCV,2022,S,WRDS,150,B,551,Writing and Research in the Disciplines,Adrian Lou,29,75.7,81.0,75.0,87.0,91.0,3.0,2,1,2,0,0,2,2,4,4,9,3
UBCV,2022,S,WRDS,150,B,552,Writing and Research in the Disciplines,William Green,28,62.8,67.0,61.0,78.5,85.0,0.0,4,0,2,4,5,2,3,1,4,3,0
UBCV,2022,S,WRDS,150,B,553,Writing and Research in the Disciplines,Nazih El-Bezre,25,73.0,76.0,72.0,81.0,83.0,0.0,1,0,0,2,1,1,5,5,10,0,0
UBCV,2022,S,WRDS,150,B,561,Writing and Research in the Disciplines,Connor Byrne,29,75.5,78.0,73.0,82.0,88.0,31.0,1,1,0,1,0,1,6,9,5,5,0
UBCV,2022,S,WRDS,150,B,562,Writing and Research in the Disciplines,David Newman,24,79.4,78.0,77.0,82.0,85.0,74.0,0,0,0,0,0,0,1,13,6,4,0
UBCV,2022,S,WRDS,150,B,563,Writing and Research in the Disciplines,Sang Yin Wu,22,78.4,80.0,73.0,84.0,90.0,57.0,0,0,1,0,1,1,3,4,7,4,1
UBCV,2022,S,WRDS,150,B,564,Writing and Research in the Disciplines,Rohan Karpe,28,74.4,75.5,72.8,78.3,83.0,48.0,1,0,0,1,1,3,8,8,6,0,0
