Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,W,CHBE,201,,101,Integrated Technical Communication,Gabriel Potvin;Hongxing Estella Qi;Michael Schoen,36,75.3,79.0,73.8,82.0,92.0,47.0,5,0,0,0,0,1,6,7,9,7,1
UBCV,2022,W,CHBE,201,,102,Integrated Technical Communication,Gabriel Potvin;Hongxing Estella Qi;Michael Schoen,40,77.1,79.5,73.8,82.0,89.0,47.0,3,0,0,0,0,0,10,7,14,6,0
UBCV,2022,W,CHBE,201,,103,Integrated Technical Communication,Gabriel Potvin;Hongxing Estella Qi;Michael Schoen,36,73.4,74.5,72.0,77.3,81.0,47.0,2,0,0,1,0,4,12,11,6,0,0
UBCV,2022,W,CHBE,220,,101,Founding Principles in Chemical and Biological Engineering I,Gabriel Potvin,116,76.6,80.0,70.0,86.0,98.0,3.0,7,0,0,4,7,15,13,10,23,15,22
UBCV,2022,W,CHBE,221,,201,Founding Principles in Chemical and Biological Engineering II,Gabriel Potvin,110,78.8,80.0,72.0,87.0,100.0,45.0,3,3,2,2,9,6,15,6,21,20,23
UBCV,2022,W,CHBE,230,,201,Computational Methods,James Jingtao Feng,192,64.9,65.0,58.0,71.3,91.0,3.0,9,19,25,30,28,33,21,12,6,8,1
UBCV,2022,W,CHBE,241,,101,Material and Energy Balances,Seyyed Alireza Bagherzadeh Hosseini,214,71.9,74.0,66.3,82.8,99.0,0.0,13,5,11,14,16,28,30,20,43,23,11
UBCV,2022,W,CHBE,244,,201,Chemical and Biological Engineering Thermodynamics I,Savvas Hatzikiriakos,212,67.4,68.0,60.0,77.0,100.0,3.0,21,18,13,25,22,25,27,12,23,6,20
UBCV,2022,W,CHBE,251,,201,Transport Phenomena I,Mark Martinez,119,78.7,79.0,74.0,86.0,98.0,15.0,3,2,0,4,5,6,16,24,17,23,19
UBCV,2022,W,CHBE,263,,101,Introduction to Chemical and Biological Engineering Laboratory Practice,Pranav Chintalapati,29,79.7,82.0,79.0,84.0,92.0,59.0,0,0,1,0,3,3,0,1,15,4,2
UBCV,2022,W,CHBE,263,,102,Introduction to Chemical and Biological Engineering Laboratory Practice,Pranav Chintalapati,27,86.2,85.0,82.0,90.5,93.0,80.0,0,0,0,0,0,0,0,0,11,8,8
UBCV,2022,W,CHBE,263,,103,Introduction to Chemical and Biological Engineering Laboratory Practice,Pranav Chintalapati,29,85.3,85.0,84.0,88.0,91.0,79.0,0,0,0,0,0,0,0,1,13,12,3
UBCV,2022,W,CHBE,263,,104,Introduction to Chemical and Biological Engineering Laboratory Practice,Pranav Chintalapati,24,82.6,81.0,77.8,89.0,94.0,66.0,0,0,0,0,1,1,2,3,6,6,5
UBCV,2022,W,CHBE,264,,201,Chemical and Biological Engineering Laboratory,Pranav Chintalapati,108,83.0,84.0,81.0,87.0,94.0,50.0,0,1,1,1,0,5,4,7,41,32,16
UBCV,2022,W,CHBE,344,,101,Introduction to Unit Operations,Savvas Hatzikiriakos,60,79.7,82.0,72.8,88.0,100.0,40.0,1,2,0,4,3,3,6,6,13,9,13
UBCV,2022,W,CHBE,345,,201,Unit Operations,Heather Trajano,96,72.5,76.5,66.0,83.0,98.0,19.0,5,9,2,5,8,9,8,12,18,13,7
UBCV,2022,W,CHBE,346,,101,Chemical and Biological Engineering Thermodynamics II,Petros Englezos,102,69.3,71.0,58.3,78.0,97.0,43.0,4,11,12,8,7,11,15,12,9,7,6
UBCV,2022,W,CHBE,352,,101,Transport Phenomena II,Mark Martinez,129,65.7,65.0,59.0,70.0,100.0,46.0,2,18,16,21,24,20,8,7,5,5,3
UBCV,2022,W,CHBE,355,,201,Kinetics and Reactor Design,Vikramaditya Yadav,88,73.5,74.0,67.8,81.0,94.0,50.0,0,7,1,7,7,11,17,10,19,5,4
UBCV,2022,W,CHBE,356,,201,Process Dynamics and Control,Yankai Cao,122,74.0,76.0,67.3,84.0,98.0,14.0,5,4,5,8,9,14,14,19,14,18,12
UBCV,2022,W,CHBE,362,,101,Process Engineering Laboratory,Pranav Chintalapati;Aimee Louise Creagh;Elod Lajos Gyenge,102,79.8,82.5,73.0,87.0,98.0,39.0,2,1,1,4,5,8,11,15,14,24,17
UBCV,2022,W,CHBE,364,,101,Environmental Engineering Laboratory,Pranav Chintalapati,44,84.5,84.5,81.0,88.0,92.0,72.0,0,0,0,0,0,0,1,4,17,15,7
UBCV,2022,W,CHBE,365,,201,Biological Engineering  Laboratory,Aimee Louise Creagh,32,77.0,77.5,71.0,82.3,90.0,63.0,0,0,0,1,5,3,5,5,6,5,2
UBCV,2022,W,CHBE,366,,201,Chemical Engineering Laboratory,Pranav Chintalapati,67,79.3,81.0,74.5,86.0,92.0,57.0,0,0,2,4,2,6,5,7,18,18,5
UBCV,2022,W,CHBE,370,,101,Fundamentals of Sustainable Engineering,Xiaotao Bi,146,78.0,79.0,74.0,82.0,92.0,56.0,0,0,2,1,4,17,24,31,49,16,2
UBCV,2022,W,CHBE,373,,101,Water Pollution Control,Madjid Mohseni;Jonathan Verrett,46,75.4,76.5,70.0,81.0,97.0,34.0,1,0,2,1,5,6,7,6,9,5,4
UBCV,2022,W,CHBE,376,,201,Computer Flowsheeting and Unit Operation Design,Mahyar Mohaghegh Montazeri,87,78.4,80.0,72.0,90.0,99.0,26.0,3,2,3,5,3,5,4,15,10,14,23
UBCV,2022,W,CHBE,381,,201,Bioprocess Engineering I,James Piret,85,75.2,76.0,68.0,85.0,98.0,35.0,2,1,3,3,6,9,18,11,10,12,10
UBCV,2022,W,CHBE,402,,201,Biomass Fractionation Technology,Heather Trajano,8,90.6,91.0,88.8,92.3,94.0,87.0,0,0,0,0,0,0,0,0,0,3,5
UBCV,2022,W,CHBE,419,,201,Industrial Biotechnology Laboratory,Aimee Louise Creagh,12,87.0,87.0,86.0,88.0,89.0,85.0,0,0,0,0,0,0,0,0,0,12,0
UBCV,2022,W,CHBE,453,,001,Biological Process and Product Design,Zeina Baalbaki;Sergio Berretta;Petros Englezos;Choon Jim Lim;Mahyar Mohaghegh Montazeri;Dusko Posarac,32,88.5,89.0,87.0,90.0,93.0,80.0,0,0,0,0,0,0,0,0,3,17,12
UBCV,2022,W,CHBE,454,,001,Chemical Process and Product Design,Zeina Baalbaki;Sergio Berretta;Petros Englezos;Choon Jim Lim;Mahyar Mohaghegh Montazeri;Dusko Posarac,61,87.9,90.0,86.0,90.0,93.0,74.0,0,0,0,0,0,0,1,3,8,17,32
