Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,W,CHIN,131,,001,Basic Chinese I: Part 1 (Non-Heritage),Qian Wang,33,80.7,86.0,80.0,88.0,93.0,15.0,1,0,0,1,1,3,1,0,9,12,5
UBCV,2022,W,CHIN,131,,002,Basic Chinese I: Part 1 (Non-Heritage),Qian Wang,23,80.5,87.0,76.5,91.5,96.0,5.0,1,0,0,2,0,2,0,2,2,5,9
UBCV,2022,W,CHIN,131,,003,Basic Chinese I: Part 1 (Non-Heritage),Yi Chen,18,72.2,77.0,67.3,82.5,86.0,31.0,1,1,1,1,1,1,2,3,6,1,0
UBCV,2022,W,CHIN,131,,004,Basic Chinese I: Part 1 (Non-Heritage),Yu Chun Peng,21,76.0,77.0,73.0,80.0,88.0,50.0,0,1,0,0,1,1,4,7,6,1,0
UBCV,2022,W,CHIN,131,,005,Basic Chinese I: Part 1 (Non-Heritage),Yu Chun Peng,28,77.6,79.0,74.0,82.0,86.0,61.0,0,0,0,1,0,3,5,8,9,2,0
UBCV,2022,W,CHIN,131,,006,Basic Chinese I: Part 1 (Non-Heritage),Yu Chun Peng,19,76.9,79.0,72.5,81.5,85.0,61.0,0,0,0,1,0,4,1,4,8,1,0
UBCV,2022,W,CHIN,131,,021,Basic Chinese I: Part 1 (Non-Heritage),Ming Zhu Lu,27,84.1,88.0,79.5,91.5,96.0,50.0,0,1,0,1,0,1,3,1,2,10,8
UBCV,2022,W,CHIN,131,,022,Basic Chinese I: Part 1 (Non-Heritage),Ming Zhu Lu,16,79.3,83.5,76.8,89.5,96.0,15.0,1,0,0,0,1,0,1,3,4,2,4
UBCV,2022,W,CHIN,131,,023,Basic Chinese I: Part 1 (Non-Heritage),Pi-Hua Lin,17,77.6,80.0,71.0,83.0,91.0,50.0,0,1,0,1,0,3,1,2,5,2,2
UBCV,2022,W,CHIN,133,,002,Basic Chinese I: Part 2 (Non-Heritage),Yi Chen,20,69.2,77.0,70.5,83.3,90.0,0.0,3,0,0,0,0,4,3,0,6,3,1
UBCV,2022,W,CHIN,133,,003,Basic Chinese I: Part 2 (Non-Heritage),Shuyu Li,16,79.4,80.5,73.8,84.5,91.0,65.0,0,0,0,0,2,1,2,3,4,2,2
UBCV,2022,W,CHIN,133,,004,Basic Chinese I: Part 2 (Non-Heritage),Yu Chun Peng,10,79.2,80.5,76.0,84.5,87.0,65.0,0,0,0,0,1,1,1,2,2,3,0
UBCV,2022,W,CHIN,133,,005,Basic Chinese I: Part 2 (Non-Heritage),Yu Chun Peng,24,74.3,75.5,68.8,80.5,90.0,50.0,0,1,0,1,3,4,3,5,4,2,1
UBCV,2022,W,CHIN,133,,006,Basic Chinese I: Part 2 (Non-Heritage),Yu Chun Peng,21,76.8,78.0,71.0,82.0,87.0,61.0,0,0,0,1,1,4,1,5,7,2,0
UBCV,2022,W,CHIN,133,,011,Basic Chinese I: Part 2 (Non-Heritage),Yi Chen,12,72.8,80.0,68.3,82.0,90.0,30.0,1,0,0,2,0,2,0,0,6,0,1
UBCV,2022,W,CHIN,141,,001,Basic Chinese I: Part 1 (Heritage),Hsiang-Ning Wang,15,73.9,82.0,74.5,85.0,90.0,20.0,2,0,1,0,0,0,1,2,4,4,1
UBCV,2022,W,CHIN,141,,002,Basic Chinese I: Part 1 (Heritage),Li-Jung Lee,27,81.0,83.0,77.5,85.0,90.0,60.0,0,0,0,1,0,0,1,9,8,7,1
UBCV,2022,W,CHIN,141,,003,Basic Chinese I: Part 1 (Heritage),Hsiang-Ning Wang,17,83.1,83.0,82.0,84.0,88.0,78.0,0,0,0,0,0,0,0,2,11,4,0
UBCV,2022,W,CHIN,143,,001,Basic Chinese I: Part 2 (Heritage),Li-Jung Lee,18,80.8,82.0,77.0,85.5,89.0,69.0,0,0,0,0,0,2,1,3,7,5,0
UBCV,2022,W,CHIN,143,,002,Basic Chinese I: Part 2 (Heritage),Li-Jung Lee,17,73.4,77.0,74.0,81.0,86.0,40.0,2,0,0,1,0,0,4,5,4,1,0
UBCV,2022,W,CHIN,231,,001,Basic Chinese II: Part 1 (Non-Heritage),Pi-Hua Lin,22,73.4,76.5,71.0,81.0,86.0,40.0,2,0,0,2,0,3,2,4,6,3,0
UBCV,2022,W,CHIN,231,,002,Basic Chinese II: Part 1 (Non-Heritage),Pi-Hua Lin,28,77.2,79.5,73.8,83.0,86.0,53.0,0,1,0,1,2,2,2,6,12,2,0
UBCV,2022,W,CHIN,231,,003,Basic Chinese II: Part 1 (Non-Heritage),Pi-Hua Lin,20,76.4,77.5,72.0,82.3,90.0,56.0,0,0,2,0,0,2,2,7,4,2,1
UBCV,2022,W,CHIN,233,,001,Basic Chinese II: Part 2 (Non-Heritage),Pi-Hua Lin,21,75.0,76.0,70.0,82.0,89.0,51.0,0,1,1,1,0,4,3,2,5,4,0
UBCV,2022,W,CHIN,233,,002,Basic Chinese II: Part 2 (Non-Heritage),Pi-Hua Lin,29,76.9,80.0,73.0,83.0,88.0,51.0,0,1,0,2,2,2,4,3,11,4,0
UBCV,2022,W,CHIN,233,,003,Basic Chinese II: Part 2 (Non-Heritage),Pi-Hua Lin,11,75.0,76.0,70.5,79.5,89.0,62.0,0,0,0,1,1,3,0,3,2,1,0
UBCV,2022,W,CHIN,241,,001,Basic Chinese II: Part 1 (Heritage),Hsiang-Ning Wang,27,80.9,82.0,78.0,85.0,92.0,68.0,0,0,0,0,0,3,1,4,11,5,3
UBCV,2022,W,CHIN,241,,002,Basic Chinese II: Part 1 (Heritage),Yi Chen,24,76.8,78.5,72.5,84.3,92.0,52.0,0,1,1,1,2,1,2,5,5,4,2
UBCV,2022,W,CHIN,243,,001,Basic Chinese II: Part 2 (Heritage),Yi Chen,20,75.5,75.0,73.5,78.5,87.0,53.0,0,1,0,0,0,2,8,4,3,2,0
UBCV,2022,W,CHIN,243,,002,Basic Chinese II: Part 2 (Heritage),Yi Chen,11,75.1,78.0,72.5,79.5,88.0,57.0,0,0,1,1,0,0,2,4,2,1,0
UBCV,2022,W,CHIN,331,,001,Intermediate Chinese I: Part 1 (Non-Heritage),Li-Jung Lee,13,77.7,80.0,76.0,82.0,84.0,50.0,0,1,0,0,0,0,2,2,8,0,0
UBCV,2022,W,CHIN,331,,002,Intermediate Chinese I: Part 1 (Non-Heritage),Li-Jung Lee,21,74.9,79.0,67.0,83.0,86.0,38.0,1,0,0,1,4,0,1,4,7,3,0
UBCV,2022,W,CHIN,333,,001,Intermediate Chinese I: Part 2 (Non-Heritage),Li-Jung Lee,10,81.7,81.0,80.0,83.8,87.0,77.0,0,0,0,0,0,0,0,2,6,2,0
UBCV,2022,W,CHIN,333,,002,Intermediate Chinese I: Part 2 (Non-Heritage),Li-Jung Lee,17,79.6,80.0,77.0,83.0,89.0,72.0,0,0,0,0,0,0,4,4,8,1,0
UBCV,2022,W,CHIN,335,,001,Intermediate Chinese II: Part I (Non-Heritage),Hongyang Tao,24,79.5,79.0,78.0,84.0,92.0,63.0,0,0,0,1,1,1,1,10,5,4,1
UBCV,2022,W,CHIN,337,,001,Intermediate Chinese II: Part 2 (Non-Heritage),Hongyang Tao,15,79.5,79.0,74.5,86.0,91.0,67.0,0,0,0,0,1,1,2,5,1,4,1
UBCV,2022,W,CHIN,341,,001,Intermediate Chinese I: Part 1 (Heritage),Chien-Ju Lin,24,77.4,80.5,75.3,83.0,87.0,60.0,0,0,0,4,1,1,0,3,11,4,0
UBCV,2022,W,CHIN,343,,001,Intermediate Chinese I: Part 2 (Heritage),Chien-Ju Lin,19,77.7,82.0,75.0,83.5,90.0,55.0,0,0,2,0,1,0,2,3,8,2,1
UBCV,2022,W,CHIN,345,,001,Intermediate Chinese II: Part I (Heritage),Chien-Ju Lin,25,79.1,80.0,78.0,83.0,88.0,57.0,0,0,1,1,0,1,0,7,11,4,0
UBCV,2022,W,CHIN,347,,001,Intermediate Chinese II: Part 2 (Heritage),Chien-Ju Lin,18,76.9,79.5,76.0,82.8,90.0,39.0,1,0,0,0,0,3,0,5,7,1,1
UBCV,2022,W,CHIN,405,,001,Advanced Chinese Speaking and Writing I (Non-Heritage),Yu Chun Peng,10,74.9,80.0,66.0,82.8,85.0,55.0,0,0,1,2,0,0,0,2,4,1,0
UBCV,2022,W,CHIN,407,,001,Advanced Chinese Speaking and Writing II (Non-Heritage),Yu Chun Peng,7,79.4,82.0,80.0,84.0,86.0,60.0,0,0,0,1,0,0,0,1,3,2,0
UBCV,2022,W,CHIN,437,,001,Business Chinese II (Heritage),Ming Zhu Lu,27,80.7,84.0,76.5,87.0,90.0,54.0,0,1,0,0,1,2,2,3,7,9,2
UBCV,2022,W,CHIN,461,,001,Early Classical Chinese Poetry (to Han),Bin Zheng,59,74.4,76.0,72.5,80.0,86.0,0.0,1,1,0,2,2,6,15,15,12,5,0
UBCV,2022,W,CHIN,463,,001,Early Classical Chinese Poetry (Han to Tang),Xiaowen Xu,54,78.5,79.5,73.3,85.0,92.0,57.0,0,0,1,3,2,5,6,10,12,11,4
UBCV,2022,W,CHIN,465,,001,Fantasy in Chinese Literature,Xiaowen Xu,50,76.5,78.0,74.0,82.0,92.0,20.0,1,1,1,1,2,1,9,11,17,4,2
UBCV,2022,W,CHIN,466,,001,Chinese Martial Arts Fiction,Xue Shun Liu,56,76.0,76.0,73.0,80.0,90.0,57.0,0,0,1,1,0,7,18,11,14,3,1
UBCV,2022,W,CHIN,471,,001,Later Classical Chinese Poetry (Tang),Bin Zheng,89,75.3,77.0,73.0,80.0,90.0,0.0,1,1,0,4,6,7,12,30,24,3,1
