Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,W,CPSC,100,,101,Computational Thinking,Hendrik Blok,136,83.7,87.0,80.0,91.0,99.0,0.0,2,2,2,1,0,4,9,11,18,36,51
UBCV,2022,W,CPSC,100,,201,Computational Thinking,Vsevolod Lynov,162,80.7,82.5,76.0,90.0,98.0,0.0,6,1,1,0,4,6,15,18,35,34,42
UBCV,2022,W,CPSC,103,,101,Introduction to Systematic Program Design,Giulia Toti,239,74.9,82.0,72.0,89.0,98.0,0.0,44,0,1,2,0,11,16,28,32,46,59
UBCV,2022,W,CPSC,103,,102,Introduction to Systematic Program Design,Jessica Wong,251,76.7,82.0,72.0,90.0,98.0,10.0,41,0,3,1,7,8,20,20,40,42,69
UBCV,2022,W,CPSC,103,,201,Introduction to Systematic Program Design,Giulia Toti,240,79.1,85.0,76.0,91.0,97.0,3.0,27,1,2,2,6,8,13,14,38,55,74
UBCV,2022,W,CPSC,103,,202,Introduction to Systematic Program Design,Hendrik Blok,232,79.9,85.0,75.0,90.0,98.0,5.0,20,1,4,0,7,12,15,21,34,52,66
UBCV,2022,W,CPSC,107,,201,Systematic Program Design,Meghan Allen,151,70.8,77.0,50.5,86.0,99.0,7.0,38,0,1,4,4,12,12,10,24,19,27
UBCV,2022,W,CPSC,110,,101,"Computation, Programs, and Programming",Gregor Kiczales,263,78.2,84.0,75.0,90.0,98.0,6.0,39,0,3,2,5,6,15,25,39,59,70
UBCV,2022,W,CPSC,110,,102,"Computation, Programs, and Programming",Gregor Kiczales,290,76.4,84.0,74.0,89.0,98.0,0.0,60,0,1,1,1,2,12,27,44,75,67
UBCV,2022,W,CPSC,110,,103,"Computation, Programs, and Programming",Oluwakemi Ola,246,77.0,83.0,74.0,89.0,97.0,23.0,43,0,0,1,4,5,20,27,39,51,56
UBCV,2022,W,CPSC,110,,104,"Computation, Programs, and Programming",Oluwakemi Ola,254,78.1,84.0,75.0,90.0,97.0,18.0,43,0,2,0,0,5,16,21,45,56,66
UBCV,2022,W,CPSC,110,,201,"Computation, Programs, and Programming",Gregor Kiczales,234,72.2,79.0,45.0,89.0,100.0,0.0,61,0,0,3,6,10,16,23,21,38,56
UBCV,2022,W,CPSC,110,,203,"Computation, Programs, and Programming",Gregor Kiczales,222,74.8,82.5,68.0,91.0,99.0,0.0,46,0,1,3,5,13,13,17,28,28,68
UBCV,2022,W,CPSC,110,,V01,"Computation, Programs, and Programming",Oluwakemi Ola,35,73.8,75.0,66.0,90.5,96.0,24.0,6,0,0,2,3,3,4,1,4,2,10
UBCV,2022,W,CPSC,121,,101,Models of Computation,Karina Mochetti De Magalhaes,152,74.9,79.0,67.8,87.0,100.0,24.0,20,0,4,7,7,13,12,15,27,21,26
UBCV,2022,W,CPSC,121,,102,Models of Computation,Karina Mochetti De Magalhaes,186,74.1,78.0,66.0,86.0,100.0,21.0,26,1,6,7,10,14,13,27,22,29,31
UBCV,2022,W,CPSC,121,,103,Models of Computation,Karina Mochetti De Magalhaes,187,72.2,75.0,64.5,87.0,100.0,3.0,35,0,3,5,11,24,16,19,23,21,30
UBCV,2022,W,CPSC,121,,201,Models of Computation,Geoffrey Tien,173,76.5,79.0,71.0,87.0,99.0,30.0,19,0,2,2,6,20,21,22,25,22,34
UBCV,2022,W,CPSC,121,,202,Models of Computation,Geoffrey Tien,155,78.2,82.0,70.5,90.0,100.0,1.0,14,0,1,4,9,17,13,13,20,22,42
UBCV,2022,W,CPSC,121,,203,Models of Computation,Patrice Belleville,202,77.0,82.0,70.3,87.8,99.0,0.0,19,2,6,4,11,12,18,19,39,33,39
UBCV,2022,W,CPSC,121,,204,Models of Computation,Geoffrey Tien,129,71.6,73.0,64.0,83.0,97.0,38.0,17,2,6,5,15,14,14,13,16,13,14
UBCV,2022,W,CPSC,203,,201,"Programming, Problem Solving, and Algorithms",Cinda Heeren,102,93.4,96.0,91.3,98.0,100.0,42.0,1,1,0,0,0,0,1,2,5,9,83
