Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,W,HIST,100,,101,What is History?,William Earl French,66,71.2,74.0,63.5,80.0,90.0,20.0,,6,,6,,,13,8,18,,
UBCV,2022,W,HIST,101,,001,World History to Oceanic Contact,Sara Knutson,48,79.1,80.5,75.8,85.0,92.0,50.0,,,,,,,6,11,10,11,
UBCV,2022,W,HIST,102,,001,World History from 1500 to the Twentieth Century,Joshua Timmermann,117,73.1,77.0,69.0,81.0,91.0,10.0,,,,,10,11,16,27,24,14,
UBCV,2022,W,HIST,103,,001,World History Since 1900,Steven Hugh Lee,137,69.6,76.0,64.0,81.0,89.0,0.0,16,,,8,,14,15,19,29,21,
UBCV,2022,W,HIST,103,,002,World History Since 1900,Glen Peterson,148,76.0,78.0,73.0,81.3,89.0,36.0,,6,,7,,12,17,33,50,16,
UBCV,2022,W,HIST,104,A,227,Topics in World History,Benjamin Bryce,96,73.1,75.0,70.0,78.0,85.0,50.0,,,,6,8,15,20,21,16,,
UBCV,2022,W,HIST,104,G,201,Topics in World History,Avram Agov,25,76.2,86.0,80.0,89.0,97.0,10.0,,,,,,,,,,8,6
UBCV,2022,W,HIST,105,B,201,Contemporary Global Issues in Historical Perspective,Pheroze Unwalla,90,74.6,77.5,73.0,80.8,90.0,14.0,,,,,,6,13,28,19,9,
UBCV,2022,W,HIST,106,,101,Global Environmental History,Eagle Glassheim,59,77.5,80.0,75.0,85.5,90.0,8.0,,,,,,,9,13,12,17,
UBCV,2022,W,HIST,107,,201,Global Indigenous Histories,Coll Thrush,61,77.1,83.0,76.0,85.0,90.0,0.0,,,,,,,,8,22,14,
UBCV,2022,W,HIST,108,,201,Global History of Capitalism,Jessica Hanser,62,76.1,77.0,73.3,83.5,90.0,20.0,,,,,,7,12,13,12,9,
UBCV,2022,W,HIST,201,,101,History Through Photographs,Kelly Mccormick,67,81.4,82.0,78.0,85.0,91.0,49.0,,,,,,,,14,29,16,
UBCV,2022,W,HIST,202,A,201,Gateway to the Middle Ages,Bonnie Effros,27,74.0,78.0,73.5,82.0,88.0,13.0,,,,,,,6,6,6,,
