Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,W,RUSS,101,,001,Basic Russian I,Veta Chitnev,22,89.0,92.0,86.3,94.8,98.0,67.0,0,0,0,0,1,0,2,0,2,2,15
UBCV,2022,W,RUSS,101,,002,Basic Russian I,Dariya Prykhodko,21,85.9,90.0,83.0,94.0,98.0,45.0,1,0,0,1,0,0,1,0,3,4,11
UBCV,2022,W,RUSS,101,,003,Basic Russian I,Liudmila Rodova,26,82.0,87.5,78.3,94.8,100.0,8.0,2,0,0,0,1,0,1,4,3,4,11
UBCV,2022,W,RUSS,101,,004,Basic Russian I,Veta Chitnev,22,84.7,90.0,81.3,97.0,99.0,28.0,1,1,0,0,1,0,1,0,4,2,12
UBCV,2022,W,RUSS,102,,001,Basic Russian II,Veta Chitnev,18,91.3,92.5,87.3,96.0,100.0,77.0,0,0,0,0,0,0,0,2,1,3,12
UBCV,2022,W,RUSS,102,,002,Basic Russian II,Dariya Prykhodko,18,83.2,87.5,83.5,91.8,98.0,28.0,1,0,0,0,0,1,1,1,1,5,8
UBCV,2022,W,RUSS,201,,001,Second-Year Russian I,Veta Chitnev,22,83.4,84.5,74.0,95.3,98.0,59.0,0,0,1,0,2,0,4,1,3,1,10
UBCV,2022,W,RUSS,202,,001,Second-Year Russian II,Veta Chitnev,16,80.6,84.5,66.8,93.8,99.0,51.0,0,1,0,0,4,1,1,0,1,1,7
UBCV,2022,W,RUSS,206,,001,Nineteenth-Century Russian Writers in Translation,Dariya Prykhodko,24,82.2,81.5,77.0,87.0,91.0,71.0,0,0,0,0,0,1,2,7,3,7,4
UBCV,2022,W,RUSS,207,,001,Twentieth-Century Russian Writers in Translation,Dariya Prykhodko,27,83.5,86.0,78.0,89.5,92.0,70.0,0,0,0,0,0,2,2,4,3,9,7
UBCV,2022,W,RUSS,301,,001,Third-Year Russian I,Dariya Prykhodko,20,85.7,87.5,79.3,93.3,97.0,70.0,0,0,0,0,0,1,1,3,4,3,8
UBCV,2022,W,RUSS,302,,001,Third -Year Russian II,Dariya Prykhodko,14,80.6,86.5,82.0,93.5,98.0,28.0,2,0,0,0,0,0,1,0,1,4,6
UBCV,2022,W,RUSS,305,,001,Readings in Russian Literary Texts,Veta Chitnev,10,86.4,88.5,87.0,90.5,98.0,70.0,0,0,0,0,0,2,0,0,0,5,3
UBCV,2022,W,RUSS,306,A,001,Russian Literature in Translation,Dariya Prykhodko,29,79.8,84.0,78.0,87.0,93.0,8.0,1,0,0,1,0,0,2,6,7,9,3
