Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,S,ECON,101,,921,Principles of Microeconomics,Michael Vaney,163,68.0,68.0,56.0,84.0,98.0,0.0,19,17,13,13,16,16,9,5,21,18,16
UBCV,2023,S,ECON,102,,921,Principles of Macroeconomics,Wai-Ching Alfred Kong,110,73.3,77.0,66.3,84.8,94.0,0.0,6,6,5,7,7,12,5,16,18,19,9
UBCV,2023,S,ECON,323,,921,Quantitative Economic Modelling with Data Science Applications,Philip Solimine,46,74.5,79.5,70.3,86.0,96.0,0.0,4,1,1,3,2,4,3,5,8,10,5
UBCV,2023,S,ECON,325,,921,Introduction to Empirical Economics,Emrul Hasan,81,75.5,76.0,67.0,85.0,96.0,46.0,2,3,3,3,10,6,12,9,12,12,9
UBCV,2023,S,ECON,345,,921,Money and Banking,Geoffrey Newman,43,73.8,75.0,64.5,85.5,98.0,14.0,3,1,4,2,2,3,7,2,8,2,9
UBCV,2023,S,ECON,350,,921,Public Finance Policy Topics,Wai-Ching Alfred Kong,32,73.5,76.5,68.0,85.3,96.0,8.0,2,2,1,2,0,5,2,5,3,4,6
UBCV,2023,S,ECON,355,,921,Introduction to International Trade,Michael Vaney,28,71.0,74.5,61.0,86.3,96.0,0.0,2,1,3,3,1,2,4,1,3,2,6
UBCV,2023,S,ECON,356,,951,Introduction to International Finance,Geoffrey Newman,36,79.3,84.5,71.3,88.0,96.0,55.0,0,0,2,5,0,2,4,2,3,10,8
UBCV,2023,S,ECON,367,,921,Economic Analysis of Law,Samuel Norris,74,76.9,80.0,71.3,89.5,100.0,9.0,4,0,1,5,3,6,9,8,13,6,19
UBCV,2023,S,ECON,371,,921,Economics of the Environment,Ratna Shrestha,77,75.8,77.0,68.0,87.0,98.0,0.0,3,1,7,3,4,5,8,9,10,12,15
UBCV,2023,S,ECON,441,,921,The Process of Economic Development,Javier Antonio Torres Gomez,27,81.3,84.0,75.0,88.0,96.0,63.0,0,0,0,1,2,1,3,4,4,6,6
UBCV,2023,S,ECON,594,,941,Applied Economics,Matthew Lowe,17,86.4,85.0,84.0,91.0,96.0,77.0,0,0,0,0,0,0,0,3,2,6,6
UBCV,2023,S,ECON,594,,942,Applied Economics,Thomas Lemieux,19,88.9,90.0,86.5,92.0,98.0,77.0,0,0,0,0,0,0,0,2,0,5,12
