Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,S,EPSE,303,,951,Teaching Highly Able Learners,Eva Leung,26,92.5,94.0,93.0,94.0,95.0,79.0,0,0,0,0,0,0,0,1,1,0,24
UBCV,2023,S,EPSE,312,,951,Introduction to the Study of Exceptional Children,Mary Heikkila,28,93.3,93.0,91.8,95.0,97.0,87.0,0,0,0,0,0,0,0,0,0,1,27
UBCV,2023,S,EPSE,320,,93Q,Classroom Inclusion of Students who are Blind and Visually Impaired,David Rathwell,34,96.6,99.0,97.3,100.0,100.0,59.0,0,0,1,0,0,0,1,0,0,0,32
UBCV,2023,S,EPSE,320,,93S,Classroom Inclusion of Students who are Blind and Visually Impaired,David Rathwell,36,97.4,98.0,97.0,99.3,100.0,88.0,0,0,0,0,0,0,0,0,0,2,34
UBCV,2023,S,EPSE,320,,93T,Classroom Inclusion of Students who are Blind and Visually Impaired,David Rathwell,36,96.8,98.0,96.8,100.0,100.0,82.0,0,0,0,0,0,0,0,0,2,1,33
UBCV,2023,S,EPSE,348,,93Q,Family-Centred Practice for Children with Special Needs,Melanie Nelson,27,91.0,95.0,88.5,98.0,99.0,69.0,0,0,0,0,0,1,2,2,1,2,19
UBCV,2023,S,EPSE,403,,93Q,Education of Students with Developmental Disabilities in Inclusive Settings,Mary Heikkila,35,93.6,95.0,90.0,96.0,98.0,89.0,0,0,0,0,0,0,0,0,0,2,33
UBCV,2023,S,EPSE,403,,93S,Education of Students with Developmental Disabilities in Inclusive Settings,Lara El Khatib,28,91.2,92.5,89.8,96.0,99.0,72.0,0,0,0,0,0,0,1,1,1,4,21
UBCV,2023,S,EPSE,406,,93Q,Typical and Atypical Development in Infants and Children,Lara El Khatib,25,89.6,90.0,86.0,93.0,97.0,77.0,0,0,0,0,0,0,0,1,1,9,14
UBCV,2023,S,EPSE,426,,93Q,Classroom Inclusion of Students Who are d/Deaf or Hard of Hearing,Bonita Squires,34,89.9,90.0,85.0,94.0,100.0,77.0,0,0,0,0,0,0,0,1,7,7,19
UBCV,2023,S,EPSE,426,,93S,Classroom Inclusion of Students Who are d/Deaf or Hard of Hearing,Alayna Finley,35,89.3,90.0,86.0,92.5,97.0,73.0,0,0,0,0,0,0,1,0,5,10,19
UBCV,2023,S,EPSE,432,,951,Classroom Management,Sunita Braich,19,92.1,93.0,90.0,96.0,99.0,69.0,0,0,0,0,0,1,0,0,1,2,15
UBCV,2023,S,EPSE,432,,952,Classroom Management,Robert Vint,35,95.4,96.0,96.0,97.0,97.0,78.0,0,0,0,0,0,0,0,1,1,0,33
UBCV,2023,S,EPSE,433,,951,Assessment and Positive Behavioural Support in School and Community Settings,Kelly Warburton,9,93.3,94.0,92.0,95.0,98.0,84.0,0,0,0,0,0,0,0,0,1,0,8
UBCV,2023,S,EPSE,436,,951,Survey of Behaviour Disorders in Children and Adolescents,Skeerat Sahota,8,90.4,91.0,89.3,91.5,94.0,86.0,0,0,0,0,0,0,0,0,0,2,6
UBCV,2023,S,EPSE,437,,951,Interventions for Children and Adolescents with Behaviour Disorders,Erin Kidd,21,92.3,93.0,90.0,95.0,98.0,81.0,0,0,0,0,0,0,0,0,1,4,16
UBCV,2023,S,EPSE,449,,93Q,Education of Students with Autism,Nadine Trottier,36,90.8,95.0,90.8,97.0,99.0,29.0,1,0,0,0,0,1,1,0,2,3,28
UBCV,2023,S,EPSE,462,,921,Human Development in Education,Suna Eryigit Madzwamuse,21,89.9,93.0,86.0,96.0,100.0,65.0,0,0,0,0,1,0,1,1,1,3,14
UBCV,2023,S,EPSE,482,,921,Introduction to Statistics for Research in Education,Cecilia Sierra Heredia,13,91.3,94.0,91.0,98.0,100.0,59.0,0,0,1,0,0,0,0,0,0,2,10
UBCV,2023,S,EPSE,483,,93S,Reading and Interpreting Research in Education,Bowen Xiao,22,89.9,90.5,88.3,92.0,96.0,70.0,0,0,0,0,0,1,0,0,0,8,13
UBCV,2023,S,EPSE,502,,941,"Cognition, Language and Literacy Processes in Education",Dianne MacDonald,7,96.4,96.0,95.0,98.0,100.0,93.0,0,0,0,0,0,0,0,0,0,0,7
UBCV,2023,S,EPSE,509,,951,Organization of Special Education Services,David Nicks,10,93.0,92.5,90.0,95.0,100.0,90.0,0,0,0,0,0,0,0,0,0,0,10
UBCV,2023,S,EPSE,511,,941,"Special Topics in Human Development, Learning, and Culture",Surita Jhangiani,12,87.6,90.0,87.5,92.0,94.0,58.0,1,0,0,0,0,0,0,0,0,3,8
UBCV,2023,S,EPSE,512,,941,Critical Issues in Special Education,Mary Heikkila,14,93.5,92.0,91.3,96.3,98.0,90.0,0,0,0,0,0,0,0,0,0,0,14
UBCV,2023,S,EPSE,516,,951,Seminar in the Development and Education of Highly Able and Creative Learners,Chih Shen Lo,8,89.0,92.0,82.8,93.5,95.0,80.0,0,0,0,0,0,0,0,0,3,0,5
UBCV,2023,S,EPSE,518,,951,Speech Development of Deaf and Hard of Hearing Students,Deirdre Curle,13,95.5,96.0,95.0,97.0,100.0,85.0,0,0,0,0,0,0,0,0,0,1,12
UBCV,2023,S,EPSE,520,,951,Curriculum Development in the Education of Deaf and Hard of Hearing Students,Alayna Finley,13,92.5,94.0,89.0,95.0,97.0,84.0,0,0,0,0,0,0,0,0,1,3,9
