Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,S,KIN,110,,921,Human Anatomy,Gillian Corbo,49,65.57,65.0,57.0,76.75,90.0,28.0,7,2,8,4,4,2,4,3,3,5,2
UBCV,2023,S,KIN,131,,921,Systems Physiology I,Jenna Benbaruj,18,85.12,87.0,84.0,89.0,95.0,63.0,0,0,0,1,1,0,0,0,3,8,4
UBCV,2023,S,KIN,132,,921,Systems Physiology II,Robert Langill,24,75.45,76.0,68.0,87.0,93.0,50.0,0,3,0,1,1,3,3,2,1,3,5
UBCV,2023,S,KIN,235,,921,Exercise Physiology I,Viviana Shiffman,35,79.62,81.5,76.0,86.0,94.0,50.0,0,1,1,2,1,1,2,6,8,7,5
UBCV,2023,S,KIN,335,,921,Advanced Applications of Exercise Physiology,Michael Leahy,44,86.48,89.0,81.75,93.0,97.0,62.0,0,0,0,1,2,0,1,4,7,9,20
UBCV,2023,S,KIN,368,,921,Indigenous Sport and Physical Culture in Settler Canada,Alana Cook,48,88.11,90.0,85.0,94.0,98.0,28.0,1,0,0,0,0,0,0,3,5,9,27
UBCV,2023,S,KIN,483,J,001,"Advanced Seminar in Systems Biology, Exercise and Health",Joseph McCullum,29,86.52,88.0,83.0,91.0,96.0,62.0,0,0,0,1,0,0,1,2,6,7,12
UBCV,2023,S,KIN,500,J,001,Special Topics in Kinesiology,Joseph McCullum,12,87.09,91.0,82.0,92.0,93.0,77.0,0,0,0,0,0,0,0,2,2,1,6
UBCV,2023,S,KIN,515,,WB9,Gap Analysis,Anthony van Neutegem,16,90.44,91.0,87.0,93.25,97.0,82.0,0,0,0,0,0,0,0,0,1,6,9
UBCV,2023,S,KIN,530,A,941,Directed Studies,,6,87.5,90.0,82.0,92.75,95.0,77.0,0,0,0,0,0,0,0,1,1,1,3
UBCV,2023,S,KIN,596,,WB6,High Performance Sport Inquiry,Maria Gallo;David Hill,20,85.63,85.5,83.75,88.0,92.0,77.0,0,0,0,0,0,0,0,1,2,3,2
UBCV,2023,S,KIN,597,,WB8,Practical Applications in High Performance Sport,David Hill,12,92.67,93.0,89.75,96.0,96.0,87.0,0,0,0,0,0,0,0,0,0,3,9
