Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,ADHE,327,,63A,Teaching Adults,Vicheth Sen,28,78.62,83.0,78.25,86.75,91.0,4.0,1,0,0,0,2,1,1,3,9,8,1
UBCV,2023,W,ADHE,327,,63B,Teaching Adults,Carolina Palacios,30,76.9,77.5,73.25,81.75,90.0,51.0,0,1,0,0,1,3,4,10,7,3,1
UBCV,2023,W,ADHE,327,,63C,Teaching Adults,Vicheth Sen,25,79.59,83.5,76.75,86.75,89.0,24.0,1,0,0,0,0,0,3,3,6,9,0
UBCV,2023,W,ADHE,327,,63D,Teaching Adults,Vicheth Sen,26,83.0,83.0,80.0,87.25,91.0,68.0,0,0,0,0,0,1,1,2,9,7,4
UBCV,2023,W,ADHE,327,,63E,Teaching Adults,Carolina Palacios,26,72.46,73.0,64.5,81.0,88.0,52.0,0,1,1,4,2,2,4,3,6,3,0
UBCV,2023,W,ADHE,327,,63F,Teaching Adults,Vicheth Sen,27,81.26,82.0,77.5,84.0,92.0,68.0,0,0,0,0,0,1,3,4,13,4,2
UBCV,2023,W,ADHE,327,,63G,Teaching Adults,Sharon Jarvis,29,80.59,82.0,78.0,85.0,92.0,57.0,0,0,1,1,0,1,2,5,9,6,4
UBCV,2023,W,ADHE,328,,63A,Institutions of Adult Education,Kapil Regmi,26,84.38,85.5,83.0,89.75,92.0,64.0,0,0,0,0,2,0,1,1,7,8,7
UBCV,2023,W,ADHE,328,,63B,Institutions of Adult Education,Kapil Regmi,28,82.32,84.0,79.0,88.0,91.0,60.0,0,0,0,1,1,2,0,5,6,7,6
UBCV,2023,W,ADHE,328,,63C,Institutions of Adult Education,M.D. Jafar Iqbal,16,73.19,75.5,64.75,80.0,85.0,60.0,0,0,0,1,5,0,2,3,4,1,0
UBCV,2023,W,ADHE,328,,63D,Institutions of Adult Education,Kari Grain,29,89.86,90.0,88.0,93.0,97.0,72.0,0,0,0,0,0,0,1,0,1,9,18
UBCV,2023,W,ADHE,328,,63E,Institutions of Adult Education,Vicheth Sen,25,78.72,80.0,75.0,82.0,87.0,69.0,0,0,0,0,0,2,5,4,10,4,0
UBCV,2023,W,ADHE,328,,63F,Institutions of Adult Education,Kapil Regmi,29,84.07,87.0,82.0,90.0,90.0,60.0,0,0,0,1,1,1,0,2,5,10,9
UBCV,2023,W,ADHE,329,,63A,"Developing Short Courses, Workshops and Seminars",Omer Aijazi,23,79.17,81.0,73.0,84.5,91.0,67.0,0,0,0,0,3,2,3,3,6,3,3
UBCV,2023,W,ADHE,329,,63B,"Developing Short Courses, Workshops and Seminars",Gabriella Maestrini,21,82.05,83.0,80.5,84.0,90.0,60.0,0,0,0,1,0,0,0,1,12,3,2
UBCV,2023,W,ADHE,329,,63C,"Developing Short Courses, Workshops and Seminars",Gabriella Maestrini,20,81.8,82.5,75.0,86.5,89.0,73.0,0,0,0,0,0,0,6,0,5,9,0
UBCV,2023,W,ADHE,329,,63E,"Developing Short Courses, Workshops and Seminars",Omer Aijazi,29,81.39,82.0,80.0,85.0,88.0,50.0,0,1,0,0,0,0,2,2,14,9,0
UBCV,2023,W,ADHE,329,,63F,"Developing Short Courses, Workshops and Seminars",Gabriella Maestrini,29,83.79,84.0,82.75,86.0,91.0,74.0,0,0,0,0,0,0,1,2,12,12,1
UBCV,2023,W,ADHE,329,,022,"Developing Short Courses, Workshops and Seminars",Kapil Regmi,18,83.71,82.0,78.0,90.0,93.0,73.0,0,0,0,0,0,0,1,6,2,2,6
UBCV,2023,W,ADHE,330,,63A,The Community Practice of Adult Education,Stephanie Glick,30,78.33,78.5,74.75,82.75,91.0,63.0,0,0,0,2,1,3,2,9,7,5,1
UBCV,2023,W,ADHE,330,,63B,The Community Practice of Adult Education,Addyson Frattura-Kampschroer,30,95.77,96.5,95.0,97.0,98.0,89.0,0,0,0,0,0,0,0,0,0,1,29
UBCV,2023,W,ADHE,330,,63D,The Community Practice of Adult Education,Stephanie Glick,30,79.62,81.0,76.0,85.0,90.0,63.0,0,0,0,1,1,0,4,6,8,8,1
UBCV,2023,W,ADHE,330,,63E,The Community Practice of Adult Education,Addyson Frattura-Kampschroer,30,94.9,96.0,94.0,96.75,98.0,87.0,0,0,0,0,0,0,0,0,0,3,27
UBCV,2023,W,ADHE,330,,63F,The Community Practice of Adult Education,Itamar Manoff,30,89.8,92.0,88.25,95.0,99.0,50.0,0,1,0,0,0,0,1,0,3,6,19
UBCV,2023,W,ADHE,330,,021,The Community Practice of Adult Education,Alison Taylor,14,83.57,84.0,82.5,85.0,86.0,80.0,0,0,0,0,0,0,0,0,9,5,0
UBCV,2023,W,ADHE,412,,63B,An Overview of Adult Education,Carolina Palacios,23,78.17,80.0,75.0,82.5,90.0,62.0,0,0,0,1,2,1,2,5,9,1,2
UBCV,2023,W,ADHE,412,,63C,An Overview of Adult Education,Sharon Jarvis,10,81.5,80.5,77.25,84.25,91.0,76.0,0,0,0,0,0,0,0,4,3,2,1
UBCV,2023,W,ADHE,412,,63D,An Overview of Adult Education,Carolina Palacios,25,75.54,76.5,73.0,80.0,83.0,62.0,0,0,0,1,1,3,4,7,8,0,0
UBCV,2023,W,ADHE,412,,63E,An Overview of Adult Education,Carolina Palacios,27,78.46,80.0,76.0,84.5,92.0,52.0,0,1,0,0,1,2,2,5,8,5,2
UBCV,2023,W,ADHE,412,,021,An Overview of Adult Education,Carolina Palacios,15,80.21,82.0,78.5,84.5,90.0,69.0,0,0,0,0,0,3,0,1,6,3,1
