Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,ARCL,103,,002,Introduction to Archaeology:  Past perspectives and Future Promise,Heather Robertson,112,77.24,79.0,73.0,84.0,95.0,1.0,2,0,2,5,8,9,10,23,26,18,8
UBCV,2023,W,ARCL,140,,001,Bones: The Origins of Humanity,Heather Robertson,197,75.54,78.0,68.0,84.75,93.0,28.0,5,10,1,6,23,18,20,21,41,39,10
UBCV,2023,W,ARCL,203,,001,Archaeological Methods,Zhichun Jing,96,77.85,78.0,72.0,85.0,93.0,50.0,0,1,1,4,7,5,19,12,18,19,9
UBCV,2023,W,ARCL,228,,001,Forensic Anthropology,Darlene Weston,201,69.57,71.0,60.0,82.0,93.0,0.0,12,18,13,20,16,17,17,24,30,18,6
UBCV,2023,W,ARCL,228,,002,Forensic Anthropology,Heather Robertson,171,71.45,75.0,66.0,79.0,90.0,10.0,7,3,10,15,10,18,28,36,28,10,1
UBCV,2023,W,ARCL,235,,002,"Taming the Wild: Animals, Alcohol and Agriculture",Aleksa Alaica,117,74.48,76.0,69.5,84.0,96.0,19.0,6,2,4,7,8,11,17,14,22,18,7
UBCV,2023,W,ARCL,305,,001,Archaeological Interpretation,Aleksa Alaica,22,86.52,88.0,84.0,90.0,91.0,75.0,0,0,0,0,0,0,1,0,6,8,6
UBCV,2023,W,ARCL,324,,002,Archaeological Foundations of South America,Aleksa Alaica,26,80.32,83.0,79.0,85.0,92.0,52.0,0,1,0,0,2,1,1,3,9,5,3
UBCV,2023,W,ARCL,325,,002,Paleoanthropology,Darlene Weston,28,78.48,79.0,75.5,84.0,91.0,53.0,0,1,1,0,0,0,5,7,8,4,1
UBCV,2023,W,ARCL,419,,002,The Archaeology of Death,Darlene Weston,37,78.45,79.0,70.0,88.0,93.0,54.0,0,1,2,1,1,5,0,7,2,9,5
