Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,BABS,502,,BA1,Forecasting and Time Series Prediction,Martha Essak,43,84.33,85.0,79.5,89.0,93.0,74.0,0,0,0,0,0,0,1,10,10,14,8
UBCV,2023,W,BABS,502,,BA2,Forecasting and Time Series Prediction,Martha Essak,42,82.52,84.0,76.75,88.0,93.0,69.0,0,0,0,0,0,3,7,4,9,12,7
UBCV,2023,W,BABS,506,,BA1,Analyzing and Modelling Uncertainty,Hao Zhang,44,85.86,87.0,81.75,91.0,94.0,68.0,0,0,0,0,0,1,1,5,9,10,18
UBCV,2023,W,BABS,506,,BA2,Analyzing and Modelling Uncertainty,Hao Zhang,42,83.36,84.5,77.25,89.75,95.0,68.0,0,0,0,0,0,2,6,9,4,10,11
UBCV,2023,W,BABS,507,,BA1,Descriptive and Predictive Business Analysis,Michael Kim,44,83.23,83.0,80.0,86.0,93.0,75.0,0,0,0,0,0,0,2,2,22,15,3
UBCV,2023,W,BABS,507,,BA2,Descriptive and Predictive Business Analysis,Michael Kim,42,83.1,83.5,80.0,86.0,97.0,75.0,0,0,0,0,0,0,8,0,15,14,5
UBCV,2023,W,BABS,508,,BA1,Advanced Predictive Business Analytics,Michael Kim,43,81.79,82.0,80.0,85.0,90.0,70.0,0,0,0,0,0,1,2,7,21,9,3
UBCV,2023,W,BABS,508,,BA2,Advanced Predictive Business Analytics,Michael Kim,42,79.48,80.0,76.0,83.0,92.0,70.0,0,0,0,0,0,3,7,9,16,6,1
UBCV,2023,W,BABS,550,,001,Application of Statistics in Management,Julia Yan,44,79.34,80.0,77.0,83.25,94.0,53.0,1,0,0,1,0,1,5,13,15,6,2
UBCV,2023,W,BABS,550,,002,Application of Statistics in Management,Julia Yan,40,75.79,77.0,74.0,81.75,93.0,0.0,2,0,0,1,2,1,9,8,7,4,4
UBCV,2023,W,BABS,550,,301,Application of Statistics in Management,Julia Yan,52,84.44,84.0,81.0,89.5,97.0,65.0,0,0,0,0,1,2,2,4,18,12,13
UBCV,2023,W,BABS,550,,823,Application of Statistics in Management,Julia Yan,15,75.73,75.0,70.5,81.5,91.0,60.0,0,0,0,2,0,4,2,2,2,1,2
UBCV,2023,W,BABS,550,,MM1,Application of Statistics in Management,Julia Yan,37,73.86,80.0,75.0,84.0,91.0,0.0,3,0,0,0,1,0,8,6,12,5,2
