Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,BAMS,503,,BA1,Simulation Modelling,Steven Shechter,43,78.98,78.0,75.5,83.5,86.0,72.0,0,0,0,0,0,0,11,14,12,6,0
UBCV,2023,W,BAMS,503,,BA2,Simulation Modelling,Steven Shechter,42,77.6,77.5,74.0,81.0,86.0,68.0,0,0,0,0,0,2,15,9,13,3,0
UBCV,2023,W,BAMS,506,,BA1,Optimal Decision Making I,Steven Shechter,44,83.98,84.0,82.0,85.0,90.0,79.0,0,0,0,0,0,0,0,1,30,11,2
UBCV,2023,W,BAMS,506,,BA2,Optimal Decision Making I,Steven Shechter,42,82.79,83.0,81.0,85.0,86.0,76.0,0,0,0,0,0,0,0,1,28,13,0
UBCV,2023,W,BAMS,508,,BA1,Optimal Decision Making II,Steven Shechter,44,80.61,80.0,79.0,82.0,87.0,75.0,0,0,0,0,0,0,1,13,23,7,0
UBCV,2023,W,BAMS,508,,BA2,Optimal Decision Making II,Steven Shechter,42,82.79,83.0,81.0,85.0,90.0,75.0,0,0,0,0,0,0,1,5,24,10,2
UBCV,2023,W,BAMS,517,,BA1,Decision Analysis Under Uncertainty,Hao Zhang,44,85.36,86.0,82.0,90.0,96.0,71.0,0,0,0,0,0,1,2,3,12,14,12
UBCV,2023,W,BAMS,517,,BA2,Decision Analysis Under Uncertainty,Hao Zhang,42,83.17,82.0,80.25,88.0,97.0,69.0,0,0,0,0,0,3,3,4,13,11,8
UBCV,2023,W,BAMS,521,,BA1,Analytics Leadership,Harish Krishnan,43,82.53,82.0,80.0,84.5,89.0,78.0,0,0,0,0,0,0,0,5,27,11,0
UBCV,2023,W,BAMS,521,,BA2,Analytics Leadership,Harish Krishnan,42,82.36,82.5,80.25,84.0,88.0,77.0,0,0,0,0,0,0,0,4,33,5,0
UBCV,2023,W,BAMS,523,,001,Managerial Decisions Modelling and Analytics,Steven Shechter,26,83.0,83.0,82.0,84.0,88.0,77.0,0,0,0,0,0,0,0,3,16,6,0
