Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,DSCI,100,,002,Introduction to Data Science,Hoi Yin Eugenia Yu,179,77.2,80.0,72.0,86.0,96.0,19.0,5,5,6,7,6,12,20,15,42,37,17
UBCV,2023,W,DSCI,100,,003,Introduction to Data Science,Yitong Liu,176,81.6,84.0,77.5,90.0,97.0,0.0,4,1,2,6,5,5,12,20,31,40,45
UBCV,2023,W,DSCI,100,,004,Introduction to Data Science,Anthony-Alexander Christidis,180,79.2,81.0,75.0,87.0,98.0,18.0,5,3,5,3,6,10,19,19,37,35,31
UBCV,2023,W,DSCI,100,,005,Introduction to Data Science,Katie Burak,146,71.4,73.5,64.3,82.8,94.0,10.0,12,4,9,7,15,13,16,15,25,21,5
UBCV,2023,W,DSCI,100,,006,Introduction to Data Science,Trevor Campbell,174,73.3,77.0,67.0,83.3,93.0,10.0,10,9,2,9,13,17,9,38,25,28,8
UBCV,2023,W,DSCI,100,,007,Introduction to Data Science,Eldad Haber;Lindsey Heagy;Yitong Liu,163,76.1,78.0,69.0,85.0,98.0,0.0,5,3,3,6,11,19,15,25,25,26,18
UBCV,2023,W,DSCI,100,,008,Introduction to Data Science,Vivian Meng,177,78.8,82.0,73.0,89.0,96.0,8.0,6,4,1,9,10,9,13,18,33,39,31
UBCV,2023,W,DSCI,100,,009,Introduction to Data Science,Daniel Chen,180,83.0,86.0,77.0,91.0,100.0,20.0,4,1,1,2,8,3,13,25,15,45,58
UBCV,2023,W,DSCI,100,,010,Introduction to Data Science,Daniel Chen,147,73.5,76.0,66.0,85.0,96.0,10.0,7,6,10,7,10,13,16,19,18,28,11
UBCV,2023,W,DSCI,100,,100,Introduction to Data Science,Eldad Haber;Lindsey Heagy,67,81.4,88.0,76.0,91.0,98.0,8.0,3,0,0,1,4,6,2,4,8,14,23
UBCV,2023,W,DSCI,100,,101,Introduction to Data Science,Joel Ostblom,149,79.9,83.0,74.8,88.0,96.0,27.0,4,1,2,6,5,10,13,20,22,39,26
UBCV,2023,W,DSCI,310,,101,Reproducible and Trustworthy Workflows for Data Science,Tiffany Timbers,70,83.1,85.0,80.0,88.0,96.0,40.0,1,0,0,1,2,4,1,7,18,22,14
UBCV,2023,W,DSCI,320,,101,Visualization for Data Science,Oluwakemi Ola,70,79.8,79.5,74.0,87.0,93.0,67.0,0,0,0,0,2,8,12,13,14,13,8
UBCV,2023,W,DSCI,430,,101,"Fairness, Accountability, Transparency and Ethics (FATE) in Data Science",Giulia Toti,36,87.7,90.0,84.0,93.0,99.0,60.0,0,0,0,1,0,0,2,4,2,6,21
UBCV,2023,W,DSCI,511,,001,Programming for Data Science,Le Quan Nguyen,125,90.8,93.0,88.0,95.0,100.0,60.0,0,0,0,1,1,0,3,4,8,23,85
UBCV,2023,W,DSCI,512,,001,Algorithms and Data Structures,Gittu George;Jordan Schalm,91,88.2,89.0,84.0,92.8,99.0,67.0,0,0,0,0,2,0,2,3,17,22,44
UBCV,2023,W,DSCI,512,,002,Algorithms and Data Structures,Jian Zhu,36,96.7,98.5,97.0,99.0,100.0,66.0,0,0,0,0,1,0,0,0,0,1,34
UBCV,2023,W,DSCI,513,,001,Databases and Data Retrieval,Gittu George,126,88.4,89.0,85.0,93.0,99.0,65.0,0,0,0,0,1,0,1,8,21,35,59
UBCV,2023,W,DSCI,521,,001,Computing Platforms for Data Science,Daniel Chen,125,90.5,91.0,87.0,95.0,98.0,72.0,0,0,0,0,0,0,1,4,13,27,80
