Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,HUNU,500,,001,Research Methods in Human Nutrition,Tamara Cohen,21,94.29,95.0,93.0,96.0,96.0,90.0,0,0,0,0,0,0,0,0,0,0,21
UBCV,2023,W,HUNU,505,,001,Current Issues in Applied Nutrition,Jennifer Black,7,87.71,86.0,84.5,90.5,94.0,84.0,0,0,0,0,0,0,0,0,2,3,2
UBCV,2023,W,HUNU,510,,001,Nutrition Assessment Across the Lifespan,Katja Yvonne Lamers,12,89.17,90.5,86.5,92.25,98.0,72.0,0,0,0,0,0,0,1,0,0,3,8
UBCV,2023,W,HUNU,515,,001,Business & Entrepreneurship in Dietetics,Karen Taylor,10,88.6,89.0,87.0,90.0,94.0,83.0,0,0,0,0,0,0,0,0,1,5,4
UBCV,2023,W,HUNU,525,,002,Indigenous Health in Dietetics,Tabitha Martens,10,90.9,91.0,89.0,94.0,96.0,83.0,0,0,0,0,0,0,0,0,1,3,6
UBCV,2023,W,HUNU,540,,001,Advances in Food Theory and Applications,Joel Barohn;Gerald Kasten,11,94.64,96.0,93.5,96.5,99.0,88.0,0,0,0,0,0,0,0,0,0,2,9
UBCV,2023,W,HUNU,541,,001,Food Provision and Management in Dietetics,Gerald Kasten,10,98.1,98.5,97.0,99.0,99.0,97.0,0,0,0,0,0,0,0,0,0,0,10
UBCV,2023,W,HUNU,545,,001,Counselling Skills in Dietetics,Sinead Feeney,11,88.09,88.0,86.0,89.0,95.0,81.0,0,0,0,0,0,0,0,0,1,7,3
UBCV,2023,W,HUNU,550,,001,Advances in Human Nutrition,Bruna Donatti Castro Falci,12,88.17,90.5,85.25,93.25,96.0,72.0,0,0,0,0,0,0,1,1,1,2,7
UBCV,2023,W,HUNU,560,,001,Leadership in Dietetics and Health,Anna Brisco;Nicole Spencer,10,91.8,93.0,89.25,94.0,95.0,88.0,0,0,0,0,0,0,0,0,0,3,7
UBCV,2023,W,HUNU,573,,002,Population and Public Health Dietetics,Anna Brisco,11,91.73,92.0,89.5,94.0,98.0,86.0,0,0,0,0,0,0,0,0,0,3,8
UBCV,2023,W,HUNU,575,,002,Nutrition Care I,Brock Williams,11,83.64,85.0,82.0,87.0,92.0,68.0,0,0,0,0,0,1,0,1,3,4,2
UBCV,2023,W,HUNU,576,,001,Nutrition Care II,Bruna Donatti Castro Falci,10,82.7,82.5,77.75,86.0,90.0,77.0,0,0,0,0,0,0,0,3,3,3,1
UBCV,2023,W,HUNU,577,,002,Nutrition Care III,Brock Williams,10,83.6,83.5,81.5,86.0,89.0,78.0,0,0,0,0,0,0,0,2,4,4,0
UBCV,2023,W,HUNU,581,,002,Dietetics Practice Education Placement II,Tamara Cohen,10,94.6,96.0,95.0,97.0,98.0,87.0,0,0,0,0,0,0,0,0,0,2,8
