Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,LARC,316,,002,Trees and Shrubs in Landscape,Douglas Justice,30,75.6,74.5,70.0,85.25,96.0,49.0,2,0,0,4,1,3,7,2,3,2,6
UBCV,2023,W,LARC,415,,001,Plant Design,David Tracey,28,78.04,84.0,78.0,86.25,93.0,14.0,2,1,1,0,0,0,0,4,8,7,5
UBCV,2023,W,LARC,444,,002,Green Network Planning,Cynthia Girling;Keunhyun Park,51,87.14,89.0,85.0,91.0,94.0,60.0,0,0,0,1,0,0,1,2,9,17,21
UBCV,2023,W,LARC,501,,001,Landscape Architecture Design Studio I,Sara Jacobs;Tatiana Nozaki,22,83.77,84.0,82.0,85.0,90.0,78.0,0,0,0,0,0,0,0,2,11,8,1
UBCV,2023,W,LARC,502,,001,Landscape Architecture Design Studio II,Karin England;Maren McBride;Daniel Roehr,23,88.64,89.0,88.0,89.75,91.0,85.0,0,0,0,0,0,0,0,0,0,16,6
UBCV,2023,W,LARC,503,,001,Landscape Architecture Design Studio III,Nicky Bloom;Michal Oprsal,27,88.67,90.0,86.5,92.0,93.0,71.0,0,0,0,0,0,1,0,0,0,11,15
UBCV,2023,W,LARC,504,,002,Landscape Architecture Design Studio IV,Fionn Byrne,8,84.13,84.0,82.0,85.5,88.0,81.0,0,0,0,0,0,0,0,0,4,4,0
UBCV,2023,W,LARC,504,,003,Landscape Architecture Design Studio IV,Christen Oakes;Fayaz Yunus,10,85.6,87.5,81.0,90.0,90.0,77.0,0,0,0,0,0,0,0,3,0,3,4
UBCV,2023,W,LARC,504,,004,Landscape Architecture Design Studio IV,Joseph Dahmen,9,86.22,87.0,85.0,87.0,88.0,85.0,0,0,0,0,0,0,0,0,0,9,0
UBCV,2023,W,LARC,505,,005,Landscape Architecture Design Studio V,Susan Herrington,11,90.45,92.0,90.0,92.0,93.0,85.0,0,0,0,0,0,0,0,0,0,2,9
UBCV,2023,W,LARC,522,,001,Landscape Architectural History,Sara Jacobs,30,84.9,85.5,81.25,88.0,93.0,71.0,0,0,0,0,0,1,0,0,12,13,4
UBCV,2023,W,LARC,523,,001,Landscape Architecture Theory,Kees Lokman,30,88.2,87.5,87.0,89.75,91.0,86.0,0,0,0,0,0,0,0,0,0,22,8
UBCV,2023,W,LARC,525,,002,Design Research Methods,Allison Bernice Earl,28,87.75,88.0,86.0,89.25,92.0,83.0,0,0,0,0,0,0,0,0,4,17,7
UBCV,2023,W,LARC,531,,002,Landscape Technologies I,Stephen Wilkinson,27,88.0,87.5,86.25,91.0,93.0,80.0,0,0,0,0,0,0,0,0,2,14,10
UBCV,2023,W,LARC,532,,002,Landscape Technologies II,Yekaterina Yushmanova,28,90.43,90.0,87.0,94.0,99.0,82.0,0,0,0,0,0,0,0,0,2,10,16
UBCV,2023,W,LARC,540,,001,Site Analysis and Planning,Stephen Wilkinson,26,89.12,89.0,87.25,90.75,92.0,84.0,0,0,0,0,0,0,0,0,1,14,11
UBCV,2023,W,LARC,541,,002,Landscape Planning and Management,Charles Chambers,31,86.57,88.0,85.0,89.0,95.0,74.0,0,0,0,0,0,0,2,1,4,16,7
UBCV,2023,W,LARC,551,,001,Professional Practice,Paul de Greeff;Nicholas Paczkowski;Inge Roecker,22,82.91,83.0,80.25,86.0,94.0,72.0,0,0,0,0,0,0,2,3,10,5,2
UBCV,2023,W,LARC,553,,001,Green Network Planning,Cynthia Girling;Keunhyun Park,11,84.78,85.0,83.0,86.0,88.0,82.0,0,0,0,0,0,0,0,0,4,5,0
UBCV,2023,W,LARC,580,B,002,"Directed Studies in Design Analysis, Programming and Theory",,7,88.86,89.0,89.0,89.0,89.0,88.0,0,0,0,0,0,0,0,0,0,7,0
UBCV,2023,W,LARC,582,O,201,Seminar: Special Topics,Sara Jacobs,8,87.75,87.5,85.0,91.25,92.0,82.0,0,0,0,0,0,0,0,0,1,4,3
UBCV,2023,W,LARC,582,R,001,Seminar: Special Topics,Daniel Roehr,17,88.65,89.0,87.0,90.0,93.0,84.0,0,0,0,0,0,0,0,0,2,10,5
UBCV,2023,W,LARC,595,,001,Graduate Project Part I,Susan Herrington,22,85.18,86.0,83.25,86.0,91.0,79.0,0,0,0,0,0,0,0,1,8,11,2
