Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,RMST,201,,101,Introduction to Literatures and Cultures of the Romance World I: Medieval to Early Modern,Katharina Piechocki,82,76.67,80.0,74.0,84.5,94.0,0.0,3,2,1,4,4,2,7,11,25,15,5
UBCV,2023,W,RMST,202,,201,Introduction to Literatures and Cultures of the Romance World II: Modern to Post-Modern,Jonathan Beasley-Murray,93,85.03,90.0,82.0,90.0,95.0,0.0,1,0,1,0,1,3,6,3,14,16,47
UBCV,2023,W,RMST,280,,201,Revolution!,Brianne Orr-Alvarez,29,85.07,86.0,83.0,88.0,95.0,70.0,0,0,0,0,0,1,1,1,8,13,5
UBCV,2023,W,RMST,300,,101,History of the Romance Languages,Anne Salamon,35,82.36,83.0,77.0,93.0,99.0,34.0,2,0,0,0,2,1,1,4,8,2,13
UBCV,2023,W,RMST,301,,101,Prose Fiction and Non-Fiction of the Romance World,Antje Ziethen,37,85.78,85.0,82.0,90.0,96.0,75.0,0,0,0,0,0,0,2,1,9,14,10
UBCV,2023,W,RMST,302,,201,Theatre and Poetry of the Romance World,Katharina Piechocki,31,75.79,79.0,69.0,86.0,97.0,35.0,2,0,1,2,1,3,2,5,3,7,3
UBCV,2023,W,RMST,306,,201,Language Contact and Multilingualism in the Romance-speaking World,Marie-Eve Bouchard,13,89.62,91.0,87.0,94.0,96.0,72.0,0,0,0,0,0,0,1,0,0,4,8
UBCV,2023,W,RMST,321,,201,French Literature from the Middle Ages to the Revolution,Patrick Moran,40,80.56,83.0,78.0,87.5,93.0,44.0,1,1,0,0,1,4,1,3,11,12,5
UBCV,2023,W,RMST,324,,101,Quebecois Literature and Culture,Isabella Huberman,11,86.55,85.0,82.5,91.0,94.0,78.0,0,0,0,0,0,0,0,1,4,1,5
UBCV,2023,W,RMST,341,,101,Italian Literature and Culture of the Medieval and Early Modern Period,Daniela Boccassini,10,77.78,87.0,72.0,90.0,98.0,45.0,2,0,0,0,0,0,1,1,0,1,4
UBCV,2023,W,RMST,345,,101,Italian Fascism in Interdisciplinary Perspective,Carlo Testa,13,76.08,82.0,69.0,83.0,96.0,52.0,0,1,0,2,0,3,0,0,4,1,2
UBCV,2023,W,RMST,454,,101,Topics in the Italian Literature and Culture of the Middle Ages,Daniela Boccassini,9,88.0,89.0,86.0,91.0,96.0,77.0,0,0,0,0,0,0,0,1,1,3,4
