Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,VANT,140,D,V01,Content and Language Enrichment Tutorials,Jodie Martin;Sandra Zappa,18,79.0,83.0,75.0,89.0,92.0,33.0,1,0,1,0,1,0,2,0,4,4,4
UBCV,2023,W,VANT,140,D,V02,Content and Language Enrichment Tutorials,Daniel Riccardi;Sandra Zappa,15,76.33,79.0,71.5,82.5,86.0,61.0,0,0,0,2,0,2,2,2,5,2,0
UBCV,2023,W,VANT,140,D,V03,Content and Language Enrichment Tutorials,Won Kim;Sandra Zappa,15,74.86,75.0,72.5,76.75,91.0,57.0,0,0,1,0,1,1,5,3,1,1,1
UBCV,2023,W,VANT,140,D,V04,Content and Language Enrichment Tutorials,Jodie Martin;Sandra Zappa,20,77.5,79.0,73.75,84.0,92.0,50.0,0,1,0,0,3,0,2,4,6,3,1
UBCV,2023,W,VANT,140,D,V05,Content and Language Enrichment Tutorials,Daniel Riccardi;Amber Shaw;Sandra Zappa,13,80.62,81.0,80.0,82.0,85.0,74.0,0,0,0,0,0,0,1,2,9,1,0
UBCV,2023,W,VANT,140,D,V06,Content and Language Enrichment Tutorials,Won Kim;Jennifer Lightfoot;Daniel Riccardi;Brett Todd;Sandra Zappa,14,74.46,72.0,70.0,79.0,86.0,66.0,0,0,0,0,1,5,3,1,1,2,0
UBCV,2023,W,VANT,140,D,VE1,Content and Language Enrichment Tutorials,Alfredo Ferreira;Fatimah Mahmood;John Pringle;Jennifer Walsh Marr;Sandra Zappa,10,67.1,65.0,61.75,76.0,82.0,51.0,0,1,1,1,3,0,0,3,1,0,0
UBCV,2023,W,VANT,140,D,VE2,Content and Language Enrichment Tutorials,Alfredo Ferreira;Fatimah Mahmood;John Pringle;Jennifer Walsh Marr;Sandra Zappa,14,64.82,65.0,58.5,68.5,81.0,52.0,0,1,3,0,4,1,1,0,1,0,0
UBCV,2023,W,VANT,140,D,VE3,Content and Language Enrichment Tutorials,Alfredo Ferreira;Fatimah Mahmood;John Pringle;Jennifer Walsh Marr;Sandra Zappa,18,75.63,76.5,69.5,81.25,91.0,61.0,0,0,0,1,1,3,2,3,4,1,1
UBCV,2023,W,VANT,148,,VGM,UBC Vantage College Projects,Meghan Allen;Priya Lekhi;Fok-Shuen Leung;Shandin Pete,95,78.71,82.0,76.0,85.0,95.0,40.0,3,2,1,2,2,6,5,12,34,23,2
UBCV,2023,W,VANT,150,,VE1,Sustainability and Engineering Design,Juan Abello Rubio;Saloome Motavas;Vladan Prodanovic;Roza Vaez Ghaemi,42,69.84,71.0,63.0,80.0,93.0,40.0,4,0,1,5,6,5,3,3,4,5,1
