Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,S,ADHE,327,,93Q,Teaching Adults,Vicheth Sen,24,81.5,82.5,78.0,87.0,91,69,0,0,0,0,0,2,1,7,7,5,2
UBCV,2024,S,ADHE,327,,93S,Teaching Adults,Carolina Palacios,18,78.2,80.0,76.25,84.5,90,55,0,0,1,0,1,2,0,3,6,4,1
UBCV,2024,S,ADHE,327,,93T,Teaching Adults,Sharon Jarvis,17,80.1,81.0,80.0,86.0,90,57,0,0,1,1,0,0,0,2,7,5,1
UBCV,2024,S,ADHE,327,,93U,Teaching Adults,,21,86.7,88.0,85.0,91.0,96,58,0,0,1,0,0,0,0,0,3,10,7
UBCV,2024,S,ADHE,328,,93Q,Institutions of Adult Education,Vicheth Sen,19,79.3,80.0,78.5,80.5,87,65,0,0,0,0,1,0,0,7,10,1,0
UBCV,2024,S,ADHE,328,,93S,Institutions of Adult Education,MD Jafar Iqbal,17,83.7,85.0,81.0,89.0,91,66,0,0,0,0,1,1,0,1,3,7,4
UBCV,2024,S,ADHE,329,,93Q,"Developing Short Courses, Workshops and Seminars",Omer Aijazi,17,82.0,87.0,85.0,88.0,90,55,0,0,2,0,1,0,0,0,1,12,1
UBCV,2024,S,ADHE,329,,93S,"Developing Short Courses, Workshops and Seminars",Gabriella Maestrini,15,84.3,85.0,83.0,86.5,88,75,0,0,0,0,0,0,1,0,6,8,0
UBCV,2024,S,ADHE,329,,93T,"Developing Short Courses, Workshops and Seminars",Gabriella Maestrini,22,89.0,89.5,85.5,92.5,94,83,0,0,0,0,0,0,0,0,5,6,11
UBCV,2024,S,ADHE,330,,93Q,The Community Practice of Adult Education,Stephanie Glick,20,80.0,81.5,79.0,83.0,90,41,1,0,0,0,0,0,0,5,10,3,1
UBCV,2024,S,ADHE,330,,93S,The Community Practice of Adult Education,Addyson Frattura-Kampschroer,28,95.5,96.0,95.0,97.0,99,86,0,0,0,0,0,0,0,0,0,1,27
UBCV,2024,S,ADHE,330,,93T,The Community Practice of Adult Education,,25,91.2,94.0,85.0,98.0,100,77,0,0,0,0,0,0,0,2,3,4,16
UBCV,2024,S,ADHE,412,,93Q,An Overview of Adult Education,Carolina Palacios,17,78.6,83.0,72.0,86.0,95,52,0,1,1,1,1,0,1,1,3,5,3
UBCV,2024,S,ADHE,412,,93S,An Overview of Adult Education,Carolina Palacios,11,79.0,78.0,76.0,84.5,88,64,0,0,0,0,1,0,1,4,2,3,0
