Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,S,ECED,400,,93Q,Introduction to Early Childhood Education and Care,,29,85.0,88.0,80.0,92.0,100,54,0,1,0,1,0,0,1,3,7,5,11
UBCV,2024,S,ECED,401,,93Q,Supporting Young Children's Health and Well-Being in Early Childhood Settings,Michaelyn Hoven,33,87.4,89.0,84.0,93.0,96,66,0,0,0,0,1,0,1,3,4,9,15
UBCV,2024,S,ECED,401,,93S,Supporting Young Children's Health and Well-Being in Early Childhood Settings,Michaelyn Hoven,26,87.3,89.0,85.5,91.0,95,70,0,0,0,0,0,1,1,1,3,10,10
UBCV,2024,S,ECED,406,,93Q,Early Learning Curriculum in the Pre-School Years,,26,84.8,84.0,82.25,88.0,97,74,0,0,0,0,0,0,2,0,12,9,3
UBCV,2024,S,ECED,407,,93Q,Supporting Early Learning in the Pre-School Years,,28,87.3,87.0,83.5,92.0,100,72,0,0,0,0,0,0,2,2,5,9,10
UBCV,2024,S,ECED,416,,93Q,Kindergarten Curriculum,Gina Wong,50,86.0,90.0,80.75,94.75,100,18,1,1,0,1,0,0,2,7,7,5,26
UBCV,2024,S,ECED,420,,93Q,History of Early Childhood Education,Kathleen Ecclestone,31,93.7,96.0,92.5,98.5,100,74,0,0,0,0,0,0,1,1,1,2,26
UBCV,2024,S,ECED,421,,93Q,"Supporting Young Children Through Home, School, and Community Relationships",Alethea Smith,25,79.1,79.0,72.0,86.0,99,50,0,1,0,0,1,4,3,4,1,9,2
UBCV,2024,S,ECED,438,,93Q,Observation and Documentation in Early Childhood Settings,Lara El Khatib,17,86.5,88.0,85.0,92.0,96,60,0,0,0,1,0,0,0,1,2,6,7
UBCV,2024,S,ECED,439,,93Q,Assessment of Infants and Young Children with Special Needs,Michaela Wooldridge,13,77.3,80.0,73.0,83.0,91,55,0,0,1,1,0,1,1,1,5,2,1
UBCV,2024,S,ECED,530,B,97A,INT&INCL PROGRMS,Teija Yli-Renko,20,94.6,95.5,94.0,97.0,98,84,0,0,0,0,0,0,0,0,1,0,19
UBCV,2024,S,ECED,531,B,951,SUP SOC EMOT LRN,Sok Yee Low,9,92.6,93.0,92.0,94.0,94,88,0,0,0,0,0,0,0,0,0,1,8
UBCV,2024,S,ECED,531,B,97A,SUP SOC EMOT LRN,Molly Lawlor,21,94.3,95.0,92.0,97.0,99,84,0,0,0,0,0,0,0,0,1,2,18
UBCV,2024,S,ECED,565,D,96A,Special Course in Early Childhood Education,,13,87.7,87.0,82.0,92.0,97,79,0,0,0,0,0,0,0,1,4,3,5
