Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,S,ENGL,110,,JL1,Approaches to Literature and Culture,Jillian Sharpe,28,82.3,83.0,73.75,88.5,98,67,0,0,0,0,1,2,5,1,8,4,7
UBCV,2024,S,ENGL,110,,JL2,Approaches to Literature and Culture,Aren Roukema,28,80.6,81.0,75.25,88.25,95,61,0,0,0,1,3,0,3,5,4,9,3
UBCV,2024,S,ENGL,110,,JL3,Approaches to Literature and Culture,Michael Wilkinson,36,70.0,72.0,68.0,76.0,82,40,1,1,1,3,2,9,8,9,2,0,0
UBCV,2024,S,ENGL,110,,MA1,Approaches to Literature and Culture,Deena Dinat,39,73.1,76.0,74.0,79.0,88,4,2,0,0,0,1,3,8,15,8,2,0
UBCV,2024,S,ENGL,110,,MA2,Approaches to Literature and Culture,Scott Inniss,30,70.8,72.5,67.25,74.0,86,53,0,1,2,2,3,5,10,3,3,1,0
UBCV,2024,S,ENGL,110,,MA3,Approaches to Literature and Culture,Jillian Sharpe,43,81.1,81.0,76.5,87.0,98,49,1,0,0,0,0,3,6,5,13,9,6
UBCV,2024,S,ENGL,110,,MA4,Approaches to Literature and Culture,John Culbert,35,75.5,77.0,73.5,80.0,92,0,1,0,0,1,0,2,7,9,9,5,1
UBCV,2024,S,ENGL,227,,921,Prose Fiction,Aren Roukema,26,79.9,84.5,80.0,91.0,95,40,3,1,0,0,0,0,0,1,8,5,8
UBCV,2024,S,ENGL,243,,921,Speculative Fiction,Robert Rouse,39,80.2,81.0,76.0,83.0,92,71,0,0,0,0,0,2,6,6,17,5,3
UBCV,2024,S,ENGL,330,,98A,The Structure of Modern English: Sounds and Words,Jessica de Villiers,51,80.2,82.0,75.0,86.0,94,62,0,0,0,1,4,1,8,8,13,11,5
UBCV,2024,S,ENGL,348,,98A,Shakespeare,Joseph Paul,37,78.8,80.0,78.0,86.0,95,0,1,1,0,0,0,3,2,5,13,7,5
UBCV,2024,S,ENGL,362,,921,Victorian Period Literature,Gisele Marie Baxter,37,79.8,80.0,75.0,83.0,92,66,0,0,0,0,2,0,8,7,11,6,3
UBCV,2024,S,ENGL,392,,98A,Children's Literature,Sarika Bose,30,76.1,80.0,74.75,83.0,90,3,1,0,1,0,1,3,2,3,14,3,2
UBCV,2024,S,ENGL,397,A,951,Studies in Prose Fiction,Suzanne James,34,77.4,80.0,77.0,82.0,88,0,1,0,0,0,0,1,3,11,12,6,0
UBCV,2024,S,ENGL,565,A,951,Studies in Environmental Humanities,Alexander Dick,6,87.5,86.5,86.0,90.0,92,83,0,0,0,0,0,0,0,0,1,3,2
