Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,BAAC,501,,001,Financial Statement Analysis I,Richard Wong,29,83.8,85.0,80.0,90.0,95,64,0,0,0,0,2,1,0,2,8,7,9
UBCV,2024,W,BAAC,550,,001,Foundations in  Accounting,Mary Chong,49,84.0,85.0,77.0,92.0,99,33,1,0,0,0,0,1,5,7,9,7,19
UBCV,2024,W,BAAC,550,,002,Foundations in  Accounting,Xin Zheng,50,84.6,86.5,77.25,91.75,99,68,0,0,0,0,0,5,3,7,5,14,16
UBCV,2024,W,BAAC,550,,824,Foundations in  Accounting,Sabrina Rai,25,81.8,82.0,76.0,86.0,95,70,0,0,0,0,0,2,2,5,6,6,4
UBCV,2024,W,BAAC,550,,MM1,Foundations in  Accounting,Rajesh Vijayaraghavan,48,82.1,83.5,76.75,88.0,96,64,0,0,0,0,2,4,4,6,11,12,9
UBCV,2024,W,BAAC,551,,001,Foundations in Accounting II,Scott Sinclair,50,77.1,76.5,71.25,83.75,95,44,1,1,0,3,0,8,9,7,9,5,7
UBCV,2024,W,BAAC,551,,002,Foundations in Accounting II,Scott Sinclair,49,80.2,82.0,74.0,86.0,93,56,0,0,1,4,0,4,4,2,16,11,7
UBCV,2024,W,BAAC,551,,301,Foundations in Accounting II,Akash Rattan,62,84.2,86.0,80.0,88.0,95,69,0,0,0,0,0,3,3,8,12,24,12
UBCV,2024,W,BAAC,551,,MM1,Foundations in Accounting II,Akash Rattan,56,79.5,80.0,73.0,85.25,96,65,0,0,0,0,3,6,12,6,13,9,7
UBCV,2024,W,BAAC,580,A,001,Climate & ESG Accounting & Reporting,Caren Lombard,27,83.9,84.0,80.0,86.0,92,80,0,0,0,0,0,0,0,0,15,10,2
