Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,BMEG,101,,201,Introduction to Biomedical Engineering,Govindkrishna Kaigala;Septimiu Salcudean;Nika Shakiba;Robyn Newell,78,79.6,80.0,76.0,83.0,92,58,0,0,1,0,2,3,13,18,23,17,1
UBCV,2024,W,BMEG,102,,201,Biomedical Engineering Lab,Gabrielle Lam,70,80.1,81.0,77.0,84.75,93,23,1,0,0,0,0,1,10,16,24,14,4
UBCV,2024,W,BMEG,201,,201,Technical Communication for Biomedical Engineers,Sharareh Bayat,36,90.1,90.0,90.0,92.0,95,75,0,0,0,0,0,0,1,0,1,5,29
UBCV,2024,W,BMEG,201,,202,Technical Communication for Biomedical Engineers,Sharareh Bayat,39,87.2,88.0,86.0,90.0,93,71,0,0,0,0,0,1,0,1,4,21,12
UBCV,2024,W,BMEG,201,,203,Technical Communication for Biomedical Engineers,Sukhneet Kaur Dhillon,24,92.8,93.0,91.0,94.0,97,89,0,0,0,0,0,0,0,0,0,1,23
UBCV,2024,W,BMEG,210,,101,Thermodynamics in Biomedical Engineering,Roza Vaez Ghaemi,93,78.4,81.0,68.0,88.0,100,49,1,3,1,7,6,12,7,4,13,18,21
UBCV,2024,W,BMEG,220,,201,Circuits and Electromagnetics with Application to Biomedical Engineering,Negar Mohaghegh Harandi,103,73.6,73.0,65.0,85.0,98,49,6,5,4,5,13,14,6,9,12,16,13
UBCV,2024,W,BMEG,230,,101,Biomechanics I,Pawel Kudzia,98,85.1,85.5,82.0,89.0,97,68,0,0,0,0,0,3,2,12,26,34,21
UBCV,2024,W,BMEG,245,,101,The Fundamental Units of Life: From Cells To Systems,Nozomu Yachie;Nazim-Dayag Sheykhkarimli,99,78.2,80.0,73.0,86.0,95,15,2,0,4,2,4,8,12,14,24,18,11
UBCV,2024,W,BMEG,250,,201,Cellular  Physiology  and Biophysics,Vikramaditya Yadav,102,80.8,83.0,78.0,85.0,91,58,0,0,1,2,2,1,10,19,40,23,4
UBCV,2024,W,BMEG,257,,201,Biomedical Engineering Design I,Calvin Kuo,97,82.1,83.0,80.0,86.0,96,31,1,0,1,0,0,2,9,10,39,29,6
UBCV,2024,W,BMEG,310,,101,Introduction to Bioinformatics,Ali Bashashati Saghezchi,100,86.4,86.0,83.0,90.25,94,72,0,0,0,0,0,0,4,4,26,33,33
UBCV,2024,W,BMEG,320,,201,Bioengineering Feedback Systems and Controls,Sharareh Bayat,15,79.8,77.0,71.0,90.5,99,57,0,0,1,0,0,3,2,2,1,0,6
UBCV,2024,W,BMEG,321,,201,Biomedical Instrumentation,Negar Mohaghegh Harandi,83,83.6,83.0,80.0,88.0,97,64,0,0,0,0,1,2,5,12,23,20,20
UBCV,2024,W,BMEG,330,,201,Biomechanics II,Robyn Newell,32,87.8,89.5,83.5,94.0,99,71,0,0,0,0,0,1,2,2,4,7,16
UBCV,2024,W,BMEG,350,,201,Human Structure/Function from Cells to Systems,Edwin D Moore;Robyn Newell;Dena Shahriari;Manu Sasidharan Madhav;Ali Bashashati Saghezchi;Kenneth Liu,77,79.7,80.0,74.0,85.0,94,61,0,0,0,2,1,7,14,12,18,18,5
UBCV,2024,W,BMEG,357,,201,Biomedical  Engineering Design II,Jenna Usprech,86,84.4,85.0,81.0,87.0,96,64,0,0,0,0,2,0,3,7,27,34,13
UBCV,2024,W,BMEG,371,,101,Transport Phenomena within Cells and Tissues,Tiam Heydari;Daniel Aguilar Hidalgo,90,92.4,96.0,89.0,99.0,100,63,0,0,0,1,2,2,2,0,5,14,64
UBCV,2024,W,BMEG,372,,101,Biomedical Materials and Drug Delivery,Gabrielle Lam,44,80.7,81.0,75.0,86.25,94,59,0,0,1,0,2,0,9,7,10,7,8
UBCV,2024,W,BMEG,373,,101,Microfluidics,Carolina Tropini,26,79.2,80.0,72.5,88.0,96,57,0,0,1,2,1,1,4,3,3,5,6
UBCV,2024,W,BMEG,374,,201,Cellular Bioengineering: Laboratory & Design,Jenna Usprech,29,85.0,87.0,81.0,90.0,96,67,0,0,0,0,1,1,1,3,3,12,8
UBCV,2024,W,BMEG,400,J,201,IMMUNOENGINEERNG,Kelly Marshall McNagny;Anna Blakney,15,92.7,94.0,90.5,95.5,97,84,0,0,0,0,0,0,0,0,1,2,12
UBCV,2024,W,BMEG,400,K,201,WEARABLES,Calvin Kuo,53,85.6,88.0,85.0,90.0,94,51,0,1,0,1,0,1,2,2,5,25,16
UBCV,2024,W,BMEG,400,L,201,EXP MICROFLUIDIC,Govindkrishna Kaigala;Sofia Graham Arshavsky,9,84.9,83.0,83.0,90.0,91,79,0,0,0,0,0,0,0,1,5,0,3
UBCV,2024,W,BMEG,400,Q,201,MEDICAL IMAGE PROCESSING AND MACHINE LEARNING,Sharareh Bayat;Negar Mohaghegh Harandi,14,81.9,82.5,78.5,86.75,96,61,0,0,0,1,0,0,1,2,4,4,2
UBCV,2024,W,BMEG,401,,201,Economics of Healthcare Solutions,Clayton Weir,70,83.8,85.0,79.25,89.0,96,65,0,0,0,0,1,3,6,8,12,27,13
UBCV,2024,W,BMEG,401,,202,Economics of Healthcare Solutions,Fraser Pogue;Clayton Weir,63,83.6,84.0,82.0,86.0,93,66,0,0,0,0,1,0,4,3,27,25,3
UBCV,2024,W,BMEG,402,,101,"Impact of Biomedical Engineering on Society, Sustainability and Environmental Stewardship",Rashmi Prakash,38,85.3,85.0,84.0,86.0,90,81,0,0,0,0,0,0,0,0,14,20,4
UBCV,2024,W,BMEG,410,,101,"Biomedical Equipment, Physiology, and Anatomy",Claudia Krebs;Anthony Saraco,21,88.9,89.0,85.0,95.0,99,72,0,0,0,0,0,0,1,0,3,8,9
UBCV,2024,W,BMEG,420,,101,Medical Imaging,Robert Rohling,38,77.5,79.5,71.0,86.5,97,42,1,2,0,1,2,5,2,6,7,6,6
UBCV,2024,W,BMEG,421,,101,Linear Systems in Optics,Myeong Jin Ju,6,76.5,80.5,65.5,86.5,93,56,0,0,1,1,0,0,0,1,0,2,1
UBCV,2024,W,BMEG,423,,101,Clinical Informatics,Matthias Goerges,42,80.8,83.5,78.0,85.0,90,61,0,0,0,1,1,2,5,4,14,13,2
UBCV,2024,W,BMEG,424,,201,Genome Informatics,Carl de Boer,9,73.0,71.0,67.0,75.0,96,58,0,0,1,0,2,2,2,1,0,0,1
UBCV,2024,W,BMEG,425,,201,Biomedical Robotics,Manu Sasidharan Madhav,31,85.9,87.0,81.0,91.0,96,72,0,0,0,0,0,0,2,4,6,6,13
UBCV,2024,W,BMEG,455,,101,Professionalism and Ethics in Biomedical Engineering,Jenna Usprech,119,86.8,88.0,83.0,91.0,97,69,0,0,0,0,0,2,4,9,20,36,48
UBCV,2024,W,BMEG,456,,101,Clinical and Industrial Biomedical Engineering,Rashmi Prakash,27,85.9,87.0,83.0,90.0,95,72,0,0,0,0,0,0,4,0,6,6,11
UBCV,2024,W,BMEG,457,,001,Biomedical Engineering Design Project,,125,90.8,92.0,88.0,94.0,97,59,0,0,1,0,0,0,2,5,5,20,92
UBCV,2024,W,BMEG,470,,201,Cellular  Responses  to Forces and Biomaterials,Dena Shahriari,35,81.3,82.0,77.0,87.0,93,60,0,0,0,1,1,2,2,5,8,11,5
UBCV,2024,W,BMEG,474,,201,Stem Cells and Regenerative Medicine,Tully Michael Underhill;Fabio Rossi,33,80.2,81.0,75.0,84.0,94,61,0,0,0,1,0,2,7,4,11,6,2
UBCV,2024,W,BMEG,490,B,001,Introduction to Academic Research,,27,91.4,91.0,89.0,94.5,98,84,0,0,0,0,0,0,0,0,1,8,18
UBCV,2024,W,BMEG,495,,201,Biomaterials,Felipe Eltit;Qiong Wang,18,83.7,84.0,81.0,87.0,94,73,0,0,0,0,0,0,3,0,7,4,4
UBCV,2024,W,BMEG,500,,101,Orientation to Clinical Environment,Roger Tam,20,95.0,95.0,93.75,96.25,99,91,0,0,0,0,0,0,0,0,0,0,20
UBCV,2024,W,BMEG,501,,001,Interdisciplinary Team Project in Medical Technology Innovation,,20,90.0,91.0,89.0,92.0,92,86,0,0,0,0,0,0,0,0,0,5,15
UBCV,2024,W,BMEG,510,,101,Anatomy and Physiology with Applications to Biomedical Devices,Claudia Krebs;Anthony Saraco,21,91.0,93.0,89.0,95.0,99,73,0,0,0,0,0,0,1,0,3,2,15
UBCV,2024,W,BMEG,511,,201,Fundamentals of Applied Pathophysiology in Biomedical Engineering,Babak Shadgan,17,90.4,90.0,89.0,92.0,95,86,0,0,0,0,0,0,0,0,0,6,11
UBCV,2024,W,BMEG,523,,101,Clinical Informatics,Matthias Goerges,13,88.1,88.0,86.0,90.0,94,83,0,0,0,0,0,0,0,0,2,7,4
