Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,COGS,200,,101,Introduction to Cognitive Systems,Thomas Jacob Bittner;Veronika Dudarev;Oksana Tkachman,143,77.8,79.0,72.5,84.0,94,54,0,2,3,5,5,13,24,25,32,25,9
UBCV,2024,W,COGS,200,,201,Introduction to Cognitive Systems,Thomas Jacob Bittner;Oksana Tkachman;Veronika Dudarev,79,76.6,78.0,70.5,83.0,92,54,0,1,1,1,11,8,9,11,28,7,2
UBCV,2024,W,COGS,300,,101,Understanding and Designing Cognitive Systems,Paul Bucci,68,85.0,86.0,82.0,89.25,97,58,0,0,1,0,0,2,4,3,19,22,17
UBCV,2024,W,COGS,300,,201,Understanding and Designing Cognitive Systems,Paul Bucci,64,81.4,83.0,76.75,88.0,94,54,0,1,0,3,0,5,5,8,14,17,11
UBCV,2024,W,COGS,303,,101,Research Methods in Cognitive Systems,Gerrit Neels,39,81.6,82.0,78.0,85.5,94,60,0,0,0,1,0,0,6,5,17,6,4
UBCV,2024,W,COGS,303,,102,Research Methods in Cognitive Systems,Cristina Conati,37,80.6,80.0,77.0,85.0,91,66,0,0,0,0,1,0,5,10,9,10,2
UBCV,2024,W,COGS,303,,201,Research Methods in Cognitive Systems,Cristina Conati,31,80.0,80.0,76.5,84.0,91,70,0,0,0,0,0,1,6,8,8,5,3
UBCV,2024,W,COGS,401,,102,Seminar in Cognitive Systems,Gloria Mellesmoen,40,82.3,82.0,80.0,85.0,94,64,0,0,0,0,1,1,1,6,16,11,4
UBCV,2024,W,COGS,401,,201,Seminar in Cognitive Systems,Brittney Debra Smaila,40,77.8,79.0,71.0,84.25,92,64,0,0,0,0,5,6,5,6,8,7,3
UBCV,2024,W,COGS,401,,202,Seminar in Cognitive Systems,Laura Bickel,36,82.8,82.5,80.0,86.0,90,73,0,0,0,0,0,0,1,7,14,12,2
UBCV,2024,W,COGS,402,,101,Research in Cognitive Systems,Marton Soskuthy,28,86.0,85.0,83.75,90.5,98,67,0,0,0,0,1,0,1,1,9,7,9
UBCV,2024,W,COGS,402,,201,Research in Cognitive Systems,Christopher Mole,53,85.6,88.0,84.0,92.0,98,0,1,0,0,0,0,0,2,3,8,17,22
