Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,EDST,493,,022,Introduction to the Study of Higher Education,Lesley Coral Andres,29,79.6,85.0,78.0,89.0,93,0,2,0,0,0,1,1,1,4,4,10,6
UBCV,2024,W,EDST,501,,021,Research Traditions in Educational Administration,Fei Wang,8,90.2,91.0,88.0,91.0,94,88,0,0,0,0,0,0,0,0,0,3,5
UBCV,2024,W,EDST,501,,61A,Research Traditions in Educational Administration,Ali Abdi,12,88.9,89.0,88.0,89.25,91,87,0,0,0,0,0,0,0,0,0,9,3
UBCV,2024,W,EDST,503,,021,Foundations of Adult Learning and Education,Robert Vanwynsberghe,12,94.2,94.5,93.5,95.25,96,92,0,0,0,0,0,0,0,0,0,0,12
UBCV,2024,W,EDST,504,A,021,History of Educational Policy,Jason Ellis,9,87.0,88.0,85.0,89.0,90,83,0,0,0,0,0,0,0,0,2,5,2
UBCV,2024,W,EDST,509,,081,Constructing Citizens: Canada and the Educational Past,Mona Gleason,16,86.7,89.0,86.75,91.25,93,67,0,0,0,0,1,1,0,1,0,6,7
UBCV,2024,W,EDST,511,,021,Organization and Administration of Higher Education,Amy Metcalfe,20,90.8,91.0,91.0,91.0,91,89,0,0,0,0,0,0,0,0,0,1,19
UBCV,2024,W,EDST,513,,022,Current issues in Higher Education,Amy Metcalfe,11,91.0,91.0,91.0,91.0,91,91,0,0,0,0,0,0,0,0,0,0,11
UBCV,2024,W,EDST,515,,022,Survey Research Methods,Lesley Coral Andres,12,85.0,85.0,83.75,87.25,90,78,0,0,0,0,0,0,0,1,4,6,1
UBCV,2024,W,EDST,518,,022,Theory and Research on Adult Learning,Hongxia Shan,18,89.6,90.0,88.25,91.0,95,84,0,0,0,0,0,0,0,0,2,4,12
UBCV,2024,W,EDST,521,,021,Foundations of Higher Education,Sharon Rebekah Stein,14,97.1,98.5,98.0,99.0,100,87,0,0,0,0,0,0,0,0,0,1,13
UBCV,2024,W,EDST,523,A,021,Comparative Education,Sharon Rebekah Stein,12,98.3,98.5,98.0,99.0,100,96,0,0,0,0,0,0,0,0,0,0,12
UBCV,2024,W,EDST,525,,021,Program Evaluation in Adult and Community Education,Kapil Regmi,14,87.1,87.0,86.0,88.0,91,84,0,0,0,0,0,0,0,0,1,10,3
UBCV,2024,W,EDST,527,,022,Higher Education Policy: International and Comparative Perspectives,Amy Metcalfe,7,91.3,92.0,91.0,92.0,92,89,0,0,0,0,0,0,0,0,0,1,6
UBCV,2024,W,EDST,531,,022,The Politics of Educational Governance,Philip Webb,17,99.5,100.0,100.0,100.0,100,97,0,0,0,0,0,0,0,0,0,0,17
UBCV,2024,W,EDST,533,,61A,Planning in Educational Organizations,Lindsay Cole,18,95.6,97.0,96.0,97.0,100,72,0,0,0,0,0,0,1,0,0,0,17
UBCV,2024,W,EDST,534,,021,Theory and Practice of Transformative Learning and Education,Judith Walker,13,92.7,94.0,91.0,95.0,95,85,0,0,0,0,0,0,0,0,0,1,12
UBCV,2024,W,EDST,535,,022,Comparative and International Adult Education,Judith Walker,7,89.9,91.0,89.0,92.5,94,81,0,0,0,0,0,0,0,0,1,1,5
UBCV,2024,W,EDST,540,A,021,GLOB LEARN,Kari Grain,17,85.5,85.0,85.0,90.0,90,76,0,0,0,0,0,0,0,3,0,7,7
UBCV,2024,W,EDST,540,B,022,GLOB LEARN,Kari Grain,15,87.3,85.0,85.0,90.0,90,85,0,0,0,0,0,0,0,0,0,8,7
UBCV,2024,W,EDST,541,,021,Adult Learning: Contexts and Perspectives,,15,80.5,76.0,76.0,85.0,90,76,0,0,0,0,0,0,0,8,0,6,1
UBCV,2024,W,EDST,543,,022,Understanding Research,,15,82.0,85.0,76.0,85.0,85,76,0,0,0,0,0,0,0,5,0,10,0
UBCV,2024,W,EDST,544,,021,Global/Local Learning,,16,90.0,90.0,90.0,90.0,90,90,0,0,0,0,0,0,0,0,0,0,16
UBCV,2024,W,EDST,545,,021,Indigenous Inquiry and Research,Cash Ahenakew,21,94.4,95.0,94.0,95.0,97,92,0,0,0,0,0,0,0,0,0,0,21
UBCV,2024,W,EDST,545,,61A,Indigenous Inquiry and Research,Margaret Kovach,22,90.4,90.0,88.25,92.0,95,85,0,0,0,0,0,0,0,0,0,10,12
UBCV,2024,W,EDST,546,,022,Indigenous Methodology and Epistemology,Margaret Kovach,17,89.8,90.0,89.0,91.0,94,85,0,0,0,0,0,0,0,0,0,7,10
UBCV,2024,W,EDST,553,A,022,Group Inquiry into Educational Practices,Fei Wang,8,91.1,92.0,89.0,92.0,94,89,0,0,0,0,0,0,0,0,0,3,5
UBCV,2024,W,EDST,553,A,62A,Group Inquiry into Educational Practices,Hartej Gill,12,96.5,97.0,95.0,98.0,98,95,0,0,0,0,0,0,0,0,0,0,12
UBCV,2024,W,EDST,558,,021,Antiracism Education,Bathseba Opini,13,90.3,90.0,90.0,91.0,93,89,0,0,0,0,0,0,0,0,0,3,10
UBCV,2024,W,EDST,561,A,082,Practicum,Kari Grain,11,90.9,91.0,89.0,94.0,96,84,0,0,0,0,0,0,0,0,1,3,7
UBCV,2024,W,EDST,565,A,021,Special Course in Subject Matter Field,Kari Grain,20,92.3,94.0,90.75,97.25,99,73,0,0,0,0,0,0,2,0,0,2,16
UBCV,2024,W,EDST,571,,021,"Educational Research: Relating Questions, Theory, and Methodology",Ali Abdi,15,88.7,89.0,88.0,91.0,94,76,0,0,0,0,0,0,0,1,0,8,6
UBCV,2024,W,EDST,575,,022,Work and Learning,Alison Taylor,17,87.2,87.0,87.0,88.0,90,83,0,0,0,0,0,0,0,0,1,15,1
UBCV,2024,W,EDST,577,,081,"Social Contexts of Educational Policy, Politics and Practice",Philip Webb,18,98.0,100.0,97.0,100.0,100,88,0,0,0,0,0,0,0,0,0,1,17
UBCV,2024,W,EDST,579,,022,School-Community Relations,Bathseba Opini,10,92.2,92.5,91.25,93.0,95,90,0,0,0,0,0,0,0,0,0,0,10
UBCV,2024,W,EDST,581,,022,"Leadership, Administration, and the Aims of Education",Gerald Fallon,16,88.1,88.0,87.0,90.0,91,83,0,0,0,0,0,0,0,0,2,9,5
UBCV,2024,W,EDST,582,,022,The Study of Educational Organizations,Mark Edwards;Glory Ovie,15,92.7,93.0,92.0,94.0,96,86,0,0,0,0,0,0,0,0,0,1,14
UBCV,2024,W,EDST,585,,022,"Capstone: Society, Culture, and Politics in Education",Ali Abdi,9,89.6,88.0,88.0,92.0,93,87,0,0,0,0,0,0,0,0,0,6,3
UBCV,2024,W,EDST,588,,022,Environmental Philosophy and Education,Claudia Ruitenberg,13,89.1,89.0,87.0,90.0,94,85,0,0,0,0,0,0,0,0,0,8,5
UBCV,2024,W,EDST,591,,021,Indigenous Epistemology and Curriculum,Dustin Louie,6,91.5,91.5,91.0,92.0,93,90,0,0,0,0,0,0,0,0,0,0,6
UBCV,2024,W,EDST,597,,021,"Educational Theories: Equality, Democracy, and Justice",Claudia Ruitenberg,15,89.2,89.0,88.0,91.0,96,82,0,0,0,0,0,0,0,0,2,6,7
