Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,ENVR,200,,101,Introduction to Environmental Science,Michael Lipsen;Jerry Achar,35,79.3,80.0,79.0,84.0,87,43,1,0,0,1,0,1,2,4,17,9,0
UBCV,2024,W,ENVR,200,,201,Introduction to Environmental Science,Kendra Chritz;Michael Lipsen,36,80.2,81.5,74.0,86.0,90,60,0,0,0,1,2,2,5,3,7,12,4
UBCV,2024,W,ENVR,300,,201,Introduction to Research in Environmental Science,Valentina Radic,58,89.3,92.0,88.25,94.0,98,54,0,1,0,1,0,1,0,2,4,9,40
UBCV,2024,W,ENVR,300,,202,Introduction to Research in Environmental Science,Jerry Achar,25,80.8,83.0,76.0,85.0,94,60,0,0,0,1,2,0,3,3,7,6,3
UBCV,2024,W,ENVR,400,,001,Community Project in Environmental Science,,37,88.9,90.0,86.0,92.0,94,78,0,0,0,0,0,0,0,1,4,10,22
UBCV,2024,W,ENVR,402,,201,Climate Studies and Action Capstone,Jessica Dempsey;Rachel White,9,88.7,90.0,88.0,91.0,92,79,0,0,0,0,0,0,0,1,0,3,5
UBCV,2024,W,ENVR,420,,201,Ecohydrology of Watersheds and Water Systems,Mark Johnson,39,77.9,80.0,71.0,85.0,97,61,0,0,0,1,5,4,6,2,10,6,5
UBCV,2024,W,ENVR,430,,101,Ecological Dimensions of Sustainability,Kai Chan,75,92.2,93.0,90.0,94.0,97,78,0,0,0,0,0,0,0,1,2,8,64
UBCV,2024,W,ENVR,440,,201,Analytical Methods in Sustainability Science,Shiva Zargar Ershadi,40,95.2,96.0,94.0,97.0,99,87,0,0,0,0,0,0,0,0,0,1,39
UBCV,2024,W,ENVR,448,B,201,Directed Studies in Environmental Science,,17,92.5,94.0,89.0,96.0,100,78,0,0,0,0,0,0,0,1,1,3,12
UBCV,2024,W,ENVR,448,B,202,Directed Studies in Environmental Science,David Boyd,24,87.0,87.0,84.0,88.25,94,82,0,0,0,0,0,0,0,0,7,12,5
