Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,FRST,100,,101,Sustainable Forests,Andres Varhola Troya,83,80.8,81.0,76.0,87.0,98,45,1,0,0,0,7,2,8,15,20,14,16
UBCV,2024,W,FRST,101,,201,Principles of Microeconomics for Forestry and Land and Food Systems,Sumeet Gulati,30,79.6,82.5,75.25,87.0,96,45,1,1,0,0,1,1,4,4,7,8,3
UBCV,2024,W,FRST,110,,101,Land One: First-year Integrative Seminar,,30,84.1,86.0,79.5,90.0,92,67,0,0,0,0,1,1,2,4,4,9,9
UBCV,2024,W,FRST,200,,101,Forest Plant Biology I,Athena McKown;Alaina Heidt,151,77.0,80.0,68.5,87.0,97,27,3,6,10,9,7,6,18,16,25,25,26
UBCV,2024,W,FRST,201,,101,Forest Ecology,Amy Wotherspoon,159,81.6,85.0,76.5,90.0,97,6,2,2,2,2,9,9,12,13,26,38,44
UBCV,2024,W,FRST,210,,201,Forest Plant Biology II,Yousry El-Kassaby;Philip David Evans;Athena McKown;Alaina Heidt,151,75.9,77.0,69.0,84.5,95,7,2,4,7,10,10,10,19,26,25,22,16
UBCV,2024,W,FRST,211,,201,Forest Classification and Silvics,Patrick Culbert,132,77.0,80.0,71.0,83.0,94,0,2,1,2,8,9,12,16,15,37,17,13
UBCV,2024,W,FRST,231,,101,Introduction to Biometrics,Andres Varhola Troya,140,75.8,77.5,70.0,86.0,100,26,17,1,1,2,4,14,18,19,18,23,23
UBCV,2024,W,FRST,231,,201,Introduction to Biometrics,Andres Varhola Troya,70,75.9,77.0,70.0,88.5,96,4,8,0,0,0,4,9,8,9,8,7,17
UBCV,2024,W,FRST,232,,101,Computer Applications in Forestry,Christopher Colton,74,88.8,89.0,86.25,94.0,99,70,0,0,0,0,0,1,3,3,7,24,36
UBCV,2024,W,FRST,232,,201,Computer Applications in Forestry,Suborna Ahmed,66,88.7,91.5,85.25,95.0,99,12,1,0,0,0,1,0,1,2,9,12,40
UBCV,2024,W,FRST,239,,201,Tree and Stand Level Measurements,Lee Salmon,36,83.4,85.5,81.0,90.0,95,54,0,1,1,1,1,0,2,1,8,11,10
