Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,GRSJ,101,,101,Introduction to Social Justice,Evangelia Chatzivasileiou,65,79.4,82.0,78.0,86.0,96,30,3,0,1,1,2,3,2,11,20,12,10
UBCV,2024,W,GRSJ,101,,102,Introduction to Social Justice,Minelle Mahtani,66,84.3,84.0,81.0,87.0,90,76,0,0,0,0,0,0,0,4,30,24,8
UBCV,2024,W,GRSJ,101,,201,Introduction to Social Justice,Evangelia Chatzivasileiou,50,78.3,84.0,78.5,87.0,92,18,4,0,0,2,2,1,1,3,12,19,6
UBCV,2024,W,GRSJ,101,,227,Introduction to Social Justice,Viisha Souza,61,87.5,90.0,87.0,94.0,98,0,1,1,0,0,0,0,1,2,6,16,34
UBCV,2024,W,GRSJ,101,,99A,Introduction to Social Justice,Tara Mayer,72,89.8,92.0,88.0,96.0,99,16,1,0,0,0,0,2,2,1,5,12,49
UBCV,2024,W,GRSJ,101,,99C,Introduction to Social Justice,Tara Mayer,78,84.7,88.0,85.0,91.75,96,0,4,0,0,2,0,0,0,5,7,24,36
UBCV,2024,W,GRSJ,102,,101,Global Issues in Social Justice,Evangelia Chatzivasileiou,51,77.5,80.0,72.5,85.0,95,53,0,1,6,1,2,3,6,2,15,10,5
UBCV,2024,W,GRSJ,102,,201,Global Issues in Social Justice,Viisha Souza,60,86.7,90.0,85.0,93.0,100,23,1,0,0,0,2,0,3,4,4,15,31
UBCV,2024,W,GRSJ,200,,101,Gender and Environmental Justice,Evangelia Chatzivasileiou,34,80.6,84.0,71.0,90.75,97,30,1,0,1,2,2,4,0,0,7,6,11
UBCV,2024,W,GRSJ,210,,201,"Gender, Race and Colonialism in the Americas",Ana Vivaldi Pasqua,40,81.8,83.0,80.0,87.0,91,44,1,0,0,0,0,2,0,6,17,13,1
UBCV,2024,W,GRSJ,224,A,101,"Gender, Race, Sexuality, and Social Justice in Literature",Caroline Chung-Hsuan Locher-Lo,44,86.7,89.0,84.75,91.0,98,63,0,0,0,1,1,0,3,1,5,15,18
UBCV,2024,W,GRSJ,224,A,102,"Gender, Race, Sexuality, and Social Justice in Literature",Rusaba Alam,39,87.2,89.0,83.5,93.0,95,63,0,0,0,1,0,0,1,3,8,10,16
UBCV,2024,W,GRSJ,224,B,201,"Gender, Race, Sexuality, and Social Justice in Literature",Lorenia Salgado-Leos,42,85.0,89.5,82.0,91.0,100,15,1,0,0,1,0,1,0,6,5,7,21
UBCV,2024,W,GRSJ,224,B,202,"Gender, Race, Sexuality, and Social Justice in Literature",Kim Snowden,41,77.5,78.0,74.0,82.0,92,56,0,0,2,1,0,2,8,14,6,7,1
UBCV,2024,W,GRSJ,224,C,001,"Gender, Race, Sexuality, and Social Justice in Literature",,47,76.1,77.0,73.0,82.5,92,17,1,0,2,1,1,3,8,14,6,8,3
