Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,LFS,100,,001,"Introduction to Land, Food and Community",Raelani Kesler,142,89.5,93.0,88.25,96.0,99,9,2,0,2,3,0,3,2,4,9,14,103
UBCV,2024,W,LFS,100,,002,"Introduction to Land, Food and Community",Raelani Kesler,110,86.9,91.0,83.0,94.0,99,36,3,1,1,1,2,1,2,9,11,15,64
UBCV,2024,W,LFS,100,,003,"Introduction to Land, Food and Community",Raelani Kesler,87,87.1,92.0,86.0,95.0,100,18,1,0,0,5,2,5,4,0,4,15,51
UBCV,2024,W,LFS,101,,201,Principles of Microeconomics with Applications to Land and Food Systems,Sumeet Gulati,25,86.4,87.0,83.0,89.0,99,76,0,0,0,0,0,0,0,2,7,10,6
UBCV,2024,W,LFS,110,,101,Land One: First-year Integrative Seminar,,27,85.3,86.0,82.0,89.5,96,69,0,0,0,0,0,1,0,4,5,10,7
UBCV,2024,W,LFS,150,,001,Scholarly Writing and Argumentation in Land and Food Systems,Lindsay Cuff,30,79.3,84.5,79.25,88.0,91,13,2,0,0,0,0,1,2,3,7,13,2
UBCV,2024,W,LFS,150,,002,Scholarly Writing and Argumentation in Land and Food Systems,Duff Roberts,30,81.6,83.5,77.25,88.75,92,49,1,0,0,1,0,1,3,3,8,7,6
UBCV,2024,W,LFS,150,,003,Scholarly Writing and Argumentation in Land and Food Systems,Duff Roberts,30,81.7,84.5,79.25,88.75,95,56,0,0,1,2,0,3,0,2,7,9,6
UBCV,2024,W,LFS,150,,004,Scholarly Writing and Argumentation in Land and Food Systems,Amelia MacRae,28,79.0,85.5,76.75,90.0,92,14,2,0,0,1,0,0,3,3,4,5,10
UBCV,2024,W,LFS,150,,005,Scholarly Writing and Argumentation in Land and Food Systems,Amelia MacRae,28,74.6,80.0,69.5,84.25,90,31,3,0,0,2,1,2,2,4,7,6,1
UBCV,2024,W,LFS,150,,006,Scholarly Writing and Argumentation in Land and Food Systems,Lindsay Cuff,26,80.8,86.5,83.25,89.0,93,27,2,1,0,1,0,0,0,0,5,12,5
UBCV,2024,W,LFS,150,,007,Scholarly Writing and Argumentation in Land and Food Systems,Candice Rideout,31,80.9,84.0,81.0,84.5,90,50,0,1,0,0,0,4,0,2,16,7,1
UBCV,2024,W,LFS,150,,008,Scholarly Writing and Argumentation in Land and Food Systems,Duff Roberts,31,81.4,84.0,80.0,86.0,90,61,0,0,0,1,2,1,1,1,13,11,1
UBCV,2024,W,LFS,150,,201,Scholarly Writing and Argumentation in Land and Food Systems,Lindsay Cuff,24,86.8,88.5,84.75,91.0,94,70,0,0,0,0,0,2,0,1,3,7,11
UBCV,2024,W,LFS,250,,001,"Land, Food and Community I: Introduction to Food Systems and Sustainability",,199,86.8,88.0,85.0,91.0,97,46,1,0,1,3,0,5,5,8,25,78,73
UBCV,2024,W,LFS,250,,002,"Land, Food and Community I: Introduction to Food Systems and Sustainability",,118,88.1,88.0,86.0,91.0,99,63,0,0,0,1,0,0,3,1,17,49,47
UBCV,2024,W,LFS,250,,003,"Land, Food and Community I: Introduction to Food Systems and Sustainability",,91,84.6,88.0,83.5,90.0,98,2,1,2,0,0,4,0,3,4,15,28,34
UBCV,2024,W,LFS,252,,002,"Land, Food, and Community: Quantitative Data Analysis",Michael Johnson,124,79.2,81.5,71.0,88.0,99,50,0,4,4,5,12,7,12,10,21,23,26
UBCV,2024,W,LFS,252,,003,"Land, Food, and Community: Quantitative Data Analysis",Michael Johnson,106,74.4,74.0,66.25,85.0,98,37,3,4,7,8,8,14,14,9,11,14,14
UBCV,2024,W,LFS,340,,001,First Nations Health and the Traditional Role of Plants,Dana Hunter;Alannah Young,31,85.0,88.0,84.5,91.5,95,33,1,0,0,0,1,2,1,0,3,9,14
UBCV,2024,W,LFS,350,,001,"Land, Food, and Community II: Principles and Practice of Community Food Security",William Valley,30,90.6,91.0,89.25,94.0,98,80,0,0,0,0,0,0,0,0,5,3,22
UBCV,2024,W,LFS,350,,002,"Land, Food, and Community II: Principles and Practice of Community Food Security",William Valley,19,90.1,91.0,87.5,93.0,98,78,0,0,0,0,0,0,0,1,1,4,13
UBCV,2024,W,LFS,400,,001,Audio Storytelling,Duncan McHugh;Jennifer Black,16,87.6,87.0,84.75,93.0,95,75,0,0,0,0,0,0,1,1,2,6,6
UBCV,2024,W,LFS,450,,001,"Land, Food, and Community III: Leadership in Campus Food System Sustainability",Liska Richer,35,79.5,81.0,75.0,83.0,93,64,0,0,0,0,1,2,6,4,16,4,2
