Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,PPGA,391,A,001,TOPICS IN PPGA,Tamara Baldwin,35,82.5,83.0,79.5,87.0,95,63,0,0,0,1,1,1,3,3,12,8,6
UBCV,2024,W,PPGA,500,A,001,Economics for Policy,Jonathan Graves,21,83.6,83.0,82.0,85.0,98,73,0,0,0,0,0,0,2,0,12,4,3
UBCV,2024,W,PPGA,503,,001,Measurement and Data Analysis for Policy,Matthew Wright,39,81.8,84.0,81.0,86.5,93,0,1,0,0,0,0,0,1,5,13,17,2
UBCV,2024,W,PPGA,504,,001,Policy Analysis and Evaluation,Tarun Khanna,17,86.9,87.0,86.0,89.0,91,79,0,0,0,0,0,0,0,1,3,9,4
UBCV,2024,W,PPGA,504,,002,Policy Analysis and Evaluation,Grace Jaramillo Gutierrez,21,87.0,87.0,85.0,90.0,93,79,0,0,0,0,0,0,0,2,3,10,6
UBCV,2024,W,PPGA,505,,001,Domestic and Global Policy Processes,Matias Margulis,20,82.7,82.5,81.0,84.0,87,78,0,0,0,0,0,0,0,3,13,4,0
UBCV,2024,W,PPGA,505,,002,Domestic and Global Policy Processes,Catherine Hecht,19,81.6,87.0,85.0,87.0,88,0,1,0,0,0,0,0,0,0,3,15,0
UBCV,2024,W,PPGA,508,,001,Policy in Context,Tsering Shakya,18,85.6,85.5,84.0,87.0,93,81,0,0,0,0,0,0,0,0,6,11,1
UBCV,2024,W,PPGA,508,,002,Policy in Context,Timothy Cheek,20,89.0,88.0,88.0,90.0,96,88,0,0,0,0,0,0,0,0,0,13,7
UBCV,2024,W,PPGA,509,,001,Communicating Policy,Heidi Evans,19,81.7,81.0,80.0,83.5,90,76,0,0,0,0,0,0,0,3,13,2,1
UBCV,2024,W,PPGA,509,,002,Communicating Policy,Heidi Evans,19,81.2,82.0,80.0,82.0,85,77,0,0,0,0,0,0,0,4,14,1,0
UBCV,2024,W,PPGA,511,,001,Leadership for Policy Professionals,Thea Bracewell,7,91.9,93.0,90.0,93.5,96,87,0,0,0,0,0,0,0,0,0,1,6
UBCV,2024,W,PPGA,514,A,001,Research Design and Qualitative Methods,Tara Cookson,38,82.7,83.0,80.0,84.0,93,70,0,0,0,0,0,1,1,6,21,7,2
UBCV,2024,W,PPGA,520,,001,Economics of Poverty,Amartya Lahiri,9,83.7,83.0,80.0,90.0,93,73,0,0,0,0,0,0,1,1,3,1,3
UBCV,2024,W,PPGA,521,,001,Development and Institutions,Grace Jaramillo Gutierrez,9,80.6,90.0,87.0,92.0,95,0,1,0,0,0,0,0,0,0,0,3,5
UBCV,2024,W,PPGA,528,,001,Emerging Powers,Kristen Hopewell,13,82.5,85.0,82.0,85.0,88,63,0,0,0,1,0,0,0,0,5,7,0
UBCV,2024,W,PPGA,541,,001,Policy Dimensions of Energy Systems,Tarun Khanna,16,84.6,85.5,81.75,88.25,93,70,0,0,0,0,0,1,0,1,5,6,3
UBCV,2024,W,PPGA,542,,001,"Science, Technology, and Public Policy",Ramana Mani,25,88.0,89.0,88.0,90.0,93,74,0,0,0,0,0,0,1,1,2,14,7
UBCV,2024,W,PPGA,544,,001,Economic Foundations of Environmental Policies,Ussif Rashid Sumaila,16,93.8,94.0,93.0,95.0,96,89,0,0,0,0,0,0,0,0,0,1,15
UBCV,2024,W,PPGA,560,,001,Global Governance: Frameworks and Policy Debates,Matias Margulis,15,83.7,84.0,82.0,86.0,88,78,0,0,0,0,0,0,0,2,8,5,0
UBCV,2024,W,PPGA,562,,001,"Resource Governance, Environment and Human Security",Philippe le Billon,20,87.8,88.0,86.0,90.25,93,80,0,0,0,0,0,0,0,0,2,12,6
UBCV,2024,W,PPGA,566,,001,Asia Diplomacy and International Relations,Soo Yeon Kim,8,94.8,95.0,93.75,97.0,97,90,0,0,0,0,0,0,0,0,0,0,8
UBCV,2024,W,PPGA,567,,001,Human Rights and Justice,Erin Baines,16,88.0,88.0,87.0,90.0,91,82,0,0,0,0,0,0,0,0,2,8,6
UBCV,2024,W,PPGA,568,,001,Global Economic Policy,Kristen Hopewell,19,85.1,85.0,84.0,86.5,88,80,0,0,0,0,0,0,0,0,6,13,0
UBCV,2024,W,PPGA,569,,001,Global Health Policy,Veena Sriram,11,92.6,92.0,91.5,95.0,97,88,0,0,0,0,0,0,0,0,0,2,9
UBCV,2024,W,PPGA,580,,001,Internet and Global Affairs,Christopher Tenove,9,86.7,85.0,83.0,91.0,94,82,0,0,0,0,0,0,0,0,3,3,3
UBCV,2024,W,PPGA,584,,001,Policy Responses to Global Climate Change,Amanda Giang;Navin Ramankutty,12,85.2,88.5,84.0,91.25,97,48,1,0,0,0,0,0,0,1,2,2,6
UBCV,2024,W,PPGA,590,A,001,Global Policy Project,,41,85.9,89.0,85.0,92.0,94,29,1,0,0,0,0,2,0,1,6,15,16
UBCV,2024,W,PPGA,590,B,001,Global Policy Project,Andrea Reimer,15,88.6,90.0,85.0,92.5,94,76,0,0,0,0,0,0,0,1,3,1,10
UBCV,2024,W,PPGA,591,B,001,TOPS PUBLIC PLCY,Erin Baines,15,88.5,89.0,87.0,90.0,91,84,0,0,0,0,0,0,0,0,1,8,6
UBCV,2024,W,PPGA,591,C,001,TOPS PUBLIC PLCY,Hugh Phillimore Gusterson,13,82.7,84.0,80.0,85.0,87,79,0,0,0,0,0,0,0,2,6,5,0
UBCV,2024,W,PPGA,591,E,001,TOPS PUBLIC PLCY,David Boyd,14,81.6,85.0,80.5,89.0,91,40,1,0,0,0,0,1,0,0,5,4,3
UBCV,2024,W,PPGA,591,O,001,TOPS PUBLIC PLCY,Tsering Shakya,20,89.7,89.0,86.0,94.25,98,82,0,0,0,0,0,0,0,0,3,8,9
UBCV,2024,W,PPGA,591,U,001,TOPS PUBLIC PLCY,Emrul Hasan,9,89.1,88.0,88.0,90.0,94,85,0,0,0,0,0,0,0,0,0,6,3
