Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,THTR,120,,001,Introduction to Theatre,Kimberly Richards,52,84.0,86.0,81.75,91.0,97,25,2,0,1,1,0,0,3,1,9,19,16
UBCV,2024,W,THTR,120,,002,Introduction to Theatre,Hanyang Jiang,25,77.4,78.0,75.0,83.0,91,35,1,0,0,0,1,1,6,6,5,2,3
UBCV,2024,W,THTR,130,,001,Introduction to Stage Acting,Lauren Taylor,45,91.1,92.0,90.0,93.0,96,85,0,0,0,0,0,0,0,0,0,10,35
UBCV,2024,W,THTR,130,,002,Introduction to Stage Acting,Lauren Taylor,45,89.6,90.0,88.0,91.0,96,83,0,0,0,0,0,0,0,0,2,15,28
UBCV,2024,W,THTR,150,A,001,Introduction to Production,Emily Dotson,72,88.2,92.0,86.0,95.0,99,0,1,0,1,0,1,1,1,5,6,12,44
UBCV,2024,W,THTR,150,B,001,Introduction to Production,,13,90.6,92.0,92.0,94.0,95,77,0,0,0,0,0,0,0,2,0,0,11
UBCV,2024,W,THTR,205,A,002,Graphics for Theatre and Film Design,Patrick Rizzotti,26,83.4,90.5,82.0,94.5,99,0,2,0,1,0,0,0,2,1,1,3,16
UBCV,2024,W,THTR,205,D,002,Graphics for Theatre and Film Design,Bradley Powers,10,62.9,73.5,53.25,81.0,100,7,2,1,0,1,0,1,0,2,1,0,2
UBCV,2024,W,THTR,210,,001,Drama: Forms and Ideas I,Hallie Marshall,67,74.8,75.0,71.0,81.0,95,29,2,1,1,5,3,7,15,10,13,5,5
UBCV,2024,W,THTR,211,,001,Drama: Forms and Ideas II,Yuning Liu,37,82.1,85.0,76.0,90.0,93,51,0,1,0,2,1,1,2,5,5,10,10
UBCV,2024,W,THTR,245,,001,Play-Interpretation and Production-Analysis,Leora Morris,38,76.1,77.0,73.0,82.75,90,46,1,0,1,1,4,2,6,8,8,6,1
UBCV,2024,W,THTR,250,,001,Technical Production,Madeleine Molgat Laurin,7,82.0,80.0,75.0,89.5,95,70,0,0,0,0,0,2,0,1,1,1,2
UBCV,2024,W,THTR,250,,002,Technical Production,Madeleine Molgat Laurin,8,88.1,89.0,85.75,91.25,93,80,0,0,0,0,0,0,0,0,1,3,4
UBCV,2024,W,THTR,271,,001,Beginning B.F.A. Acting I,Leora Morris;Tom Scholte,13,79.2,79.0,78.0,84.0,86,69,0,0,0,0,0,2,1,4,3,3,0
UBCV,2024,W,THTR,272,,001,Beginning B.F.A. Acting II,Tom Scholte,13,81.8,83.0,80.0,83.0,86,76,0,0,0,0,0,0,0,2,10,1,0
UBCV,2024,W,THTR,273,,001,Beginning Voice and Movement I,Olivia Shaffer;Tom Scholte;Alana Hawley Purvis,13,79.2,79.0,78.0,84.0,86,69,0,0,0,0,0,2,1,4,3,3,0
UBCV,2024,W,THTR,274,,001,Beginning Voice and Movement II,Florence Hudson;Alana Hawley Purvis,13,81.8,83.0,80.0,83.0,86,76,0,0,0,0,0,0,0,2,10,1,0
UBCV,2024,W,THTR,299,R,001,Production I,,8,88.2,92.5,90.5,94.0,98,55,0,0,1,0,0,0,0,0,0,1,6
UBCV,2024,W,THTR,305,,001,Scenery Design I,Amir Ofek,16,81.8,81.5,79.0,86.25,95,65,0,0,0,0,2,0,1,2,6,1,4
UBCV,2024,W,THTR,306,,001,Costume Design I,Jacqueline Firkins,27,86.1,89.0,84.5,93.0,96,50,0,1,0,0,1,0,2,1,2,8,12
UBCV,2024,W,THTR,307,,001,Lighting Design I,Miriam Abrahams,25,79.6,84.0,79.0,89.0,95,6,2,0,0,0,0,0,3,2,6,6,6
UBCV,2024,W,THTR,308,,001,Sound Design,Patrick Pennefather,21,86.4,85.0,82.0,92.0,94,72,0,0,0,0,0,0,1,1,5,5,9
UBCV,2024,W,THTR,310,,001,Theory of Drama Performance,Marios Kallos,34,73.4,77.0,72.25,82.75,92,8,3,1,0,1,2,1,5,9,5,5,2
UBCV,2024,W,THTR,311,,001,Studies in Drama,Siyuan Liu,11,82.5,82.0,81.0,86.5,90,70,0,0,0,0,0,1,0,1,5,3,1
UBCV,2024,W,THTR,320,,001,History of Theatre I,Hallie Marshall,17,77.8,80.0,70.0,84.0,98,50,0,1,1,0,1,2,1,1,6,2,2
UBCV,2024,W,THTR,340,B,001,Studies in Asian Theatre,Siyuan Liu,7,84.6,85.0,82.5,86.0,90,80,0,0,0,0,0,0,0,0,3,3,1
UBCV,2024,W,THTR,350,,001,Scenery Production I,Bradley Powers,7,91.4,93.0,87.5,95.5,100,81,0,0,0,0,0,0,0,0,2,0,5
UBCV,2024,W,THTR,352,,001,Scene Painting I,Emily Dotson,15,90.3,91.0,88.0,94.5,97,76,0,0,0,0,0,0,0,1,1,4,9
UBCV,2024,W,THTR,354,,001,Stage Management,Susan Miyagishima,28,88.7,90.5,84.0,98.0,100,59,0,0,1,0,1,1,0,0,5,2,18
UBCV,2024,W,THTR,356,,002,Costume Construction,Jacqueline Firkins,22,86.2,86.0,82.5,89.0,98,78,0,0,0,0,0,0,0,3,4,10,5
UBCV,2024,W,THTR,371,,001,Intermediate B.F.A. Acting I,Lois Anderson;Susan Bertoia;Tom Scholte,8,80.2,79.5,79.0,82.0,84,77,0,0,0,0,0,0,0,4,4,0,0
UBCV,2024,W,THTR,372,,001,Intermediate B.F.A. Acting II,Leora Morris;Nelson Wong,8,83.4,83.5,83.0,84.5,87,77,0,0,0,0,0,0,0,1,5,2,0
UBCV,2024,W,THTR,373,,001,"Intermediate Voice, Speech, and Movement I",Tom Scholte;Alana Hawley Purvis;Stina Fredriksson,8,80.4,79.5,79.0,82.25,84,77,0,0,0,0,0,0,0,4,4,0,0
UBCV,2024,W,THTR,374,,001,"Intermediate Voice, Speech, and Movement II",Marlise McCormick;Alana Hawley Purvis,8,83.4,83.5,83.0,84.5,87,77,0,0,0,0,0,0,0,1,5,2,0
UBCV,2024,W,THTR,391,A,001,Rehearsal and Performance,Tom Scholte,8,83.4,83.5,83.0,84.5,87,77,0,0,0,0,0,0,0,1,5,2,0
UBCV,2024,W,THTR,391,B,001,Rehearsal and Performance,,8,83.4,83.5,83.0,84.5,87,77,0,0,0,0,0,0,0,1,5,2,0
UBCV,2024,W,THTR,391,C,001,Rehearsal and Performance,,8,83.4,83.5,83.0,84.5,87,77,0,0,0,0,0,0,0,1,5,2,0
UBCV,2024,W,THTR,399,L,001,Production II,,8,92.4,93.5,89.75,95.0,98,85,0,0,0,0,0,0,0,0,0,2,6
UBCV,2024,W,THTR,399,M,001,Production II,,6,99.2,99.5,98.25,100.0,100,98,0,0,0,0,0,0,0,0,0,0,6
UBCV,2024,W,THTR,399,R,001,Production II,,7,91.7,95.0,92.5,98.5,99,66,0,0,0,0,1,0,0,0,0,0,6
UBCV,2024,W,THTR,399,Y,001,Production II,,7,89.7,90.0,86.0,93.0,96,84,0,0,0,0,0,0,0,0,2,1,4
UBCV,2024,W,THTR,405,,002,Scenery Design II,Patrick Rizzotti,7,80.1,90.0,67.5,94.0,97,51,0,1,1,0,0,0,0,1,0,0,4
UBCV,2024,W,THTR,440,B,001,Topics in Theatre,Stefan Honisch,8,80.5,84.0,80.0,92.5,98,30,1,0,0,0,0,0,0,0,3,1,3
