Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2024,W,WOOD,120,,101,Introduction to Wood Products and Global Trade,Vincent Leung,11,75.4,81.0,71.0,84.5,89,48,2,0,0,0,1,0,0,1,4,3,0
UBCV,2024,W,WOOD,244,,001,Quantitative Methods in the Wood Industry,Gregory Smith,7,77.3,76.0,75.0,78.5,85,73,0,0,0,0,0,0,2,3,1,1,0
UBCV,2024,W,WOOD,245,,201,Programming for Wood Products Manufacturing Applications,Gregory Smith,41,68.3,69.0,60.0,76.0,86,29,1,3,4,4,4,5,6,6,6,2,0
UBCV,2024,W,WOOD,276,,101,Mechanics of Wood Products,Felix Wiesner,12,81.8,84.0,78.25,87.5,90,67,0,0,0,0,1,1,0,2,3,3,2
UBCV,2024,W,WOOD,280,,101,Wood Anatomy and Identification,Chunping Dai,13,77.4,74.0,73.0,88.0,94,50,0,1,0,0,0,2,4,1,1,2,2
UBCV,2024,W,WOOD,282,,201,Wood Physics and Mechanics,Stavros Avramidis;Minghao Li,10,84.9,84.5,82.0,90.0,94,73,0,0,0,0,0,0,1,1,3,1,4
UBCV,2024,W,WOOD,290,,201,Secondary Wood Products Manufacturing,Robert Fuerst,11,82.2,85.0,74.0,87.0,93,69,0,0,0,0,0,1,3,0,1,4,2
UBCV,2024,W,WOOD,292,,201,Two-Dimensional and Solid Computer-Aided Graphics,Joern Dettmer,8,84.1,89.5,88.5,94.25,97,32,1,0,0,0,0,0,0,0,0,3,4
UBCV,2024,W,WOOD,330,,101,Industrial Engineering,Seyed Salar Ghotb,41,84.5,86.0,79.0,90.0,95,69,0,0,0,0,0,1,6,4,4,15,11
UBCV,2024,W,WOOD,335,,101,Quality Improvement,Julie Cool,42,77.0,78.0,75.0,80.0,88,58,0,0,1,0,1,4,7,17,9,3,0
UBCV,2024,W,WOOD,356,,101,Machine Components,Vincent Leung,10,76.2,79.5,71.25,81.5,86,63,0,0,0,1,1,1,1,1,4,1,0
UBCV,2024,W,WOOD,365,,201,Wood Industry Business Management,,77,89.4,91.0,88.0,93.0,99,47,1,0,0,0,0,0,1,3,5,20,47
UBCV,2024,W,WOOD,373,,101,Wood Adhesives and Coatings,Feng Jiang,18,76.3,78.5,72.0,83.75,89,56,0,0,2,0,2,0,3,3,5,3,0
UBCV,2024,W,WOOD,384,,101,Wood Sawmilling and Drying,Julie Cool;Stavros Avramidis,43,78.1,79.0,75.0,82.5,93,62,0,0,0,2,2,1,8,11,14,4,1
UBCV,2024,W,WOOD,386,,101,Applied Mechanics of Materials,Frank Lam,42,75.0,76.0,69.5,79.75,88,54,0,1,0,1,5,6,7,11,6,5,0
UBCV,2024,W,WOOD,440,,101,Engineering Economics,Taraneh Sowlati,42,87.8,90.0,85.0,94.75,98,55,0,0,1,1,0,0,1,4,3,8,24
UBCV,2024,W,WOOD,449,C,202,Directed Studies in Wood Products Processing,Haibo Feng,6,90.7,92.5,86.5,94.75,95,84,0,0,0,0,0,0,0,0,1,1,4
UBCV,2024,W,WOOD,461,,201,Globalization and Sustainability,Hamish van der Ven,119,82.2,83.0,77.0,88.0,96,55,0,0,2,2,1,5,8,23,24,39,15
