Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,S,CPSC,103,,911,Introduction to Systematic Program Design,Laura Cang,106,82.9,88.0,80.0,92.0,98,13,8,0,1,1,3,6,3,3,11,23,47
UBCV,2025,S,CPSC,107,,V01,Systematic Program Design,Vsevolod Lynov,37,75.8,76.0,68.0,87.0,98,36,2,0,2,3,1,7,3,3,2,6,8
UBCV,2025,S,CPSC,121,,921,Models of Computation,Seyyed Hosseini,66,75.4,80.5,68.25,88.75,98,9,11,0,0,3,2,2,3,10,12,9,14
UBCV,2025,S,CPSC,121,,V01,Models of Computation,Jordon Johnson,32,77.5,78.5,70.0,86.25,97,38,2,0,0,0,3,4,1,8,3,6,5
UBCV,2025,S,CPSC,210,,921,Software Construction,Mehrdad Oveisi,127,73.1,76.0,63.0,86.5,100,23,23,1,2,7,6,11,12,12,14,14,25
UBCV,2025,S,CPSC,213,,921,Introduction to Computer Systems,Jordon Johnson,106,74.7,77.0,66.0,88.0,98,24,13,0,2,6,12,8,10,7,14,12,22
UBCV,2025,S,CPSC,221,,911,Basic Algorithms and Data Structures,Geoffrey Tien,122,74.8,76.0,70.0,81.0,97,45,9,0,1,6,6,13,23,26,17,10,11
UBCV,2025,S,CPSC,304,,921,Introduction to Relational Databases,Gittu George,131,82.0,85.0,77.0,90.0,99,0,2,0,2,1,3,9,11,10,25,27,41
UBCV,2025,S,CPSC,310,,921,Introduction to Software Engineering,Nick Bradley,70,79.9,82.0,75.0,88.5,97,39,1,0,2,1,6,4,5,8,17,13,13
UBCV,2025,S,CPSC,317,,911,Introduction to Computer Networking,Ibtissem Bouacheria,63,84.7,87.0,79.5,94.0,100,45,3,0,0,1,1,4,2,5,10,9,28
UBCV,2025,S,CPSC,320,,921,Intermediate Algorithm Design and Analysis,Gautam Luhana,152,82.3,85.0,76.0,89.25,98,58,0,0,1,6,5,10,14,20,19,39,38
UBCV,2025,S,CPSC,330,,911,Applied Machine Learning,Firas Moosvi,121,81.6,85.0,77.0,90.0,99,0,3,2,0,1,3,8,11,9,23,24,37
UBCV,2025,S,CPSC,416,,921,Distributed Systems,Michael Feeley,34,79.8,81.0,77.0,86.75,94,38,1,0,0,0,2,1,3,7,9,8,3
UBCV,2025,S,CPSC,455,,901,Applied Industry Practices,Chris Kerslake,98,89.6,91.0,86.25,94.0,97,73,0,0,0,0,0,0,3,5,8,22,60
UBCV,2025,S,CPSC,491,,911,Interactive Digital Media Practicum,Steven Wolfman,6,91.2,92.0,89.5,93.0,96,85,0,0,0,0,0,0,0,0,0,2,4
