Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,BMEG,101,,201,Introduction to Biomedical Engineering,Nika Shakiba; Govind Kaigala; Gabrielle Lam; Robyn Newell; Tim Salcudean,87,78.7,79.0,74.0,83.0,91,63,0,0,0,1,2,12,11,20,26,12,3
UBCV,2025,W,BMEG,102,,201,Biomedical Engineering Lab,Gabrielle Lam,84,84.3,85.0,81.0,88.0,92,71,0,0,0,0,0,1,3,11,25,31,13
UBCV,2025,W,BMEG,201,,201,Technical Communication for Biomedical Engineers,Sharareh Bayat,48,88.5,90.0,87.0,91.0,96,62,0,0,0,1,0,0,0,2,2,15,28
UBCV,2025,W,BMEG,201,,202,Technical Communication for Biomedical Engineers,Sharareh Bayat,35,88.0,90.0,85.5,92.0,94,73,0,0,0,0,0,0,2,0,6,7,20
UBCV,2025,W,BMEG,210,,101,Thermodynamics in Biomedical Engineering,Yanpu He,91,84.6,86.0,79.0,91.0,100,59,0,0,1,1,0,6,6,11,16,21,29
UBCV,2025,W,BMEG,220,,201,Circuits and Electromagnetics with Application to Biomedical Engineering,Negar Harandi,71,70.9,68.0,59.5,82.5,100,49,4,7,7,7,9,5,5,6,5,8,8
UBCV,2025,W,BMEG,230,,101,Biomechanics I,Robyn Newell,84,77.2,77.5,69.0,86.0,98,50,0,2,2,8,6,10,10,8,14,6,18
UBCV,2025,W,BMEG,245,,101,The Fundamental Units of Life: From Cells To Systems,Nozomu Yachie; Dayag Sheykhkarimli,86,83.7,86.0,76.0,94.75,100,43,1,1,3,3,5,3,4,11,8,14,33
UBCV,2025,W,BMEG,250,,201,Cellular Physiology and Biophysics,Vikramaditya Yadav,87,82.0,83.0,80.0,86.0,94,64,0,0,0,0,3,4,4,8,39,23,6
UBCV,2025,W,BMEG,257,,201,Biomedical Engineering Design I,Calvin Kuo,91,81.4,83.0,78.0,87.0,93,50,0,1,1,3,2,5,2,15,21,33,8
UBCV,2025,W,BMEG,310,,101,Introduction to Bioinformatics,Hossein Farahani; Ali Bashashati,97,83.6,85.0,79.0,88.0,96,62,0,0,0,2,1,3,5,15,22,30,19
UBCV,2025,W,BMEG,320,,201,Bioengineering Feedback Systems and Controls,Sharareh Bayat,19,79.9,81.0,71.0,88.5,100,58,0,0,1,0,0,4,4,0,1,4,5
UBCV,2025,W,BMEG,321,,201,Biomedical Instrumentation,Negar Harandi,96,79.9,81.0,75.75,85.0,95,6,1,0,0,0,1,6,16,16,29,19,8
UBCV,2025,W,BMEG,330,,201,Biomechanics II,Robyn Newell,34,88.8,91.0,87.0,94.75,98,71,0,0,0,0,0,1,0,4,2,8,19
UBCV,2025,W,BMEG,350,,201,Human Structure/Function from Cells to Systems,Edwin D Moore; Gabrielle Lam; Kenneth Liu,99,81.8,83.0,77.5,86.0,93,43,1,0,0,1,0,1,10,17,31,32,6
UBCV,2025,W,BMEG,357,,201,Biomedical Engineering Design II,Jenna Usprech,98,87.0,87.0,86.0,90.0,93,69,0,0,0,0,0,1,0,7,8,54,28
UBCV,2025,W,BMEG,371,,101,Transport Phenomena within Cells and Tissues,Christopher Moraes,92,74.1,74.0,68.0,82.25,96,30,4,0,3,7,6,18,12,13,12,6,11
UBCV,2025,W,BMEG,372,,101,Biomedical Materials and Drug Delivery,Gabrielle Lam,31,82.3,83.0,79.5,86.0,91,68,0,0,0,0,0,2,1,5,12,10,1
UBCV,2025,W,BMEG,373,,101,Microfluidics,Carolina Tropini,22,76.5,80.5,72.0,85.25,93,43,1,1,1,1,0,1,3,1,7,4,2
UBCV,2025,W,BMEG,374,,201,Cellular Bioengineering: Laboratory & Design,Jenna Usprech,34,84.8,85.5,81.25,88.0,94,74,0,0,0,0,0,0,3,2,7,16,6
UBCV,2025,W,BMEG,400,J,201,IMMUNOENGINEERNG,Kelly Marshall McNagny; Anna Blakney,20,87.3,87.5,85.75,90.0,92,80,0,0,0,0,0,0,0,0,4,9,7
UBCV,2025,W,BMEG,400,K,201,WEARABLES,Calvin Kuo,51,85.9,89.0,86.0,91.0,94,51,0,2,1,0,0,1,1,1,5,20,20
UBCV,2025,W,BMEG,400,L,201,EXP MICROFLUIDIC,Sofia Graham Arshavsky; Govind Kaigala,12,86.9,85.5,84.0,92.0,93,80,0,0,0,0,0,0,0,0,6,2,4
UBCV,2025,W,BMEG,400,Q,101,MEDICAL IMAGE PROCESSING AND MACHINE LEARNING,Sharareh Bayat; Negar Harandi,10,82.1,85.0,80.0,89.75,91,58,0,0,1,0,0,0,1,0,3,2,3
UBCV,2025,W,BMEG,400,X,201,Sex Differences in Injury Biomechanics,Peter Cripton,20,88.4,88.0,87.75,91.0,94,75,0,0,0,0,0,0,1,0,0,12,7
UBCV,2025,W,BMEG,401,,201,Economics of Healthcare Solutions,Clayton Weir; Fraser Pogue,58,84.4,86.0,84.0,88.0,91,57,0,0,1,0,0,2,4,3,9,31,8
UBCV,2025,W,BMEG,401,,202,Economics of Healthcare Solutions,Fraser Pogue; Clayton Weir,53,85.2,86.0,82.0,88.0,92,64,0,0,0,0,1,1,0,4,11,25,11
UBCV,2025,W,BMEG,402,,101,"Impact of Biomedical Engineering on Society, Sustainability and Environmental Stewardship",Rashmi Prakash,31,89.4,91.0,90.0,94.0,95,38,1,0,0,0,0,0,0,0,3,1,26
UBCV,2025,W,BMEG,410,,101,"Biomedical Equipment, Physiology, and Anatomy",Peter Cripton; Anthony Saraco,29,83.0,84.0,78.0,90.0,96,63,0,0,0,1,1,1,3,3,6,6,8
UBCV,2025,W,BMEG,420,,101,Medical Imaging,Robert Rohling,40,77.2,77.0,71.75,83.0,89,61,0,0,0,2,2,6,7,4,12,7,0
UBCV,2025,W,BMEG,423,,101,Clinical Informatics,Matthias Goerges,34,81.3,82.5,78.25,85.0,93,61,0,0,0,1,0,1,5,3,14,8,2
UBCV,2025,W,BMEG,424,,201,Genome Informatics,Carl de Boer,13,76.4,78.0,75.0,82.0,88,49,1,0,0,0,0,1,3,4,3,1,0
UBCV,2025,W,BMEG,425,,201,Biomedical Robotics,Manu Madhav,27,87.0,89.0,84.5,91.0,97,72,0,0,0,0,0,0,3,2,2,10,10
UBCV,2025,W,BMEG,455,,101,Professionalism and Ethics in Biomedical Engineering,Jenna Usprech,84,84.0,86.0,79.75,90.0,96,56,0,0,1,0,3,3,7,7,15,22,26
UBCV,2025,W,BMEG,456,,101,Clinical and Industrial Biomedical Engineering,Sarah Hedtrich,24,86.2,89.0,82.0,91.0,95,68,0,0,0,0,0,1,2,0,5,5,11
UBCV,2025,W,BMEG,457,,001,Biomedical Engineering Design Project,Christopher Moraes; Steven Woodside; Sharareh Bayat; Gabrielle Lam; Carl de Boer; Jenna Usprech; Negar Harandi; Peter Cripton; Robyn Newell,96,89.7,92.0,90.0,93.0,94,69,0,0,0,0,0,2,0,6,5,9,74
UBCV,2025,W,BMEG,470,,201,Cellular Responses to Forces and Biomaterials,Dena Shahriari,25,81.6,82.0,77.0,87.0,96,65,0,0,0,0,2,1,2,3,6,6,5
UBCV,2025,W,BMEG,474,,201,Stem Cells and Regenerative Medicine,Michael Underhill; Fabio Rossi,28,81.7,83.0,76.75,90.25,100,54,0,2,0,0,1,3,1,2,6,3,10
