Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,BUSI,100,,001,Micro Foundations of Real Estate Economics,,45,64.6,78.0,63.0,83.0,93,0,11,0,0,2,0,1,3,11,11,4,2
UBCV,2025,W,BUSI,101,,001,Capital Markets and Real Estate,,49,75.2,79.0,74.0,84.0,94,13,4,0,0,0,0,4,7,10,14,6,4
UBCV,2025,W,BUSI,101,,002,Capital Markets and Real Estate,,52,71.0,78.0,72.75,86.25,94,0,8,0,0,1,0,1,10,9,8,8,7
UBCV,2025,W,BUSI,111,,001,British Columbia Real Estate Law and Real Estate Ethics,,25,67.7,76.0,67.0,81.0,91,1,3,0,0,2,2,0,5,4,6,2,1
UBCV,2025,W,BUSI,111,,002,British Columbia Real Estate Law and Real Estate Ethics,,24,59.9,79.0,29.25,84.25,89,0,7,0,0,0,0,1,1,4,5,6,0
UBCV,2025,W,BUSI,112,,001,Canadian Real Property Law and Real Estate Ethics,,58,68.9,78.5,72.25,85.75,95,0,9,0,0,2,0,2,8,11,10,8,8
UBCV,2025,W,BUSI,112,,002,Canadian Real Property Law and Real Estate Ethics,,34,72.8,80.0,73.0,83.75,97,1,4,0,0,0,1,1,6,4,10,5,3
UBCV,2025,W,BUSI,121,,001,Foundations of Real Estate Mathematics,,76,51.2,64.0,16.0,75.0,94,0,29,0,0,8,5,6,11,7,8,1,1
UBCV,2025,W,BUSI,221,,001,Real Estate Finance in a Canadian Context,,12,76.2,84.0,79.25,88.5,93,2,1,0,0,1,0,1,0,0,4,2,3
UBCV,2025,W,BUSI,291,,101,Application of Statistics in Business,Martha Essak,68,77.3,82.0,67.75,90.0,98,20,3,2,5,2,5,6,0,8,8,11,18
UBCV,2025,W,BUSI,291,,201,Application of Statistics in Business,Martha Essak,74,78.3,80.5,70.0,90.0,98,27,5,2,0,4,5,5,5,8,8,12,20
UBCV,2025,W,BUSI,293,,101,Introductory Financial Accounting,Haley McCormack,52,77.4,80.5,69.0,86.0,94,50,0,3,1,3,4,4,5,5,9,11,7
UBCV,2025,W,BUSI,293,,102,Introductory Financial Accounting,Alina McGuinness,28,77.2,80.5,72.0,87.5,96,35,1,2,1,1,0,1,5,1,5,5,6
UBCV,2025,W,BUSI,293,,201,Introductory Financial Accounting,Haley McCormack,72,77.2,81.0,73.5,87.0,94,26,4,2,0,5,2,4,6,10,13,13,13
UBCV,2025,W,BUSI,294,,102,Introductory Management Accounting,Alina McGuinness,73,75.0,76.0,65.0,86.0,95,44,3,4,1,4,9,8,6,8,9,6,15
UBCV,2025,W,BUSI,294,,201,Introductory Management Accounting,Tajinder Singh,45,76.5,80.0,69.0,84.0,94,48,1,0,4,2,2,3,3,7,13,6,4
UBCV,2025,W,BUSI,294,,202,Introductory Management Accounting,Alina McGuinness,35,75.5,80.0,65.0,85.0,96,39,2,1,0,5,2,0,3,4,7,5,6
UBCV,2025,W,BUSI,295,,102,Business Economics,Ocean Lu,60,74.8,76.0,65.75,85.0,95,13,1,2,4,2,8,4,7,7,9,10,6
UBCV,2025,W,BUSI,295,,202,Business Economics,Ocean Lu,62,76.7,77.0,68.25,86.0,94,46,1,2,3,2,7,7,8,2,7,12,11
UBCV,2025,W,BUSI,300,,001,Urban and Real Estate Economics,,64,59.2,74.5,34.75,84.0,94,0,19,0,0,4,3,2,8,7,7,5,9
UBCV,2025,W,BUSI,329,,103,Principles of Organizational Behaviour,Sandra Robinson,6,74.7,77.5,68.0,82.5,86,58,0,0,1,0,1,0,1,0,2,1,0
UBCV,2025,W,BUSI,329,,203,Principles of Organizational Behaviour,Kevin Lee,10,71.9,73.5,69.0,78.0,83,46,1,0,0,0,1,1,3,2,2,0,0
UBCV,2025,W,BUSI,330,,001,Foundations of Real Estate Appraisal,,134,60.9,73.0,58.0,80.0,90,0,34,0,0,3,10,12,19,18,21,15,2
UBCV,2025,W,BUSI,330,,002,Foundations of Real Estate Appraisal,,132,67.2,76.0,67.0,81.0,92,0,22,0,0,4,8,9,22,24,24,14,5
UBCV,2025,W,BUSI,331,,001,Real Estate Investment Analysis and Advanced Income Appraisal,,59,60.0,70.0,53.0,76.0,90,1,15,0,0,4,6,7,9,8,7,2,1
UBCV,2025,W,BUSI,335,,101,Information Systems,Alym Amlani,25,77.8,82.0,68.0,88.0,95,55,0,0,2,1,3,2,3,0,3,7,4
UBCV,2025,W,BUSI,335,,102,Information Systems,Alym Amlani,50,75.9,79.0,69.25,85.0,92,41,1,1,2,4,2,7,4,4,10,8,7
UBCV,2025,W,BUSI,335,,201,Information Systems,Alym Amlani,61,76.7,78.0,72.0,86.0,96,45,1,1,5,3,1,4,10,6,13,9,8
UBCV,2025,W,BUSI,335,,202,Information Systems,Alym Amlani,43,74.9,76.0,69.0,85.0,92,33,2,2,0,1,3,6,6,5,5,7,6
UBCV,2025,W,BUSI,344,,001,Statistical and Computer Applications in Valuation,,42,52.0,65.0,30.75,71.0,86,0,13,0,0,7,4,9,4,2,2,1,0
UBCV,2025,W,BUSI,352,,001,Case Studies in Residential Valuation,,32,66.2,71.0,67.0,75.0,87,0,4,0,0,0,6,8,8,5,0,1,0
UBCV,2025,W,BUSI,353,,101,Intermediate Financial Accounting I,Tajinder Singh,30,75.8,78.5,70.5,85.75,95,31,1,1,2,2,1,1,5,2,6,4,5
UBCV,2025,W,BUSI,353,,102,Intermediate Financial Accounting I,Douglas Yee,51,77.5,78.0,68.0,87.5,100,28,3,0,2,5,1,4,4,7,7,6,12
UBCV,2025,W,BUSI,353,,201,Intermediate Financial Accounting I,Tajinder Singh,56,76.5,80.5,67.75,86.25,97,30,2,5,1,2,4,2,4,6,11,8,11
UBCV,2025,W,BUSI,353,,202,Intermediate Financial Accounting I,Grant Mowbray,37,78.5,81.0,65.0,89.0,100,51,0,2,1,4,5,0,2,2,6,7,8
UBCV,2025,W,BUSI,354,,101,Cost Accounting,Richard Wong,49,76.5,77.0,72.0,86.0,95,20,1,0,0,5,4,2,8,7,4,12,6
UBCV,2025,W,BUSI,354,,102,Cost Accounting,Alina McGuinness,46,69.3,75.0,52.0,85.0,96,22,8,5,2,0,2,1,5,4,4,9,6
UBCV,2025,W,BUSI,354,,201,Cost Accounting,Alina McGuinness,47,70.8,72.0,67.0,80.0,94,5,1,3,3,3,2,10,7,3,10,2,3
UBCV,2025,W,BUSI,354,,202,Cost Accounting,Alina McGuinness,53,74.5,76.0,66.0,85.0,94,27,2,1,0,6,5,3,6,10,4,8,8
UBCV,2025,W,BUSI,355,,101,Introduction to Income Tax,Grant Lee,43,74.2,74.0,66.5,86.0,96,38,3,1,2,2,3,6,6,3,4,6,7
UBCV,2025,W,BUSI,355,,102,Introduction to Income Tax,Richard Wong,62,67.6,69.0,61.0,77.0,93,23,6,5,3,8,3,8,10,6,5,5,3
UBCV,2025,W,BUSI,355,,201,Introduction to Income Tax,Grant Lee,45,72.8,75.0,65.0,80.0,96,35,2,2,2,2,8,3,5,2,12,3,4
UBCV,2025,W,BUSI,355,,202,Introduction to Income Tax,Erin Egeland,60,77.6,80.0,71.75,83.0,94,56,0,0,1,1,4,9,8,6,21,7,3
UBCV,2025,W,BUSI,370,,101,Business Finance,Aziz Rajwani,34,71.3,70.5,63.25,80.0,98,50,0,2,1,6,4,5,3,1,9,2,1
UBCV,2025,W,BUSI,370,,102,Business Finance,Persis Ahrestani,62,78.3,78.0,72.0,85.0,92,65,0,0,0,0,9,6,9,9,12,10,7
UBCV,2025,W,BUSI,370,,201,Business Finance,Aziz Rajwani,41,74.0,77.0,63.0,87.0,99,30,4,0,1,6,3,0,5,3,7,4,8
UBCV,2025,W,BUSI,370,,202,Business Finance,Aziz Rajwani,39,67.8,70.0,62.5,78.5,90,2,4,1,2,4,6,5,3,5,3,3,3
UBCV,2025,W,BUSI,393,,101,Introduction to Business Law,Barbara Cox,64,68.8,70.0,60.75,78.5,92,36,3,5,5,9,5,8,7,6,11,3,2
UBCV,2025,W,BUSI,393,,201,Introduction to Business Law,Devin Kanhai,55,77.6,81.0,72.0,86.0,94,52,0,1,3,3,4,2,7,7,12,11,5
UBCV,2025,W,BUSI,393,,202,Introduction to Business Law,Barbara Cox,26,68.5,72.0,64.5,78.0,87,22,4,0,0,1,3,4,5,4,2,3,0
UBCV,2025,W,BUSI,400,,001,Residential Property Analysis,,67,69.6,81.0,71.5,87.0,98,0,12,0,0,1,0,4,5,7,14,11,13
UBCV,2025,W,BUSI,400,,002,Residential Property Analysis,,49,80.4,82.0,79.0,86.0,91,7,1,0,0,0,0,1,4,10,18,13,2
UBCV,2025,W,BUSI,401,,001,Commercial Property Analysis,,66,71.1,77.0,72.0,82.75,91,0,7,0,0,2,0,7,10,14,18,7,1
UBCV,2025,W,BUSI,401,,002,Commercial Property Analysis,,60,76.1,78.0,74.0,83.0,89,4,2,0,0,0,1,5,11,13,21,7,0
UBCV,2025,W,BUSI,414,,101,Data Visualization and Business Analytics,Alym Amlani,63,73.6,76.0,65.0,82.0,93,3,2,0,2,8,5,5,6,9,14,8,4
UBCV,2025,W,BUSI,414,,102,Data Visualization and Business Analytics,Alym Amlani,49,74.4,76.0,69.0,83.0,90,33,1,2,4,0,4,5,5,9,8,8,3
UBCV,2025,W,BUSI,414,,201,Data Visualization and Business Analytics,Alym Amlani,47,78.7,80.0,74.0,85.0,91,58,0,0,1,1,1,1,10,9,10,11,3
UBCV,2025,W,BUSI,414,,202,Data Visualization and Business Analytics,Alym Amlani,53,75.9,77.0,72.0,81.0,90,45,1,0,1,1,1,9,10,9,11,8,2
UBCV,2025,W,BUSI,433,,001,Real Estate Business,,26,60.3,70.5,63.75,76.75,88,0,5,0,0,2,4,3,4,3,0,5,0
UBCV,2025,W,BUSI,433,,002,Real Estate Business,,22,65.5,68.5,66.0,75.5,84,2,2,0,0,2,5,4,3,2,4,0,0
UBCV,2025,W,BUSI,441,,001,Real Estate Management I,,11,76.9,84.0,80.5,86.5,89,4,1,0,0,0,0,0,0,0,5,5,0
UBCV,2025,W,BUSI,442,,001,Case Studies in Appraisal I,,49,71.7,77.0,72.0,82.0,90,7,5,0,0,3,1,3,10,9,10,7,1
UBCV,2025,W,BUSI,442,,002,Case Studies in Appraisal I,,45,64.2,76.0,45.0,82.0,92,0,12,0,0,0,2,2,5,10,7,5,2
UBCV,2025,W,BUSI,443,,001,Assessment Administration,,32,73.0,78.0,72.5,80.25,93,0,2,0,0,1,1,4,4,11,4,4,1
UBCV,2025,W,BUSI,443,,002,Assessment Administration,,28,72.3,77.0,72.75,80.5,89,0,2,0,0,0,0,2,8,8,4,4,0
UBCV,2025,W,BUSI,445,,001,Real Estate Development I,,26,62.1,78.5,62.25,82.0,90,0,6,0,0,1,0,1,0,7,7,3,1
UBCV,2025,W,BUSI,446,,001,Real Estate Development II,,13,72.5,86.0,81.0,87.0,91,0,2,0,0,0,0,0,0,1,3,6,1
UBCV,2025,W,BUSI,450,,101,Intermediate Financial Accounting II,Douglas Yee,43,73.4,72.0,66.0,84.0,99,39,3,1,1,2,5,6,9,2,3,4,7
UBCV,2025,W,BUSI,450,,102,Intermediate Financial Accounting II,Douglas Yee,50,75.9,77.0,68.25,85.0,100,19,3,1,0,1,5,5,6,5,10,5,9
UBCV,2025,W,BUSI,450,,201,Intermediate Financial Accounting II,Douglas Yee,36,73.9,76.0,65.0,90.0,99,1,3,1,0,4,4,3,2,2,3,2,12
UBCV,2025,W,BUSI,450,,202,Intermediate Financial Accounting II,Robert Brian Bruce,55,74.3,75.0,66.5,81.5,96,46,1,2,0,4,8,7,6,8,7,6,6
UBCV,2025,W,BUSI,451,,001,Real Estate Management II,,6,61.7,80.5,43.75,82.75,88,6,2,0,0,0,0,0,0,1,2,1,0
UBCV,2025,W,BUSI,451,,002,Real Estate Management II,,7,83.9,82.0,80.0,85.5,95,79,0,0,0,0,0,0,0,1,4,1,1
UBCV,2025,W,BUSI,452,,001,Case Studies in Appraisal II,,58,80.0,87.0,80.0,91.0,98,2,5,0,0,0,1,0,2,6,8,15,21
UBCV,2025,W,BUSI,453,,101,Advanced Financial Accounting,Barbara Wyntjes,32,69.8,74.0,60.75,78.75,99,32,5,2,0,2,1,1,6,7,4,1,3
UBCV,2025,W,BUSI,453,,102,Advanced Financial Accounting,Barbara Wyntjes,52,74.7,75.0,65.75,84.25,98,50,0,3,1,4,9,4,5,4,9,7,6
UBCV,2025,W,BUSI,453,,201,Advanced Financial Accounting,Barbara Wyntjes,36,69.7,72.5,65.0,85.0,99,25,6,1,0,1,4,5,4,3,2,6,4
UBCV,2025,W,BUSI,453,,202,Advanced Financial Accounting,Barbara Wyntjes,56,71.9,71.0,63.25,80.25,98,39,1,4,0,9,4,10,7,4,7,3,7
UBCV,2025,W,BUSI,455,,101,Principles of Auditing,Grant Mowbray,37,77.8,79.0,69.0,85.0,93,60,0,0,0,2,5,4,5,3,8,6,4
UBCV,2025,W,BUSI,455,,102,Principles of Auditing,Mary Chong,45,75.0,74.0,68.0,83.0,93,50,0,3,0,5,3,2,10,4,8,4,6
UBCV,2025,W,BUSI,455,,201,Principles of Auditing,Grant Mowbray,37,76.6,77.0,70.0,83.0,92,60,0,0,0,4,0,9,3,6,7,5,3
UBCV,2025,W,BUSI,455,,202,Principles of Auditing,Douglas Yee,49,76.7,76.0,68.0,87.0,100,37,1,0,0,6,4,8,4,4,6,7,9
UBCV,2025,W,BUSI,460,,001,Critical Analysis and Forecasting in Real Estate,,36,53.6,70.0,16.75,76.0,82,0,10,0,0,5,0,6,5,7,3,0,0
UBCV,2025,W,BUSI,493,,101,Strategic Management in Business,Megan Hamilton,45,75.4,76.0,69.0,80.0,91,63,0,0,0,2,4,10,6,9,7,5,2
UBCV,2025,W,BUSI,493,,102,Strategic Management in Business,Megan Hamilton,45,77.0,78.0,71.0,82.0,90,61,0,0,0,2,4,6,4,10,11,4,4
UBCV,2025,W,BUSI,493,,201,Strategic Management in Business,Megan Hamilton,31,74.7,75.0,69.0,80.5,90,60,0,0,0,3,1,7,5,6,6,1,2
UBCV,2025,W,BUSI,493,,202,Strategic Management in Business,Megan Hamilton,41,75.6,76.0,71.0,80.0,90,64,0,0,0,0,5,7,7,11,8,1,2
