Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,CNPS,331,,010,Communication Skills in Global Contexts,Ben Pong,168,96.0,97.0,95.0,98.0,99,76,159,7,2,0,0,0,0,0,0,0,0
UBCV,2025,W,CNPS,362,,001,Basic Interviewing Skills,Dan Cox,52,91.4,94.0,88.0,96.0,99,69,37,9,1,3,1,0,0,0,0,1,0
UBCV,2025,W,CNPS,362,,002,Basic Interviewing Skills,Joshua Madsen,59,87.4,91.0,87.5,95.0,97,4,37,13,2,3,0,0,1,0,0,1,2
UBCV,2025,W,CNPS,362,,003,Basic Interviewing Skills,Joshua Madsen,58,93.5,95.0,92.0,96.0,99,70,51,5,0,1,0,0,0,0,0,1,0
UBCV,2025,W,CNPS,363,,63A,Career Counselling,David Nicks,34,86.6,90.0,86.0,93.0,99,48,17,10,1,2,0,0,0,1,1,1,1
UBCV,2025,W,CNPS,363,,63B,Career Counselling,Laleh Skrenes,34,87.7,89.0,86.0,90.75,94,77,13,14,3,4,0,0,0,0,0,0,0
UBCV,2025,W,CNPS,363,,63C,Career Counselling,Talino Bruno,34,83.2,85.0,80.25,86.75,93,56,2,15,4,12,0,1,0,0,0,0,0
UBCV,2025,W,CNPS,363,,63D,Career Counselling,Talino Bruno,35,80.7,86.0,78.5,87.5,91,11,7,11,3,7,1,0,0,2,0,3,1
UBCV,2025,W,CNPS,363,,63E,Career Counselling,Talino Bruno,31,80.7,86.0,82.0,87.0,90,8,4,13,0,8,2,0,1,1,0,1,1
UBCV,2025,W,CNPS,363,,63F,Career Counselling,David Nicks,32,89.2,93.0,88.0,94.25,99,56,21,4,0,3,2,1,0,1,0,0,0
UBCV,2025,W,CNPS,363,,63G,Career Counselling,Hillary McBride,34,90.2,95.0,92.25,96.0,98,0,29,3,0,0,0,0,0,0,0,0,2
UBCV,2025,W,CNPS,364,,63A,Family Education and Consultation,Erika Horwitz,35,85.5,89.0,78.0,92.0,98,60,17,6,4,2,4,0,1,1,0,0,0
UBCV,2025,W,CNPS,364,,63B,Family Education and Consultation,Erika Horwitz,34,87.6,89.0,83.0,93.25,100,71,15,8,0,8,2,0,0,0,0,1,0
UBCV,2025,W,CNPS,364,,63C,Family Education and Consultation,Erika Horwitz,34,85.2,88.0,83.25,94.75,100,0,14,10,2,5,1,1,0,0,0,0,1
UBCV,2025,W,CNPS,364,,63D,Family Education and Consultation,Erika Horwitz,33,87.7,91.0,80.0,95.0,100,54,18,5,4,3,2,0,0,0,1,0,0
UBCV,2025,W,CNPS,364,,63E,Family Education and Consultation,Erika Horwitz,33,84.7,88.0,80.0,94.0,98,61,14,4,3,7,1,0,3,0,0,1,0
UBCV,2025,W,CNPS,365,,63A,Introduction to Theories of Counselling,Mircea Munteanu,28,81.3,80.5,76.0,89.0,94,61,6,6,7,3,3,0,1,1,0,1,0
UBCV,2025,W,CNPS,365,,63B,Introduction to Theories of Counselling,Mircea Munteanu,31,68.6,73.0,62.0,82.5,93,0,3,2,2,5,4,3,4,3,0,2,3
UBCV,2025,W,CNPS,365,,63C,Introduction to Theories of Counselling,Vici Thomson,36,86.4,86.5,83.75,91.0,94,77,10,15,5,6,0,0,0,0,0,0,0
UBCV,2025,W,CNPS,365,,63D,Introduction to Theories of Counselling,Mircea Munteanu,29,78.3,79.0,72.0,88.0,93,52,6,4,6,3,3,2,1,1,1,2,0
UBCV,2025,W,CNPS,365,,63E,Introduction to Theories of Counselling,Mircea Munteanu,29,75.9,80.0,70.0,81.0,92,61,1,2,1,12,3,0,3,2,0,5,0
UBCV,2025,W,CNPS,365,,63F,Introduction to Theories of Counselling,Mircea Munteanu,30,76.4,76.5,73.0,82.75,94,44,3,3,5,6,6,0,3,0,0,3,1
