Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,MECH,220,,101,Technical Skills Practicum,,125,82.5,83.0,79.0,85.0,91,68,0,0,0,0,0,2,5,25,47,42,4
UBCV,2025,W,MECH,221,,101,Engineering Science I,,127,76.4,76.0,71.0,82.0,97,60,0,0,0,3,11,22,23,28,21,14,5
UBCV,2025,W,MECH,222,,201,Engineering Science II,,130,72.1,72.0,67.25,78.0,96,27,7,0,1,9,16,26,25,20,12,6,8
UBCV,2025,W,MECH,223,,201,Introduction to the Mechanical Design Process,,130,77.8,79.0,75.0,83.0,91,50,0,1,3,2,8,10,13,29,39,21,4
UBCV,2025,W,MECH,224,,101,Integration of Engineering Concepts I,,127,74.6,76.0,71.0,82.0,97,38,10,0,0,0,7,21,21,28,21,14,5
UBCV,2025,W,MECH,225,,201,Integration of Engineering Concepts II,,130,71.5,72.0,67.25,78.0,96,27,12,0,0,5,16,26,25,20,12,6,8
UBCV,2025,W,MECH,226,,001,Technical Communication for Mechanical Engineers,Adrianna Eyking,124,79.4,80.0,77.0,83.0,90,47,1,0,0,0,0,5,15,37,50,14,2
UBCV,2025,W,MECH,260,,101,Introduction to Mechanics of Materials,Graham Hendra,119,62.5,64.0,54.5,73.5,97,13,23,7,14,12,16,11,12,6,7,6,5
UBCV,2025,W,MECH,260,,201,Introduction to Mechanics of Materials,Graham Hendra,141,68.7,70.0,62.0,78.0,97,2,11,2,12,21,17,15,16,17,15,5,10
UBCV,2025,W,MECH,280,,201,Introduction to Fluid Mechanics,Nima Atabaki,57,73.9,75.0,67.0,85.0,95,46,3,2,4,3,3,6,10,4,6,10,6
