Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,MICB,205,,101,Fundamental Data Science in Microbiology and Immunology,Donald Wong; Evelyn Sun,69,88.6,90.0,87.0,92.0,99,61,40,16,4,6,1,0,2,0,0,0,0
UBCV,2025,W,MICB,205,,201,Fundamental Data Science in Microbiology and Immunology,Evelyn Sun; Donald Wong,122,91.6,93.0,91.0,95.0,99,62,98,16,1,2,2,0,1,0,0,2,0
UBCV,2025,W,MICB,211,,101,Foundations of Microbiology,Nelly Saber,243,82.1,83.0,78.0,88.0,96,54,40,67,29,65,15,1,4,5,1,16,0
UBCV,2025,W,MICB,211,,201,Foundations of Microbiology,Nelly Saber,243,81.0,83.0,75.5,88.0,97,46,46,63,32,41,21,2,5,8,5,18,2
UBCV,2025,W,MICB,211,,202,Foundations of Microbiology,Kirsty McIntyre,222,82.3,84.0,78.0,88.0,96,48,43,56,27,55,13,2,2,9,0,14,1
UBCV,2025,W,MICB,212,,101,Introductory Immunology & Virology,Tracy Kion; Maria Tokuyama,267,76.1,77.0,68.5,86.0,98,40,44,34,26,34,36,15,12,22,1,32,11
UBCV,2025,W,MICB,212,,201,Introductory Immunology & Virology,Selena Sagan; Tracy Kion,157,74.9,76.0,68.0,84.0,97,32,17,20,19,28,15,7,15,6,2,21,7
UBCV,2025,W,MICB,301,,101,Microbial Ecophysiology,William Mohn; Lindsay Eltis,132,74.2,75.0,68.0,84.0,95,14,14,16,13,22,20,3,7,11,0,16,10
UBCV,2025,W,MICB,302,,101,Immunology,Tracy Kion,176,72.4,77.0,65.0,84.0,98,9,17,24,25,32,16,8,6,12,2,10,24
UBCV,2025,W,MICB,305,,101,Data Science in Microbiology and Immunology Research,Avril Metcalfe-Roach,16,85.1,84.5,83.0,87.25,96,70,3,5,2,5,0,0,0,0,0,1,0
