Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,NRES,100,,101,Pursuing Innovative Solutions to Big Questions,Patrick Culbert; Jeanine Rhemtulla; Rob Kozak,157,81.4,84.0,79.0,87.0,96,0,13,60,23,38,8,1,1,3,2,6,2
UBCV,2025,W,NRES,103,,201,Pathways in Natural Resources,Patrick Culbert,181,87.7,92.0,84.0,97.0,100,0,113,21,11,16,5,2,2,0,0,4,7
UBCV,2025,W,NRES,150,,101,Scholarly Writing and Argumentation in Natural Resources,Duff Roberts,30,72.2,79.0,74.25,82.0,88,10,0,5,5,9,6,1,1,0,0,0,3
UBCV,2025,W,NRES,150,,102,Scholarly Writing and Argumentation in Natural Resources,Duff Roberts,26,72.7,80.5,75.0,83.0,93,16,1,5,2,8,4,1,1,0,1,0,3
UBCV,2025,W,NRES,150,,103,Scholarly Writing and Argumentation in Natural Resources,Carellin Brooks,23,71.1,74.0,68.0,80.0,90,24,1,3,1,5,3,2,0,1,0,5,2
UBCV,2025,W,NRES,150,,104,Scholarly Writing and Argumentation in Natural Resources,Lindsay Cuff,16,86.6,89.5,87.0,92.0,93,67,8,4,1,1,0,0,0,1,0,1,0
UBCV,2025,W,NRES,150,,105,Scholarly Writing and Argumentation in Natural Resources,Carellin Brooks,27,71.7,73.0,63.5,80.0,91,55,2,0,3,6,4,4,3,3,0,2,0
UBCV,2025,W,NRES,150,,201,Scholarly Writing and Argumentation in Natural Resources,Lindsay Cuff,26,86.3,88.5,84.5,93.0,95,62,10,9,1,3,1,0,1,1,0,0,0
UBCV,2025,W,NRES,150,,202,Scholarly Writing and Argumentation in Natural Resources,Carellin Brooks,24,82.5,83.0,79.5,90.0,94,62,7,2,2,9,2,0,1,1,0,0,0
UBCV,2025,W,NRES,150,,203,Scholarly Writing and Argumentation in Natural Resources,Carellin Brooks,15,73.4,80.0,68.5,82.0,87,37,0,2,0,6,3,0,2,0,1,0,1
UBCV,2025,W,NRES,150,,204,Scholarly Writing and Argumentation in Natural Resources,Duff Roberts,29,71.3,78.0,69.0,83.0,88,9,0,4,4,9,3,0,2,2,0,2,3
UBCV,2025,W,NRES,225,,101,Communications Strategies,Neil Leveridge,27,92.2,93.0,91.0,94.0,97,77,23,3,1,0,0,0,0,0,0,0,0
UBCV,2025,W,NRES,225,,102,Communications Strategies,Neil Leveridge,30,91.7,94.0,91.25,96.0,97,62,25,2,1,1,0,0,1,0,0,0,0
UBCV,2025,W,NRES,225,,201,Communications Strategies,Neil Leveridge,24,88.1,90.0,84.75,93.0,95,76,13,5,1,5,0,0,0,0,0,0,0
UBCV,2025,W,NRES,225,,202,Communications Strategies,Neil Leveridge,25,84.5,86.0,84.0,90.0,96,44,10,6,3,4,0,0,0,1,0,0,1
UBCV,2025,W,NRES,225,,203,Communications Strategies,Neil Leveridge,24,86.5,88.0,86.5,89.0,92,65,5,14,0,4,0,0,0,1,0,0,0
UBCV,2025,W,NRES,225,,204,Communications Strategies,Neil Leveridge,21,81.0,85.0,82.0,88.0,98,0,5,8,2,3,0,0,0,1,0,1,1
UBCV,2025,W,NRES,241,,101,Introduction to Geomatics for Natural Resource Management,Michael Meitner,73,88.5,90.0,87.0,93.0,97,49,39,25,1,4,0,0,1,1,0,1,1
UBCV,2025,W,NRES,241,,201,Introduction to Geomatics for Natural Resource Management,Christopher Colton,79,88.6,91.0,85.0,94.0,96,63,45,15,3,10,4,0,1,0,0,1,0
UBCV,2025,W,NRES,341,,101,Intermediate Geomatics for Natural Resource Management,Christopher Colton,30,88.0,89.0,85.0,92.75,96,71,14,10,0,4,1,0,0,0,0,1,0
UBCV,2025,W,NRES,341,,201,Intermediate Geomatics for Natural Resource Management,Paul Pickell,110,86.2,87.0,84.0,90.75,98,25,36,41,6,20,3,0,1,2,0,0,1
UBCV,2025,W,NRES,441,,201,Advanced Geomatics for Natural Resource Management,Nicholas Charles Coops,10,93.1,93.5,91.25,95.5,97,88,9,1,0,0,0,0,0,0,0,0,0
