Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,NURS,180,,001,Stress and Strategies to Promote Well Being,Debbie Mann,57,94.6,96.0,92.0,98.0,99,80,0,0,0,0,0,0,0,0,2,4,51
UBCV,2025,W,NURS,180,,002,Stress and Strategies to Promote Well Being,Adi Ferrara,59,90.8,92.0,87.0,95.5,100,66,0,0,0,0,1,0,1,1,6,10,40
UBCV,2025,W,NURS,180,,101,Stress and Strategies to Promote Well Being,Adi Ferrara,59,92.8,94.0,92.0,95.5,98,73,0,0,0,0,0,0,1,1,3,2,52
UBCV,2025,W,NURS,180,,102,Stress and Strategies to Promote Well Being,Sheryl Marie Zentner,60,94.2,96.0,93.5,98.0,100,64,0,0,0,0,1,0,0,1,2,5,51
UBCV,2025,W,NURS,180,,103,Stress and Strategies to Promote Well Being,Sheila McBurney,60,92.5,94.5,88.75,97.0,100,69,0,0,0,0,0,1,0,1,4,11,43
UBCV,2025,W,NURS,180,,104,Stress and Strategies to Promote Well Being,Claire Pitcher,60,92.6,93.5,90.75,96.0,99,72,0,0,0,0,0,0,1,0,0,11,48
UBCV,2025,W,NURS,180,,105,Stress and Strategies to Promote Well Being,Efrat Czerniak,59,92.0,94.0,89.5,96.5,100,65,0,0,0,0,2,0,0,2,2,9,44
UBCV,2025,W,NURS,180,,106,Stress and Strategies to Promote Well Being,Sandeep Dhillon,59,94.1,95.0,93.0,98.0,100,70,0,0,0,0,0,1,1,0,2,3,52
UBCV,2025,W,NURS,180,,107,Stress and Strategies to Promote Well Being,Kaitlin Bloemberg,60,94.3,96.0,94.75,97.0,98,59,0,0,2,0,0,0,0,0,0,3,55
UBCV,2025,W,NURS,180,,108,Stress and Strategies to Promote Well Being,Keara Graham,60,95.0,96.0,94.0,98.0,99,81,0,0,0,0,0,0,0,0,4,1,55
UBCV,2025,W,NURS,180,,109,Stress and Strategies to Promote Well Being,Corey McAuliffe,60,91.9,93.0,91.0,95.0,97,73,0,0,0,0,0,0,2,0,1,7,50
UBCV,2025,W,NURS,180,,110,Stress and Strategies to Promote Well Being,Jasreen Randhawa,59,96.6,99.0,97.0,100.0,100,61,0,0,0,1,0,0,0,0,1,2,55
UBCV,2025,W,NURS,180,,111,Stress and Strategies to Promote Well Being,Kaitlin Bloemberg,59,92.6,95.0,92.5,96.0,98,64,0,0,0,0,1,0,0,3,3,2,50
UBCV,2025,W,NURS,180,,112,Stress and Strategies to Promote Well Being,Karen Atwal,60,91.6,94.0,88.0,96.25,99,69,0,0,0,0,0,1,1,2,4,8,44
UBCV,2025,W,NURS,180,,113,Stress and Strategies to Promote Well Being,Keara Graham,60,95.9,98.0,94.75,99.0,100,69,0,0,0,0,0,2,0,0,0,3,55
UBCV,2025,W,NURS,180,,114,Stress and Strategies to Promote Well Being,Emilia Piwowarczyk,60,96.1,97.0,95.0,98.0,99,82,0,0,0,0,0,0,0,0,1,1,58
UBCV,2025,W,NURS,180,,201,Stress and Strategies to Promote Well Being,Narissa Mawji,57,91.8,95.0,89.0,98.0,100,62,0,0,0,1,1,0,1,3,2,9,40
UBCV,2025,W,NURS,180,,202,Stress and Strategies to Promote Well Being,Sheila McBurney,58,93.4,95.0,91.0,98.0,100,55,0,0,1,0,0,0,0,2,1,7,47
UBCV,2025,W,NURS,180,,203,Stress and Strategies to Promote Well Being,Efrat Czerniak,60,93.4,95.5,93.0,97.25,100,57,0,0,1,0,0,1,0,1,2,4,51
UBCV,2025,W,NURS,180,,205,Stress and Strategies to Promote Well Being,Sheryl Marie Zentner,60,93.9,96.5,92.0,98.0,100,64,0,0,0,0,1,1,0,1,2,4,51
UBCV,2025,W,NURS,180,,206,Stress and Strategies to Promote Well Being,Kaitlin Bloemberg,60,91.9,95.0,91.0,97.0,99,51,0,1,1,0,0,0,2,1,4,1,50
UBCV,2025,W,NURS,180,,207,Stress and Strategies to Promote Well Being,Karen Atwal,58,93.9,97.0,93.0,98.75,100,48,1,0,0,0,0,0,1,2,2,4,48
UBCV,2025,W,NURS,180,,208,Stress and Strategies to Promote Well Being,Keara Graham,59,94.1,97.0,94.0,98.0,100,60,0,0,0,2,1,0,0,1,1,1,53
UBCV,2025,W,NURS,180,,209,Stress and Strategies to Promote Well Being,Anna Leonova,59,93.5,96.0,91.5,97.0,99,69,0,0,0,0,0,1,0,1,3,6,48
UBCV,2025,W,NURS,180,,210,Stress and Strategies to Promote Well Being,Jasreen Randhawa,59,95.5,98.0,95.0,98.0,99,77,0,0,0,0,0,0,0,1,3,5,50
UBCV,2025,W,NURS,180,,211,Stress and Strategies to Promote Well Being,Sandeep Dhillon,59,95.1,97.0,94.0,99.0,100,63,0,0,0,1,0,1,1,0,0,1,55
UBCV,2025,W,NURS,180,,212,Stress and Strategies to Promote Well Being,Keara Graham,59,94.0,96.0,92.0,98.0,100,69,0,0,0,0,0,1,0,0,3,6,49
UBCV,2025,W,NURS,180,,213,Stress and Strategies to Promote Well Being,Corey McAuliffe,58,91.6,94.0,90.0,95.0,97,69,0,0,0,0,0,1,1,0,2,8,46
UBCV,2025,W,NURS,180,,214,Stress and Strategies to Promote Well Being,Kaitlin Bloemberg,58,93.2,95.0,92.25,96.0,98,67,0,0,0,0,1,0,1,0,1,3,52
UBCV,2025,W,NURS,180,,215,Stress and Strategies to Promote Well Being,Claire Pitcher,60,94.8,97.0,92.0,99.0,100,70,0,0,0,0,0,1,0,1,0,6,52
UBCV,2025,W,NURS,180,,216,Stress and Strategies to Promote Well Being,Leah Shin,59,94.9,96.0,93.0,98.0,100,81,0,0,0,0,0,0,0,0,4,3,52
UBCV,2025,W,NURS,180,,217,Stress and Strategies to Promote Well Being,Hirpal Hundial,60,94.7,96.0,93.0,98.0,100,61,0,0,0,1,0,0,0,0,3,2,54
UBCV,2025,W,NURS,180,,218,Stress and Strategies to Promote Well Being,Karen Atwal,59,91.1,95.0,90.0,97.0,98,38,1,0,1,0,0,2,1,0,2,7,45
UBCV,2025,W,NURS,180,,219,Stress and Strategies to Promote Well Being,Sabrina Gill,59,93.2,95.0,91.0,97.0,100,74,0,0,0,0,0,0,1,3,3,4,48
UBCV,2025,W,NURS,180,,220,Stress and Strategies to Promote Well Being,Emilia Piwowarczyk,58,94.2,95.0,93.0,97.0,99,61,0,0,0,1,0,0,0,0,0,5,52
UBCV,2025,W,NURS,180,,221,Stress and Strategies to Promote Well Being,Zachary Daly,40,95.6,96.5,95.0,98.0,100,73,0,0,0,0,0,0,1,0,0,2,37
UBCV,2025,W,NURS,270,,001,Diverse Perspectives on Aging,Paulina Santaella Tafolla,35,87.3,89.0,84.0,91.5,96,72,0,0,0,0,0,0,1,4,6,9,15
UBCV,2025,W,NURS,270,,002,Diverse Perspectives on Aging,Paulina Santaella Tafolla,32,87.4,88.0,82.0,93.0,98,77,0,0,0,0,0,0,0,4,7,8,13
UBCV,2025,W,NURS,280,,001,Human Sexual Health,Kristen Gilbert,71,90.8,93.0,89.0,95.0,98,64,0,0,0,0,1,1,2,2,5,10,50
UBCV,2025,W,NURS,280,,002,Human Sexual Health,Kristen Gilbert,72,87.3,92.0,87.0,95.0,100,0,3,0,0,0,0,0,3,6,2,10,48
UBCV,2025,W,NURS,280,,101,Human Sexual Health,Kristen Gilbert,67,88.9,93.0,84.5,95.0,99,50,0,1,1,0,0,2,4,1,8,7,43
UBCV,2025,W,NURS,280,,102,Human Sexual Health,Kristen Gilbert,67,83.3,88.0,79.0,91.0,98,21,1,1,0,1,4,2,3,6,8,18,23
UBCV,2025,W,NURS,280,,201,Human Sexual Health,Kristen Gilbert,69,85.5,89.0,83.0,93.0,99,55,0,0,3,3,2,1,2,2,8,15,33
UBCV,2025,W,NURS,280,,202,Human Sexual Health,Kristen Gilbert,67,89.6,92.0,83.5,96.0,100,63,0,0,0,1,1,0,3,4,9,8,41
UBCV,2025,W,NURS,290,,001,Health Impacts of Climate Change,Monica Rana,42,88.7,90.0,85.0,93.0,97,76,0,0,0,0,0,0,0,4,5,11,22
UBCV,2025,W,NURS,290,,002,Health Impacts of Climate Change,Monica Rana,52,89.5,90.5,86.75,93.25,99,70,0,0,0,0,0,1,2,2,3,14,30
UBCV,2025,W,NURS,300,,001,Theoretical and Professional Foundations for Nursing Practice,Lydia Wytenbroek,149,98.1,98.0,97.0,99.0,100,94,0,0,0,0,0,0,0,0,0,0,149
UBCV,2025,W,NURS,301,,001,Theoretical Perspectives in Nursing: Primary Health Care,Rubee Dev,75,92.1,92.0,91.0,93.0,97,85,0,0,0,0,0,0,0,0,0,9,66
UBCV,2025,W,NURS,301,,002,Theoretical Perspectives in Nursing: Primary Health Care,Sue Foster,73,88.4,89.0,87.0,91.0,95,80,0,0,0,0,0,0,0,0,8,37,28
UBCV,2025,W,NURS,303,,001,Theoretical Perspectives in Nursing: People Living with Mental Health Challenges and Their Families,Angela Russolillo,75,91.4,91.0,89.5,94.0,97,84,0,0,0,0,0,0,0,0,2,17,56
UBCV,2025,W,NURS,303,,002,Theoretical Perspectives in Nursing: People Living with Mental Health Challenges and Their Families,Trevor Goodyear,73,89.3,90.0,88.0,91.0,97,76,0,0,0,0,0,0,0,3,5,25,40
UBCV,2025,W,NURS,310,,001,Basic Principles of Pharmacology for Nursing Practice,Nassim Adhami,149,91.7,93.0,90.0,96.0,100,69,0,0,0,0,0,2,1,2,10,22,112
UBCV,2025,W,NURS,330,,001,Theoretical Perspectives in Nursing: Adults/Older Adults and their Families,Julie Tipping,149,90.4,91.0,89.0,93.0,97,79,0,0,0,0,0,0,0,1,6,44,98
UBCV,2025,W,NURS,345,,001,Theoretical Perspectives in Nursing: Childbearing Individuals and their Families,Jenny Auxier; Emmanuela Ojukwu,75,82.9,84.0,79.5,87.0,94,70,0,0,0,0,0,2,8,9,25,21,10
UBCV,2025,W,NURS,345,,002,Theoretical Perspectives in Nursing: Childbearing Individuals and their Families,Melanie Guindon,75,91.4,92.0,89.5,94.0,98,77,0,0,0,0,0,0,0,1,5,13,56
UBCV,2025,W,NURS,346,,001,"Theoretical Perspectives in Nursing: Infants, Children, Youth and their Families",Manon Ranger,74,83.7,84.0,80.25,88.0,92,70,0,0,0,0,0,3,4,6,25,26,10
