Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,SOCI,101,,101,Social Interaction and Culture,Tony Silva,95,69.5,71.0,62.5,78.0,91,22,4,2,10,11,13,10,15,12,11,5,2
UBCV,2025,W,SOCI,101,,102,Social Interaction and Culture,Elic Chan,117,73.1,76.0,70.0,81.0,90,0,6,2,7,2,5,9,27,17,22,18,2
UBCV,2025,W,SOCI,101,,103,Social Interaction and Culture,Chris MacKenzie,88,72.3,72.0,68.0,76.0,87,46,1,0,0,6,10,14,28,14,9,6,0
UBCV,2025,W,SOCI,101,,201,Social Interaction and Culture,Chris MacKenzie,79,73.0,74.0,68.0,77.5,86,55,0,0,2,5,9,12,16,18,13,4,0
UBCV,2025,W,SOCI,101,,202,Social Interaction and Culture,Elic Chan,113,70.0,72.0,65.0,77.0,92,0,5,4,3,10,12,18,23,11,18,7,2
UBCV,2025,W,SOCI,101,,V01,Social Interaction and Culture,Craig Meadows,92,64.4,65.0,57.75,70.5,86,42,4,9,12,13,17,14,8,10,2,3,0
UBCV,2025,W,SOCI,102,,101,Inequality and Social Change,Kerry Greer,51,73.3,74.0,69.5,82.5,93,0,2,0,4,0,4,7,11,4,11,5,3
UBCV,2025,W,SOCI,102,,201,Inequality and Social Change,Elic Chan,59,75.8,76.0,72.0,80.0,92,55,0,0,1,2,3,8,11,12,14,6,2
UBCV,2025,W,SOCI,102,,202,Inequality and Social Change,Andrew Jorgenson,102,75.2,78.0,70.0,84.0,92,0,2,4,2,4,10,12,12,11,22,15,8
UBCV,2025,W,SOCI,102,,203,Inequality and Social Change,Katherine Lyon,132,74.1,75.0,70.0,82.0,92,0,3,0,3,7,13,21,21,17,30,7,10
UBCV,2025,W,SOCI,102,,CAP,Inequality and Social Change,Neil Armitage,93,81.1,82.0,78.0,85.0,93,65,0,0,0,0,2,2,6,21,37,22,3
UBCV,2025,W,SOCI,200,,101,Sociology of Family,Aryan Karimi,143,79.9,81.0,74.5,87.0,100,43,3,2,2,3,7,9,15,22,31,22,27
UBCV,2025,W,SOCI,200,,102,Sociology of Family,Aryan Karimi,46,78.3,79.0,72.0,87.25,98,42,1,1,2,1,1,4,10,4,8,5,9
UBCV,2025,W,SOCI,200,,201,Sociology of Family,Holly Hummer,120,78.0,80.0,72.0,86.0,95,1,3,0,1,1,10,13,16,12,31,18,15
UBCV,2025,W,SOCI,200,,202,Sociology of Family,Holly Hummer,90,79.9,81.5,74.25,86.75,97,53,0,1,2,4,3,7,11,5,27,16,14
UBCV,2025,W,SOCI,200,,203,Sociology of Family,Silvia Bartolic,34,76.9,78.0,75.0,82.0,89,50,0,2,1,1,0,1,6,8,8,7,0
UBCV,2025,W,SOCI,204,,201,Global Population Dynamics,Guy Stecklov,7,80.9,86.0,78.0,87.5,91,58,0,0,1,0,0,0,1,0,1,3,1
UBCV,2025,W,SOCI,217,,201,Research Methods,Anna Dawczyk,98,75.1,76.0,70.5,82.75,96,0,4,1,5,2,8,5,14,21,18,12,8
UBCV,2025,W,SOCI,220,,101,Sociology of Indigenous Peoples,Kimberly Huyser,149,93.1,95.0,93.0,96.0,99,0,2,0,0,0,0,0,0,2,2,3,140
UBCV,2025,W,SOCI,220,,201,Sociology of Indigenous Peoples,Kimberly Huyser,216,91.7,93.0,90.0,95.0,99,59,0,0,1,0,1,3,2,1,9,24,175
UBCV,2025,W,SOCI,224,,101,Sociology of Personal Life,Neil Armitage,117,80.0,80.0,77.0,85.0,98,5,1,0,1,1,4,6,9,26,37,20,12
UBCV,2025,W,SOCI,224,,201,Sociology of Personal Life,Neil Armitage,92,79.9,81.0,75.5,85.0,92,57,0,0,1,2,2,8,10,16,26,18,9
UBCV,2025,W,SOCI,230,,201,"Shopping, Society, and Sustainability",Craig Meadows,39,71.2,67.0,63.0,80.0,95,52,0,1,2,10,7,1,5,2,5,3,3
UBCV,2025,W,SOCI,240,,101,Introduction to Social Interaction,Amy Hanser,60,79.0,81.0,77.0,84.25,88,24,1,0,1,0,0,6,3,16,18,15,0
UBCV,2025,W,SOCI,240,,201,Introduction to Social Interaction,Neil Armitage,28,80.9,84.0,79.75,87.25,95,2,1,0,0,0,0,0,2,4,8,11,2
UBCV,2025,W,SOCI,250,,101,Crime and Society,Elic Chan,126,72.9,74.0,68.5,80.0,90,42,4,0,2,4,13,21,22,25,30,4,1
UBCV,2025,W,SOCI,250,,102,Crime and Society,Elic Chan,75,71.4,73.0,68.0,79.0,85,20,3,1,0,4,8,10,15,15,17,2,0
UBCV,2025,W,SOCI,250,,201,Crime and Society,Elic Chan,96,77.1,81.0,74.0,85.0,91,0,6,0,0,0,4,4,11,12,29,28,2
UBCV,2025,W,SOCI,250,,202,Crime and Society,Chris MacKenzie,83,73.7,74.0,69.0,80.0,86,54,0,1,1,4,5,15,20,14,18,5,0
UBCV,2025,W,SOCI,260,,101,Work and Society,Elizabeth Hirsh,27,76.1,77.0,75.5,81.0,93,50,0,1,2,1,1,1,1,7,11,0,2
UBCV,2025,W,SOCI,280,,101,Data and Society,Laura Nelson,48,83.4,85.0,80.0,88.0,91,55,0,0,1,1,0,0,2,4,14,24,2
UBCV,2025,W,SOCI,301,,101,Sociology of Development and Underdevelopment,Rafael Wainer,22,75.2,76.0,75.0,78.0,88,50,0,1,0,1,0,2,5,9,2,2,0
UBCV,2025,W,SOCI,301,,201,Sociology of Development and Underdevelopment,Craig Meadows,56,75.6,76.0,71.5,83.0,97,27,1,1,0,1,3,8,12,9,9,9,3
UBCV,2025,W,SOCI,302,,101,Ethnic and Racial Inequality,Oral Robinson,54,75.9,77.5,70.25,82.0,91,54,0,1,3,1,6,4,7,8,16,4,4
UBCV,2025,W,SOCI,303,,101,Sociology of Migration,Aryan Karimi,47,80.1,83.0,74.0,88.0,100,54,0,2,1,1,3,1,6,6,6,12,9
UBCV,2025,W,SOCI,303,,201,Sociology of Migration,Iman Fadaei,71,80.0,80.0,78.0,83.0,88,57,0,0,1,1,0,1,8,18,29,13,0
UBCV,2025,W,SOCI,310,,101,Canadian Society,Oral Robinson,99,75.8,78.0,68.0,83.0,97,50,0,2,6,5,9,7,11,14,27,15,3
UBCV,2025,W,SOCI,310,,202,Canadian Society,Oral Robinson,99,79.2,81.0,75.0,86.0,95,12,1,1,2,1,1,7,15,12,31,21,7
UBCV,2025,W,SOCI,312,,202,Gender Relations,Jennifer Berdahl,12,75.8,80.5,70.0,82.75,90,52,0,1,0,1,1,1,1,0,4,2,1
UBCV,2025,W,SOCI,314,,201,Sociology of Masculinity,Tony Silva,45,72.1,74.0,66.0,80.0,92,13,1,1,3,2,8,4,11,3,5,5,2
UBCV,2025,W,SOCI,320,,101,Diversity in Family Forms,Yue Qian,89,78.3,79.0,77.0,82.0,87,41,1,1,0,3,1,2,6,34,32,9,0
UBCV,2025,W,SOCI,320,,201,Diversity in Family Forms,Rafael Wainer,45,76.0,77.0,72.0,80.0,88,64,0,0,0,0,3,7,10,12,10,3,0
UBCV,2025,W,SOCI,328,,101,Social Statistics I,Guy Stecklov,31,70.5,67.0,60.0,84.5,100,42,1,4,2,5,4,1,3,1,2,5,3
UBCV,2025,W,SOCI,328,,201,Social Statistics I,Gerry Veenstra,56,69.4,70.5,58.75,84.0,97,0,6,4,5,1,8,6,4,1,8,2,11
UBCV,2025,W,SOCI,328,,202,Social Statistics I,Elic Chan,84,76.4,77.0,71.5,82.0,88,45,1,1,0,0,8,11,11,11,26,15,0
UBCV,2025,W,SOCI,332,,201,Sociology of Adornment,Carrie Yodanis,23,80.0,83.0,76.0,85.0,92,58,0,0,1,1,0,0,3,4,4,9,1
UBCV,2025,W,SOCI,342,,101,Consumers and Consumption,Clayton Childress,75,76.4,80.0,68.0,87.0,95,25,2,3,5,4,3,6,4,6,14,13,15
UBCV,2025,W,SOCI,342,,201,Consumers and Consumption,Clayton Childress,97,75.2,77.0,66.0,86.0,100,13,2,4,4,7,13,5,8,9,12,16,17
UBCV,2025,W,SOCI,352,,101,Work and Inequality,Sylvia Fuller,82,77.3,79.0,75.25,82.0,92,23,2,0,1,1,3,4,10,23,26,11,1
UBCV,2025,W,SOCI,352,,201,Work and Inequality,Elizabeth Hirsh,21,75.6,80.0,78.0,83.0,89,0,1,1,0,1,0,0,0,7,6,5,0
UBCV,2025,W,SOCI,354,,201,Community Studies,Sean Lauer,29,75.7,80.0,69.0,87.0,93,30,1,3,0,1,1,2,1,4,7,5,4
UBCV,2025,W,SOCI,360,,101,Sociology and Natural Resources,Kathryn McConnell,72,82.5,85.5,77.5,92.0,97,50,0,1,4,2,4,3,3,5,12,14,24
UBCV,2025,W,SOCI,360,,201,Sociology and Natural Resources,David Tindall,8,57.8,80.5,14.0,87.25,93,7,3,0,0,0,0,0,0,1,1,1,2
UBCV,2025,W,SOCI,361,,101,Social Inequality,Craig Meadows,35,77.3,78.0,70.0,84.0,94,50,0,1,0,1,3,5,2,6,8,6,3
UBCV,2025,W,SOCI,361,,201,Social Inequality,Craig Meadows,20,76.0,80.0,69.0,83.5,92,45,1,1,0,0,3,1,1,1,7,3,2
UBCV,2025,W,SOCI,369,,201,Sociology of Sexualities,Tony Silva,59,71.8,74.0,66.0,80.0,94,23,3,1,5,2,7,7,10,7,11,4,2
UBCV,2025,W,SOCI,370,,301,Sociological Theories: Classical and Contemporary Approaches,Kerry Greer,41,70.7,76.0,70.0,86.0,93,5,5,0,0,1,2,7,4,5,6,6,5
UBCV,2025,W,SOCI,371,,101,Classical Traditions in Theory,Laura Nelson,87,84.2,85.0,83.0,87.0,91,66,0,0,0,0,1,0,2,4,36,39,5
UBCV,2025,W,SOCI,371,,201,Classical Traditions in Theory,Chris MacKenzie,86,75.0,75.0,70.0,80.75,90,48,1,0,2,2,2,16,20,17,16,9,1
UBCV,2025,W,SOCI,372,,101,Contemporary Directions in Theory,Qiang Fu,54,85.9,91.0,84.25,92.75,95,51,0,1,2,1,1,2,2,1,4,9,31
UBCV,2025,W,SOCI,372,,201,Contemporary Directions in Theory,Seth Abrutyn,20,72.6,77.0,67.5,84.0,91,24,2,0,0,3,0,1,3,5,1,3,2
UBCV,2025,W,SOCI,380,,101,Sociological Methods: Survey Research,David Tindall,33,77.6,81.0,70.0,84.0,94,56,0,0,2,1,2,4,4,3,9,6,2
UBCV,2025,W,SOCI,380,,201,Sociological Methods: Survey Research,David Tindall,15,77.1,75.0,71.0,80.5,99,59,0,0,1,0,1,2,4,1,3,1,2
UBCV,2025,W,SOCI,380,,202,Sociological Methods: Survey Research,Kimberly Huyser,90,85.0,87.0,82.25,90.0,96,27,1,0,0,0,2,3,5,4,11,36,28
UBCV,2025,W,SOCI,381,,101,Sociological Methods: Experimental Research,Jennifer Berdahl,11,80.4,81.0,77.5,84.0,90,67,0,0,0,0,1,0,1,2,4,2,1
UBCV,2025,W,SOCI,383,,101,Sociological Methods: Historical Research,Renisa Mawani,9,78.0,80.0,77.0,80.0,86,62,0,0,0,1,0,0,1,1,4,2,0
UBCV,2025,W,SOCI,384,,101,Sociology of Health and Illness,Ethan Raker,77,79.8,81.0,77.0,85.0,92,52,0,1,0,2,3,2,6,18,22,21,2
UBCV,2025,W,SOCI,384,,201,Sociology of Health and Illness,Ethan Raker,84,77.6,80.0,73.0,84.0,88,6,2,0,0,0,6,6,13,13,26,18,0
UBCV,2025,W,SOCI,387,,101,Drugs and Society,Lindsey Richardson,86,79.6,81.0,77.0,84.0,93,19,2,0,0,0,0,5,9,13,37,17,3
UBCV,2025,W,SOCI,387,,201,Drugs and Society,Lindsey Richardson,84,77.6,81.0,76.0,85.0,92,9,4,0,0,0,2,6,8,12,29,19,4
UBCV,2025,W,SOCI,414,,101,Feminist Theory,Brandy Wiebe,24,66.6,68.5,58.75,77.0,85,35,2,1,5,1,3,1,4,3,2,2,0
UBCV,2025,W,SOCI,414,,201,Feminist Theory,Brandy Wiebe,18,72.9,77.0,66.25,80.0,86,50,0,1,2,0,3,1,0,5,5,1,0
UBCV,2025,W,SOCI,415,A,101,Theories of Family and Kinship,Alyssa Alexander,34,83.6,84.5,80.25,89.0,92,60,0,0,0,1,1,0,0,5,10,11,6
UBCV,2025,W,SOCI,415,A,102,Theories of Family and Kinship,Alyssa Alexander,34,84.0,85.5,79.0,89.0,93,60,0,0,0,1,0,0,2,7,4,14,6
UBCV,2025,W,SOCI,415,A,103,Theories of Family and Kinship,Silvia Bartolic,28,81.8,84.5,74.75,87.0,92,70,0,0,0,0,0,1,7,2,4,12,2
UBCV,2025,W,SOCI,415,A,104,Theories of Family and Kinship,Alyssa Alexander,32,84.9,87.0,84.75,89.25,95,29,1,0,0,0,0,0,1,1,5,16,8
UBCV,2025,W,SOCI,415,A,201,Theories of Family and Kinship,Alyssa Alexander,32,82.2,85.5,81.75,88.0,91,44,2,0,0,0,2,0,0,1,7,14,6
UBCV,2025,W,SOCI,415,A,202,Theories of Family and Kinship,Alyssa Alexander,34,84.4,87.0,82.75,88.75,92,59,0,0,1,0,1,0,1,4,2,19,6
UBCV,2025,W,SOCI,415,A,203,Theories of Family and Kinship,Alyssa Alexander,29,83.7,85.0,81.0,88.0,93,61,0,0,0,1,0,1,1,1,10,12,3
UBCV,2025,W,SOCI,418,,101,Social Statistics II,Yue Qian,15,73.4,75.0,69.5,79.5,91,41,1,0,1,0,1,2,3,3,1,2,1
UBCV,2025,W,SOCI,420,,101,Sociology of the Environment,Andrew Jorgenson,24,83.8,85.5,77.5,90.25,100,57,0,0,1,0,1,1,2,3,4,3,9
UBCV,2025,W,SOCI,442,,201,Families and Work,Sylvia Fuller,26,79.7,79.0,75.0,84.5,92,64,0,0,0,0,1,0,8,4,6,5,2
