Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,SPAN,101,,101,Beginners' Spanish I,Maria Adelaida Escobar Trujillo,46,80.2,84.0,71.25,91.75,96,44,1,2,1,1,3,4,2,5,4,10,13
UBCV,2025,W,SPAN,101,,102,Beginners' Spanish I,Maria Adelaida Escobar Trujillo,46,81.8,84.5,76.25,89.75,96,29,1,0,1,1,0,1,6,5,8,11,12
UBCV,2025,W,SPAN,101,,103,Beginners' Spanish I,Olga Albarran Caselles,48,82.4,84.0,75.0,92.25,97,45,1,0,1,1,0,6,5,1,10,10,13
UBCV,2025,W,SPAN,101,,104,Beginners' Spanish I,Olga Albarran Caselles,47,87.0,90.0,85.5,93.5,98,34,1,1,0,0,0,1,3,1,2,8,30
UBCV,2025,W,SPAN,101,,105,Beginners' Spanish I,Iris Escuer Riera,36,75.7,79.0,73.5,86.25,94,22,4,1,0,0,0,3,3,9,5,5,6
UBCV,2025,W,SPAN,101,,106,Beginners' Spanish I,Iris Escuer Riera,45,73.6,78.0,63.0,86.0,97,23,4,1,1,6,4,3,0,4,8,3,11
UBCV,2025,W,SPAN,101,,107,Beginners' Spanish I,Olga Albarran Caselles,39,79.0,80.0,73.5,90.0,99,43,1,2,0,2,1,1,6,4,7,3,12
UBCV,2025,W,SPAN,101,,108,Beginners' Spanish I,Andrea Roca,45,79.0,84.0,74.0,88.0,99,31,2,0,3,2,1,3,2,5,6,11,10
UBCV,2025,W,SPAN,101,,109,Beginners' Spanish I,Andrea Roca,47,85.2,86.0,80.0,94.0,99,41,1,0,0,2,0,1,1,4,11,10,17
UBCV,2025,W,SPAN,101,,110,Beginners' Spanish I,Brianne Orr-Alvarez,45,83.0,85.0,80.0,90.0,97,56,0,0,1,0,1,4,3,2,11,11,12
UBCV,2025,W,SPAN,101,,111,Beginners' Spanish I,Andrea Roca,45,84.5,86.0,79.0,90.0,98,62,0,0,0,3,2,0,2,5,7,11,15
UBCV,2025,W,SPAN,101,,112,Beginners' Spanish I,Iris Escuer Riera,41,74.4,76.0,69.0,86.0,93,0,1,2,0,3,3,3,5,11,1,8,4
UBCV,2025,W,SPAN,102,,201,Beginners' Spanish II,Maria Adelaida Escobar Trujillo,45,79.2,83.0,74.0,89.0,97,32,2,0,1,3,1,3,5,4,6,9,11
UBCV,2025,W,SPAN,102,,202,Beginners' Spanish II,Iris Escuer Riera,36,72.3,77.0,63.0,84.0,92,11,3,2,1,4,1,2,4,3,8,5,3
UBCV,2025,W,SPAN,102,,203,Beginners' Spanish II,Maria Soledad Fernandez Utrera,23,72.4,75.0,64.5,81.5,94,50,0,4,0,2,2,2,2,1,7,1,2
UBCV,2025,W,SPAN,102,,204,Beginners' Spanish II,Iris Escuer Riera,37,75.4,79.0,71.0,85.0,95,8,2,0,3,3,0,2,2,7,7,6,5
UBCV,2025,W,SPAN,102,,205,Beginners' Spanish II,Brianne Orr-Alvarez,39,84.2,85.0,81.0,88.5,98,67,0,0,0,0,1,1,3,2,12,10,10
UBCV,2025,W,SPAN,102,,206,Beginners' Spanish II,Andrea Roca,47,78.7,80.0,70.0,86.0,96,54,0,1,1,2,2,8,3,3,13,7,7
UBCV,2025,W,SPAN,102,,207,Beginners' Spanish II,Maria Adelaida Escobar Trujillo,36,82.5,86.5,77.75,90.0,96,51,0,1,1,1,0,1,2,6,4,10,10
UBCV,2025,W,SPAN,102,,208,Beginners' Spanish II,Andrea Roca,22,76.1,76.5,70.0,83.0,96,58,0,0,2,0,2,4,3,2,5,3,1
UBCV,2025,W,SPAN,103,,101,Intensive Beginners' Spanish,Stephanie Spacciante,31,79.0,86.0,71.0,94.0,99,0,1,1,1,3,1,1,2,2,3,5,11
UBCV,2025,W,SPAN,103,,201,Intensive Beginners' Spanish,Stephanie Spacciante,29,79.1,81.0,72.0,90.0,100,50,0,3,0,1,2,1,4,3,4,3,8
UBCV,2025,W,SPAN,201,,101,Elementary Spanish I,Maria Carbonetti,38,74.8,77.0,66.25,85.0,92,30,1,1,2,4,2,2,5,3,7,6,5
UBCV,2025,W,SPAN,201,,102,Elementary Spanish I,Maria Carbonetti,30,76.6,76.0,72.25,86.75,94,25,1,0,1,1,1,3,8,2,3,6,4
UBCV,2025,W,SPAN,201,,103,Elementary Spanish I,Stephanie Spacciante,21,75.0,75.0,65.0,84.0,95,54,0,1,1,2,3,1,5,1,2,1,4
UBCV,2025,W,SPAN,201,,104,Elementary Spanish I,Stephanie Spacciante,27,73.4,76.0,65.5,84.0,98,18,1,3,0,2,2,2,3,3,5,3,3
UBCV,2025,W,SPAN,201,,105,Elementary Spanish I,Maria Adelaida Escobar Trujillo,55,78.9,81.0,73.5,86.5,96,37,1,2,1,0,2,4,8,7,10,10,10
UBCV,2025,W,SPAN,202,,201,Elementary Spanish II,Stephanie Spacciante,33,70.6,73.0,61.0,81.0,97,31,3,3,1,3,3,3,1,4,6,2,4
UBCV,2025,W,SPAN,202,,202,Elementary Spanish II,Stephanie Spacciante,33,78.0,80.0,73.0,85.0,98,50,0,2,0,4,1,1,5,3,8,2,7
UBCV,2025,W,SPAN,202,,203,Elementary Spanish II,Olga Albarran Caselles,34,76.7,80.5,67.25,90.75,98,18,2,1,1,3,2,4,1,1,4,2,13
UBCV,2025,W,SPAN,202,,204,Elementary Spanish II,Olga Albarran Caselles,33,83.0,86.0,75.0,91.0,98,54,0,1,0,2,1,3,2,2,3,5,14
UBCV,2025,W,SPAN,203,,201,Intensive Elementary Spanish,Iris Escuer Riera,30,80.9,81.0,79.0,85.0,94,57,0,0,1,0,0,1,2,9,7,7,3
UBCV,2025,W,SPAN,221,,101,Introduction to Hispanic Literature,Raul Alvarez Moreno,24,80.2,80.0,76.75,84.25,90,73,0,0,0,0,0,0,5,6,7,4,2
UBCV,2025,W,SPAN,301,,101,Intermediate Spanish I,Brianne Orr-Alvarez,50,85.0,85.5,81.0,89.0,98,72,0,0,0,0,0,0,3,5,15,17,10
UBCV,2025,W,SPAN,301,,102,Intermediate Spanish I,Maria Carbonetti,41,81.3,82.0,77.0,85.0,93,65,0,0,0,0,1,0,3,10,16,9,2
UBCV,2025,W,SPAN,302,,201,Intermediate Spanish II,Brianne Orr-Alvarez,54,89.2,90.0,86.0,93.0,98,78,0,0,0,0,0,0,0,1,8,15,30
UBCV,2025,W,SPAN,308,,101,Spanish for Business,Raul Alvarez Moreno,11,81.2,80.0,77.5,85.5,88,75,0,0,0,0,0,0,1,4,2,4,0
UBCV,2025,W,SPAN,321,,101,Tradition and Diversity in Spanish History and Culture,Maria Soledad Fernandez Utrera,9,78.8,79.0,68.0,87.0,94,64,0,0,0,0,2,1,1,1,0,2,2
UBCV,2025,W,SPAN,357,,101,The Golden Age of Peninsular Literature and Culture,,16,81.6,80.0,78.5,84.5,93,75,0,0,0,0,0,0,2,3,7,2,2
UBCV,2025,W,SPAN,358,,201,Divergent Visions: Peninsular Lit and Culture since 1700,,17,80.8,81.0,76.0,86.0,96,61,0,0,0,1,0,1,1,5,4,2,3
UBCV,2025,W,SPAN,364,,101,Colonial Encounters in Spanish-American Lit and Culture,,25,82.8,84.0,80.0,86.0,90,68,0,0,0,0,0,2,1,3,7,11,1
UBCV,2025,W,SPAN,365,,201,Modern Magics: Spanish-American Literature and Culture since the 1820s,,22,77.5,80.0,69.75,87.25,94,42,1,1,0,0,1,3,1,4,4,3,4
UBCV,2025,W,SPAN,402,,201,Upper Intermediate Spanish II,Maria Adelaida Escobar Trujillo,32,87.2,87.5,85.5,92.0,95,68,0,0,0,0,0,1,0,2,5,11,13
