Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,STAT,200,,101,Elementary Statistics for Applications,Jonathan Agyeman,325,69.1,71.0,63.0,80.0,94,18,26,8,21,28,42,40,52,26,47,26,9
UBCV,2025,W,STAT,200,,103,Elementary Statistics for Applications,Kenny Chiu,307,75.6,77.0,69.0,85.0,97,29,9,5,15,14,19,31,43,41,52,49,29
UBCV,2025,W,STAT,200,,202,Elementary Statistics for Applications,Lasantha Premarathna Wijendra Acharige,279,71.2,73.0,63.0,82.0,99,0,20,14,19,21,30,22,34,28,39,23,29
UBCV,2025,W,STAT,201,,201,Statistical Inference for Data Science,Jonathan Agyeman,210,72.7,74.5,67.0,83.0,97,0,10,8,13,10,14,27,25,25,35,26,17
UBCV,2025,W,STAT,201,,202,Statistical Inference for Data Science,Marie Auger-Methe,222,80.0,81.0,74.0,87.0,98,15,2,2,4,3,10,25,18,23,53,42,40
UBCV,2025,W,STAT,201,,203,Statistical Inference for Data Science,Jonathan Agyeman,113,72.8,74.0,66.0,82.0,99,21,8,2,3,8,14,14,11,17,14,12,10
UBCV,2025,W,STAT,203,,103,Statistical Methods,Jonathan Agyeman,141,73.4,74.0,67.0,81.0,98,28,5,5,8,4,16,14,29,18,15,16,11
UBCV,2025,W,STAT,251,,101,Elementary Statistics,Lasantha Premarathna Wijendra Acharige,343,74.3,76.0,66.0,84.0,100,15,8,24,15,26,27,31,36,44,48,43,41
UBCV,2025,W,STAT,251,,201,Elementary Statistics,Lasantha Premarathna Wijendra Acharige,362,72.0,73.0,63.0,82.0,99,0,15,20,26,34,28,45,43,34,43,35,39
UBCV,2025,W,STAT,300,,101,Intermediate Statistics for Applications,Lasantha Premarathna Wijendra Acharige,177,77.1,79.0,71.0,85.0,98,52,0,6,10,1,10,23,17,29,30,41,10
UBCV,2025,W,STAT,300,,201,Intermediate Statistics for Applications,Bruce Dunham,142,73.4,74.0,65.25,83.0,95,2,4,4,8,12,14,17,19,11,22,18,13
UBCV,2025,W,STAT,301,,101,Statistical Modelling for Data Science,Vivian Meng,162,77.1,77.0,71.0,86.0,99,17,4,0,9,7,9,16,23,21,22,26,25
UBCV,2025,W,STAT,301,,102,Statistical Modelling for Data Science,Gabriela Cohen Freue,133,85.1,88.0,80.0,93.0,100,3,2,1,1,1,4,5,3,12,15,32,57
UBCV,2025,W,STAT,302,,101,Introduction to Probability,Matias Salibian-Barrera,141,73.8,75.0,69.0,81.0,91,12,1,2,10,6,10,22,20,29,23,13,5
UBCV,2025,W,STAT,302,,201,Introduction to Probability,Daniel McDonald,149,72.2,74.0,64.0,81.0,100,12,7,7,10,13,11,19,17,20,16,18,11
UBCV,2025,W,STAT,302,,202,Introduction to Probability,Trevor Campbell,141,71.7,72.0,65.0,81.0,96,13,6,3,10,10,15,22,22,13,16,16,8
UBCV,2025,W,STAT,305,,101,Introduction to Statistical Inference,Natalia Nolde,124,71.1,71.5,64.0,80.25,97,10,4,7,8,9,14,20,12,14,18,8,10
UBCV,2025,W,STAT,305,,202,Introduction to Statistical Inference,Benjamin Bloem-Reddy; Saifuddin Syed,126,81.3,83.0,74.25,91.75,100,2,2,2,3,5,1,10,10,16,20,17,40
UBCV,2025,W,STAT,306,,101,Finding Relationships in Data,Rodolfo Lourenzutti,117,71.6,77.0,67.0,83.0,96,15,13,0,3,5,10,13,11,15,24,16,7
UBCV,2025,W,STAT,306,,201,Finding Relationships in Data,Kenny Chiu,134,73.9,77.0,68.25,84.0,94,22,11,1,5,6,9,13,17,13,26,23,10
UBCV,2025,W,STAT,344,,101,Sample Surveys,Lang Wu,125,74.0,75.0,67.0,80.0,97,38,1,6,8,6,12,11,22,14,22,14,9
UBCV,2025,W,STAT,404,,101,Design and Analysis of Experiments,William Welch,126,80.2,81.0,76.0,86.0,99,14,1,0,1,2,1,13,13,25,29,22,19
UBCV,2025,W,STAT,405,,202,Bayesian Statistics,Charles Margossian; Alexandre Bouchard-Cote,24,78.8,77.5,72.75,86.25,93,63,0,0,0,1,1,3,4,5,2,5,3
UBCV,2025,W,STAT,405,,203,Bayesian Statistics,Charles Margossian; Alexandre Bouchard-Cote,19,77.9,80.0,71.5,86.0,93,60,0,0,0,1,2,2,2,2,4,4,2
UBCV,2025,W,STAT,405,,204,Bayesian Statistics,Charles Margossian; Alexandre Bouchard-Cote,29,80.1,80.0,75.0,85.0,94,63,0,0,0,1,1,1,7,4,5,5,5
UBCV,2025,W,STAT,406,,101,Methods for Statistical Learning,Geoffrey Pleiss,138,83.6,84.0,81.0,87.75,98,2,1,0,0,0,2,1,4,17,48,41,24
UBCV,2025,W,STAT,443,,202,Time Series and Forecasting,Harry Sue Wah Joe,127,66.7,66.0,57.0,76.0,100,0,6,13,26,9,15,7,18,10,7,7,9
UBCV,2025,W,STAT,450,,201,Case Studies in Statistics,Rodolfo Lourenzutti; Grace Tompkins; Bruce Dunham,26,90.8,92.0,89.5,93.0,95,81,0,0,0,0,0,0,0,0,1,6,19
UBCV,2025,W,STAT,460,,101,Statistical Inference I,Benjamin Bloem-Reddy; Daniel McDonald,11,90.0,90.0,83.5,95.5,99,82,0,0,0,0,0,0,0,0,4,1,6
UBCV,2025,W,STAT,461,,201,Statistical Inference II,Jiahua Chen,9,86.2,88.0,78.0,92.0,95,75,0,0,0,0,0,0,1,2,0,2,4
