Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,ARTH,101,,001,Art and Visual Cultures of the World I,Nathalie Hager;Suzanne Gott,71,66.845070423,19.680772260999998,96.0,8.0,10,5,,7,,9,5,8,10,,6
UBCO,2014,W,ARTH,101,,OVERALL,Art and Visual Cultures of the World I,,71,66.845070423,19.680772260999998,96.0,8.0,10,5,,7,,9,5,8,10,,6
UBCO,2014,W,ARTH,102,,001,Art and Visual Cultures of the World II,Nathalie Hager;Suzanne Gott,37,70.837837838,18.576438951,97.0,0.0,,,,,,8,5,,,6,
UBCO,2014,W,ARTH,102,,OVERALL,Art and Visual Cultures of the World II,,37,70.837837838,18.576438951,97.0,0.0,,,,,,8,5,,,6,
UBCO,2014,W,ARTH,115,,001,Popular Music and Visual Cultures,Daryl Ritchot;Robert Belton,45,71.377777778,19.802764830999998,93.0,0.0,,,,,,5,5,,6,11,
UBCO,2014,W,ARTH,115,,OVERALL,Popular Music and Visual Cultures,,45,71.377777778,19.802764830999998,93.0,0.0,,,,,,5,5,,6,11,
UBCO,2014,W,ARTH,202,,001,The Critical Viewer,Carolyn Machardy,37,75.18918918899999,11.558637554,94.0,45.0,,,,,,,6,6,,5,5
UBCO,2014,W,ARTH,202,,OVERALL,The Critical Viewer,,37,75.18918918899999,11.558637554,94.0,45.0,,,,,,,6,6,,5,5
UBCO,2014,W,ARTH,203,,001,Global Contemporary Art,Carolyn Machardy,29,76.793103448,9.476961954,94.0,55.0,,,,,,,,10,,,
UBCO,2014,W,ARTH,203,,OVERALL,Global Contemporary Art,,29,76.793103448,9.476961954,94.0,55.0,,,,,,,,10,,,
UBCO,2014,W,ARTH,301,,001,Critical Viewing - Advanced Studies,Robert Belton,42,70.928571429,11.267031243,91.0,30.0,,,,,,6,7,9,8,,
UBCO,2014,W,ARTH,301,,OVERALL,Critical Viewing - Advanced Studies,,42,70.928571429,11.267031243,91.0,30.0,,,,,,6,7,9,8,,
UBCO,2014,W,ARTH,321,,001,Art in Canada 1970 to the Present,Carolyn Machardy,29,73.13793103399999,14.510400550999998,91.0,19.0,,,,5,,,,6,,7,
UBCO,2014,W,ARTH,321,,OVERALL,Art in Canada 1970 to the Present,,29,73.13793103399999,14.510400550999998,91.0,19.0,,,,5,,,,6,,7,
UBCO,2014,W,ARTH,323,,001,"Creative Activism: Art, Media, and Social Justice",Ruthann Lee,16,81.3125,8.49092653,94.0,57.0,,,,,,,,,7,,
UBCO,2014,W,ARTH,323,,OVERALL,"Creative Activism: Art, Media, and Social Justice",,16,81.3125,8.49092653,94.0,57.0,,,,,,,,,7,,
UBCO,2014,W,ARTH,324,,001,Sound Art and Experimental Music,Robert Belton,20,75.4,6.824105878999999,87.0,55.0,,,,,,,,7,5,,
UBCO,2014,W,ARTH,324,,OVERALL,Sound Art and Experimental Music,,20,75.4,6.824105878999999,87.0,55.0,,,,,,,,7,5,,
UBCO,2014,W,ARTH,380,,001,African Art and Visual Culture,Suzanne Gott,38,64.105263158,16.446127407,94.0,2.0,,,5,,,7,,,,,
UBCO,2014,W,ARTH,380,,OVERALL,African Art and Visual Culture,,38,64.105263158,16.446127407,94.0,2.0,,,5,,,7,,,,,
UBCO,2014,W,ARTH,402,,001,The Cinema of Alfred Hitchcock,Robert Belton,30,80.033333333,6.6616935470000005,90.0,60.0,,,,,,,,,18,,
UBCO,2014,W,ARTH,402,,OVERALL,The Cinema of Alfred Hitchcock,,30,80.033333333,6.6616935470000005,90.0,60.0,,,,,,,,,18,,
UBCO,2014,W,ARTH,460,D,001,Selected Topics,Suzanne Gott,20,73.7,14.462656085999999,96.0,55.0,,,6,,,,,,,,
UBCO,2014,W,ARTH,460,D,OVERALL,Selected Topics,,20,73.7,14.462656085999999,96.0,55.0,,,6,,,,,,,,
UBCO,2014,W,ARTH,460,F,001,Selected Topics,Carolyn Machardy,25,71.6,18.652524405,90.0,0.0,,,,,,,,,,,
UBCO,2014,W,ARTH,460,F,OVERALL,Selected Topics,,25,71.6,18.652524405,90.0,0.0,,,,,,,,,,,
