Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,CHEM,111,,001,Principles of Chemistry I,Tamara Kunz,33,58.545454545,14.669464265,89.0,34.0,13,,6,,,,,,,,
UBCO,2014,W,CHEM,111,,002,Principles of Chemistry I,Tamara Kunz,43,59.46511627899999,15.002140859,82.0,20.0,11,,6,7,,5,,,,,
UBCO,2014,W,CHEM,111,,003,Principles of Chemistry I,W. Stephen Mcneil,20,64.25,20.521811247,95.0,19.0,5,,1,,,,5,,,,
UBCO,2014,W,CHEM,111,,OVERALL,Principles of Chemistry I,,96,60.145833333,16.151245132,95.0,19.0,29,,13,10,6,7,10,9,,,
UBCO,2014,W,CHEM,113,,001,Principles of Chemistry II,Tamara Kunz,28,57.107142857,18.010982834,94.0,18.0,12,,,,,,,,,,
UBCO,2014,W,CHEM,113,,002,Principles of Chemistry II,Tamara Kunz,32,61.90625,9.877832383,83.0,44.0,5,,8,6,,6,,,,,
UBCO,2014,W,CHEM,113,,003,Principles of Chemistry II,Allan Vaisius,9,65.0,9.899494937,77.0,51.0,0,,,,,,,,,,
UBCO,2014,W,CHEM,113,,OVERALL,Principles of Chemistry II,,69,60.362318841000004,13.897705073,94.0,18.0,17,,11,10,5,9,8,,,,
UBCO,2014,W,CHEM,121,,001,Atomic and Molecular Chemistry,Tamara Kunz,211,65.071090047,18.242015037,99.0,3.0,48,2.0,18,13,19,21,31,13,19,15,12
UBCO,2014,W,CHEM,121,,002,Atomic and Molecular Chemistry,Tamara Kunz,178,66.415730337,15.69901144,94.0,0.0,30,4.0,14,17,21,24,15,17,17,13,6
UBCO,2014,W,CHEM,121,,003,Atomic and Molecular Chemistry,W. Stephen Mcneil,112,69.089285714,16.390259452000002,97.0,15.0,17,1.0,5,11,12,12,11,13,10,8,12
UBCO,2014,W,CHEM,121,,OVERALL,Atomic and Molecular Chemistry,,501,66.447105788,17.000344014,99.0,0.0,95,7,37,41,52,57,57,43,46,36,30
UBCO,2014,W,CHEM,123,,001,Physical and Organic Chemistry,Tamara Kunz,228,67.631578947,15.079094352,98.0,9.0,35,4.0,21,29,22,24,22,13,21,22,15
UBCO,2014,W,CHEM,123,,002,Physical and Organic Chemistry,Tamara Kunz,136,67.61764705899999,14.494984483,95.0,2.0,22,0.0,13,13,12,19,15,12,13,11,6
UBCO,2014,W,CHEM,123,,003,Physical and Organic Chemistry,Allan Vaisius,76,65.921052632,15.341241285999999,94.0,6.0,13,1.0,5,12,6,10,8,10,4,4,3
UBCO,2014,W,CHEM,123,,OVERALL,Physical and Organic Chemistry,,440,67.33181818199999,14.926818792,98.0,2.0,70,5,39,54,40,53,45,35,38,37,24
