Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,SOCW,500,,001,Foundations of Clinical Social Work Theory,Brian Rasmussen,37,85.18918919,5.00465249,95.0,73.0,0,0,0,0,0,0,,,14,13,6
UBCO,2014,W,SOCW,500,,OVERALL,Foundations of Clinical Social Work Theory,,37,85.18918919,5.00465249,95.0,73.0,0,0,0,0,0,0,,,14,13,6
UBCO,2014,W,SOCW,501,,001,Foundations of Clinical Social Work Practice,Brian Rasmussen,21,86.14285714,3.182541662,93.0,80.0,0,0,0,0,0,0,0,0,7,12,2.0
UBCO,2014,W,SOCW,501,,002,Foundations of Clinical Social Work Practice,Brian Rasmussen,16,81.875,5.1623638,88.0,70.0,0,0,0,0,0,,,,6,6,0
UBCO,2014,W,SOCW,501,,OVERALL,Foundations of Clinical Social Work Practice,,37,84.2972973,4.61798937,93.0,70.0,0,0,0,0,0,,,,13,18,2.0
UBCO,2014,W,SOCW,502,,001,Clinical Social Work and Community Practice,Judy Gillespie,24,77.125,3.948720211,84.0,70.0,0,0,0,0,0,2.0,7,5,10,0,0
UBCO,2014,W,SOCW,502,,002,Clinical Social Work and Community Practice,Daniel Salhani,16,86.0,2.658320272,90.0,81.0,0,0,0,0,0,0,0,0,4,11,1.0
UBCO,2014,W,SOCW,502,,OVERALL,Clinical Social Work and Community Practice,,40,80.675,5.594812157,90.0,70.0,0,0,0,0,0,2.0,7,5,14,11,1.0
UBCO,2014,W,SOCW,503,,001,Clinical Practice and Social Policy,Daniel Salhani,24,86.66666667,2.548088229,90.0,82.0,0,0,0,0,0,0,0,0,6,16,2.0
UBCO,2014,W,SOCW,503,,002,Clinical Practice and Social Policy,Daniel Salhani,17,86.82352941,3.956565653,94.0,80.0,0,0,0,0,0,0,0,0,5,7,5
UBCO,2014,W,SOCW,503,,OVERALL,Clinical Practice and Social Policy,,41,86.73170732,3.162470476,94.0,80.0,0,0,0,0,0,0,0,0,11,23,7
UBCO,2014,W,SOCW,504,,001,Mental Health and Mental Illness,Edward Taylor,41,88.3902439,6.106873377,100.0,74.0,0,0,0,0,0,0,,,,11,22
UBCO,2014,W,SOCW,504,,OVERALL,Mental Health and Mental Illness,,41,88.3902439,6.106873377,100.0,74.0,0,0,0,0,0,0,,,,11,22
