Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2015,W,EESC,101,,001,Environmental Science,Lisa Hettrich;Robert F Friberg;Robert Friberg,121,74.67768595,18.462671744,98.0,0.0,7,2.0,5,6,6,11,10,15,24,18,17
UBCO,2015,W,EESC,101,,OVERALL,Environmental Science,,121,74.67768595,18.462671744,98.0,0.0,7,2.0,5,6,6,11,10,15,24,18,17
UBCO,2015,W,EESC,111,,001,Earth Science,Alicia Renyard;Erica Massey;Hannah Evy Cavallin;Jaida Lamming;Lisa Hettrich;Matthew Dows;Nicholas Hebda;William Mitchell;Yuan Chen,199,65.663316583,13.524471313,99.0,19.0,16,21,19,25,26,25,21,15,21,5,5
UBCO,2015,W,EESC,111,,OVERALL,Earth Science,,199,65.663316583,13.524471313,99.0,19.0,16,21,19,25,26,25,21,15,21,5,5
UBCO,2015,W,EESC,121,,001,Earth History,Robert Young,96,64.46875,12.983352195,95.0,0.0,,7,18,11,8,18,14,7,,,
UBCO,2015,W,EESC,121,,OVERALL,Earth History,,96,64.46875,12.983352195,95.0,0.0,,7,18,11,8,18,14,7,,,
UBCO,2015,W,EESC,200,,001,Mineralogy,Jaida Lamming;Yuan Chen,35,76.285714286,10.022244167,95.0,58.0,0,0,,,,,6,5,7,,
UBCO,2015,W,EESC,200,,OVERALL,Mineralogy,,35,76.285714286,10.022244167,95.0,58.0,0,0,,,,,6,5,7,,
UBCO,2015,W,EESC,201,,001,Optical Mineralogy and Petrology,Shah Faisal,17,74.117647059,8.731282501,89.0,51.0,0,,,,,,,5,,,0
UBCO,2015,W,EESC,201,,OVERALL,Optical Mineralogy and Petrology,,17,74.117647059,8.731282501,89.0,51.0,0,,,,,,,5,,,0
UBCO,2015,W,EESC,205,,001,Introduction to Hydrology,Emily Nicholson;Fes Alexander De Scally,29,74.206896552,10.019193403,96.0,49.0,,,,,5,,,5,5,,
UBCO,2015,W,EESC,205,,OVERALL,Introduction to Hydrology,,29,74.206896552,10.019193403,96.0,49.0,,,,,5,,,5,5,,
UBCO,2015,W,EESC,212,,001,Weather and Climate,Ian Saunders,15,69.266666667,9.808645361,89.0,56.0,0,0,,,,,,,,,0
UBCO,2015,W,EESC,212,,OVERALL,Weather and Climate,,15,69.266666667,9.808645361,89.0,56.0,0,0,,,,,,,,,0
UBCO,2015,W,EESC,213,,001,Introductory Forest Science and Management,Xiaohua Wei,45,67.311111111,16.33432279,93.0,24.0,5,,,,5,,6,5,5,,
UBCO,2015,W,EESC,213,,OVERALL,Introductory Forest Science and Management,,45,67.311111111,16.33432279,93.0,24.0,5,,,,5,,6,5,5,,
UBCO,2015,W,EESC,222,,001,Geomorphology,Bernard Bauer,39,69.769230769,13.033280353,91.0,32.0,,,,,6,6,,5,,5,
UBCO,2015,W,EESC,222,,OVERALL,Geomorphology,,39,69.769230769,13.033280353,91.0,32.0,,,,,6,6,,5,,5,
UBCO,2015,W,EESC,301,,001,Limnology,Anthony Friesen;Paul Curtis;Upama K C,35,75.171428571,13.45031317,94.0,22.0,,,,,,,9,5,8,6,
UBCO,2015,W,EESC,301,,OVERALL,Limnology,,35,75.171428571,13.45031317,94.0,22.0,,,,,,,9,5,8,6,
UBCO,2015,W,EESC,303,,001,Oceanography,Karen Perry,49,67.734693878,16.356415039,94.0,28.0,5,5,,8,6,,,,,,8
UBCO,2015,W,EESC,303,,OVERALL,Oceanography,,49,67.734693878,16.356415039,94.0,28.0,5,5,,8,6,,,,,,8
UBCO,2015,W,EESC,309,,001,Global Biogeochemistry,Paul Curtis;Upama K C,81,74.679012346,10.417325905,91.0,20.0,,,,,,13,13,18,17,7,
UBCO,2015,W,EESC,309,,OVERALL,Global Biogeochemistry,,81,74.679012346,10.417325905,91.0,20.0,,,,,,13,13,18,17,7,
UBCO,2015,W,EESC,313,,001,Management of Forested Watersheds,Qiang Li;Xiaohua Wei,35,78.428571429,7.781145063,91.0,61.0,0,0,0,,,,,7,11,5,
UBCO,2015,W,EESC,313,,OVERALL,Management of Forested Watersheds,,35,78.428571429,7.781145063,91.0,61.0,0,0,0,,,,,7,11,5,
UBCO,2015,W,EESC,314,,001,"Environmental Impact Assessment: Process, Regulation and Administration",Kevin Hanna,22,76.5,8.645119735,90.0,51.0,0,,,,,5,,,,,
UBCO,2015,W,EESC,314,,OVERALL,"Environmental Impact Assessment: Process, Regulation and Administration",,22,76.5,8.645119735,90.0,51.0,0,,,,,5,,,,,
