Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2015,W,IGS,501,X,001,Interdisciplinary Topics in Research Methods and Analysis,C Castricano;Jodey Castricano,5,84.0,4.472135955,91.0,79.0,0,0,0,0,0,0,0,,,,
UBCO,2015,W,IGS,501,X,OVERALL,Interdisciplinary Topics in Research Methods and Analysis,,6,85.166666667,4.915960401,91.0,79.0,0,0,0,0,0,0,0,,,,
UBCO,2015,W,IGS,501,Y,001,Interdisciplinary Topics in Research Methods and Analysis,Melissa Jacques,9,85.666666667,2.872281323,90.0,82.0,0,0,0,0,0,0,0,0,,5,
UBCO,2015,W,IGS,501,Y,OVERALL,Interdisciplinary Topics in Research Methods and Analysis,,9,85.666666667,2.872281323,90.0,82.0,0,0,0,0,0,0,0,0,,5,
UBCO,2015,W,IGS,501,Z,001,Interdisciplinary Topics in Research Methods and Analysis,Robert Colin Reid,14,84.428571429,3.155319945,90.0,78.0,0,0,0,0,0,0,0,,6,6,
UBCO,2015,W,IGS,501,Z,OVERALL,Interdisciplinary Topics in Research Methods and Analysis,,14,84.428571429,3.155319945,90.0,78.0,0,0,0,0,0,0,0,,6,6,
UBCO,2015,W,IGS,515,A,001,Advanced Qualitative Methods,John Wagner,6,85.0,10.564090117,92.0,64.0,0,0,0,0,,,,,,,
UBCO,2015,W,IGS,515,A,OVERALL,Advanced Qualitative Methods,,6,85.0,10.564090117,92.0,64.0,0,0,0,0,,,,,,,
UBCO,2015,W,IGS,520,P,001,Special Topics in Interdisciplinary Studies,Arjun Bhardwaj,5,84.0,11.895377253,92.0,63.0,0,0,0,,,,,,,,
UBCO,2015,W,IGS,520,P,OVERALL,Special Topics in Interdisciplinary Studies,,5,84.0,11.895377253,92.0,63.0,0,0,0,,,,,,,,
UBCO,2015,W,IGS,524,H,001,Proseminar in Interdisciplinary Studies,Jon Corbett,7,90.0,0.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,7
UBCO,2015,W,IGS,524,H,OVERALL,Proseminar in Interdisciplinary Studies,,7,90.0,0.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,7
UBCO,2015,W,IGS,524,J,001,Proseminar in Interdisciplinary Studies,Alison Mcmanus,18,89.666666667,4.874905731,98.0,80.0,0,0,0,0,0,0,0,0,3.0,5,10
UBCO,2015,W,IGS,524,J,OVERALL,Proseminar in Interdisciplinary Studies,,18,89.666666667,4.874905731,98.0,80.0,0,0,0,0,0,0,0,0,3.0,5,10
UBCO,2015,W,IGS,560,G,001,Special Topics in Latin American and Iberian Studies,James Rochlin,7,90.285714286,7.587583843,96.0,75.0,0,0,0,0,0,0,,,,,
UBCO,2015,W,IGS,560,G,OVERALL,Special Topics in Latin American and Iberian Studies,,7,90.285714286,7.587583843,96.0,75.0,0,0,0,0,0,0,,,,,
UBCO,2015,W,IGS,620,D,001,Advanced Topics in Interdisciplinary Studies,Alison Mcmanus,5,87.8,3.701351105,93.0,84.0,0,0,0,0,0,0,0,0,,,
UBCO,2015,W,IGS,620,D,OVERALL,Advanced Topics in Interdisciplinary Studies,,5,87.8,3.701351105,93.0,84.0,0,0,0,0,0,0,0,0,,,
