Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,S,CHEM,121,,001,Atomic and Molecular Chemistry,Richard Federley,34,68.64705882,12.33099655,95.0,47.0,4,0.0,3,6,1,7,3,3,3,3,1
UBCO,2016,S,CHEM,121,,OVERALL,Atomic and Molecular Chemistry,,34,68.64705882,12.33099655,95.0,47.0,4,0.0,3,6,1,7,3,3,3,3,1
UBCO,2016,S,CHEM,123,,001,Physical and Organic Chemistry,Richard Federley,45,65.71111111,14.7272509,96.0,19.0,8,1.0,5,4,5,6,6,3,3,2,2
UBCO,2016,S,CHEM,123,,OVERALL,Physical and Organic Chemistry,,45,65.71111111,14.7272509,96.0,19.0,8,1.0,5,4,5,6,6,3,3,2,2
UBCO,2016,S,CHEM,203,,001,Introduction to Organic Chemistry,Roger Sherwood,15,61.46666667,16.57824162,100.0,40.0,5,0.0,2,2,1,0,3,0,1,0,1
UBCO,2016,S,CHEM,203,,OVERALL,Introduction to Organic Chemistry,,15,61.46666667,16.57824162,100.0,40.0,5,0.0,2,2,1,0,3,0,1,0,1
UBCO,2016,S,CHEM,204,,001,Organic Chemistry,Roger Sherwood,15,58.93333333,16.13986487,100.0,32.0,4,1.0,4,1,1,2,1,0,0,0,1
UBCO,2016,S,CHEM,204,,OVERALL,Organic Chemistry,,15,58.93333333,16.13986487,100.0,32.0,4,1.0,4,1,1,2,1,0,0,0,1
UBCO,2016,S,CHEM,213,,001,Organic Chemistry for Biological Sciences I,Leonard Lermer,43,64.76744186,17.12675046,93.0,31.0,11,2.0,1,3,6,5,1,3,5,2,4
UBCO,2016,S,CHEM,213,,OVERALL,Organic Chemistry for Biological Sciences I,,43,64.76744186,17.12675046,93.0,31.0,11,2.0,1,3,6,5,1,3,5,2,4
UBCO,2016,S,CHEM,214,,001,Organic Chemistry for Biological Sciences II,Leonard Lermer,42,57.88095238,18.58034942,92.0,27.0,17,3.0,5,1,3,1,1,2,4,3,2
UBCO,2016,S,CHEM,214,,OVERALL,Organic Chemistry for Biological Sciences II,,42,57.88095238,18.58034942,92.0,27.0,17,3.0,5,1,3,1,1,2,4,3,2
