Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,MGMT,100,,001,Introduction to Canadian Business,David Ralph;Haleh Barmaki,91,61.65934066,13.18856389,88.0,13.0,15,6.0,12.0,12.0,15,13.0,7,4,5,2,0
UBCO,2016,W,MGMT,100,,002,Introduction to Canadian Business,Brogan Whatley;David Ralph,87,64.6091954,12.85189003,84.0,7.0,11,4.0,5.0,12.0,10,20.0,13,6,6,0,0
UBCO,2016,W,MGMT,100,,101,Introduction to Canadian Business,Emily Latter;Ying Zhu,99,76.95959596,17.66925105,99.0,0.0,11,0.0,2.0,2.0,2,7.0,8,10,18,16,23
UBCO,2016,W,MGMT,100,,102,Introduction to Canadian Business,Emily Latter;Ying Zhu,92,76.05434783,18.2126415,97.0,0.0,7,0.0,2.0,5.0,5,5.0,8,13,11,20,16
UBCO,2016,W,MGMT,100,,OVERALL,Introduction to Canadian Business,,369,70.04878049,17.10462704,99.0,0.0,44,10.0,21.0,31.0,32,45.0,36,33,40,38,39
UBCO,2016,W,MGMT,200,,001,Personal and Corporate Social Responsibility,Dini Van Eck;Eric Zvaniga;Jenel Mckenney,150,77.14,5.122695914,89.0,60.0,0,0.0,0.0,2.0,4,12.0,37,43,40,12,0
UBCO,2016,W,MGMT,200,,101,Personal and Corporate Social Responsibility,Dini Van Eck;Eric Zvaniga,123,73.30894309,6.665460373,86.0,50.0,0,3.0,1.0,2.0,11,30.0,27,24,20,5,0
UBCO,2016,W,MGMT,200,,OVERALL,Personal and Corporate Social Responsibility,,273,75.41391941,6.160305541,89.0,50.0,0,3.0,1.0,4.0,15,42.0,64,67,60,17,0
UBCO,2016,W,MGMT,301,,001,Introduction to Financial Accounting,Graeme Yamagishi;Shuo Yu Kao;Shuo Yu Kevin Kao;Stephanie Madahar;Suresh Badlani;Tamara Ebl;Tiana Verigin;Xiaozheng Ma,48,75.14583333,12.04775883,96.0,50.0,0,3.0,3.0,2.0,5,7.0,5,3,7,9,4
UBCO,2016,W,MGMT,301,,002,Introduction to Financial Accounting,Graeme Yamagishi;Shuo Yu Kao;Shuo Yu Kevin Kao;Stephanie Madahar;Suresh Badlani;Tamara Ebl;Tiana Verigin;Xiaozheng Ma,46,76.39130435,13.37240652,96.0,34.0,1,3.0,1.0,4.0,2,3.0,3,6,8,9,6
UBCO,2016,W,MGMT,301,,003,Introduction to Financial Accounting,Graeme Yamagishi;Shuo Yu Kao;Shuo Yu Kevin Kao;Stephanie Madahar;Suresh Badlani;Tamara Ebl;Tiana Verigin;Xiaozheng Ma,65,81.81538462,10.45510089,100.0,40.0,1,0.0,1.0,1.0,1,6.0,4,9,11,18,13
UBCO,2016,W,MGMT,301,,OVERALL,Introduction to Financial Accounting,,159,78.2327044,12.14688321,100.0,34.0,2,6.0,5.0,7.0,8,16.0,12,18,26,36,23
UBCO,2016,W,MGMT,302,,101,Introduction to Managerial Accounting,Graeme Yamagishi;Kimberly Owuor;Shuo Yu Kao;Stephanie Madahar;Suresh Badlani;Tamara Ebl;Tiana Verigin,48,70.625,9.840483036,98.0,52.0,0,1.0,3.0,7.0,11,4.0,8,7,3,1,3
UBCO,2016,W,MGMT,302,,102,Introduction to Managerial Accounting,Graeme Yamagishi;Kimberly Owuor;Shuo Yu Kao;Stephanie Madahar;Suresh Badlani;Tamara Ebl;Tiana Verigin,45,70.37777778,9.398473979,97.0,51.0,0,3.0,2.0,4.0,9,7.0,9,4,4,2,1
UBCO,2016,W,MGMT,302,,103,Introduction to Managerial Accounting,Graeme Yamagishi;Kimberly Owuor;Shuo Yu Kao;Stephanie Madahar;Suresh Badlani;Tamara Ebl;Tiana Verigin,64,74.9375,9.604686356,100.0,56.0,0,0.0,2.0,3.0,10,8.0,15,7,8,6,5
UBCO,2016,W,MGMT,302,,OVERALL,Introduction to Managerial Accounting,,157,72.31210191,9.804403448,100.0,51.0,0,4.0,7.0,14.0,30,19.0,32,18,15,9,9
UBCO,2016,W,MGMT,310,,101,Introduction to Finance,Elena Mitropolsky;John D Henderson;John Henderson,49,75.20408163,10.15910838,95.0,52.0,0,2.0,2.0,2.0,4,5.0,10,7,7,5,5
UBCO,2016,W,MGMT,310,,102,Introduction to Finance,Elena Mitropolsky;John D Henderson;John Henderson,46,72.32608696,13.58112145,95.0,14.0,1,3.0,2.0,2.0,3,10.0,8,2,7,4,4
UBCO,2016,W,MGMT,310,,103,Introduction to Finance,Elena Mitropolsky;John D Henderson;John Henderson,62,79.74193548,8.685649525,96.0,51.0,0,1.0,0.0,0.0,1,10.0,11,9,9,10,11
UBCO,2016,W,MGMT,310,,OVERALL,Introduction to Finance,,157,76.15286624,11.14368029,96.0,14.0,1,6.0,4.0,4.0,8,25.0,29,18,23,19,20
UBCO,2016,W,MGMT,320,,001,Introduction to Marketing,Gurleen Madurai;Jessica Rosebaugh;Lauren Legan;Ping Li,47,82.42553192,3.843371939,89.0,66.0,0,0.0,0.0,0.0,1,0.0,1,5,25,15,0
UBCO,2016,W,MGMT,320,,002,Introduction to Marketing,Gurleen Madurai;Jessica Rosebaugh;Lauren Legan;Ping Li,44,82.09090909,4.23066426,90.0,70.0,0,0.0,0.0,0.0,0,1.0,3,5,25,9,1
