Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2017,S,ECON,101,,001,Principles of Microeconomics,Khan Islam;Tazul Islam,34,69.97058824,20.85227303,97.0,0.0,2,0.0,3.0,4.0,4.0,3,3,2.0,7,2,4
UBCO,2017,S,ECON,101,,101,Principles of Microeconomics,Tazul Islam,27,65.18518519,15.83092649,90.0,33.0,5,3.0,1.0,1.0,1.0,4,6,0.0,3,2,1
UBCO,2017,S,ECON,101,,OVERALL,Principles of Microeconomics,,61,67.85245902,18.80145036,97.0,0.0,7,3.0,4.0,5.0,5.0,7,9,2.0,10,4,5
UBCO,2017,S,ECON,102,,001,Principles of Macroeconomics,Karl Pinno;Tazul Islam,33,71.18181818,18.04586959,95.0,0.0,1,2.0,3.0,6.0,0.0,2,5,2.0,3,5,4
UBCO,2017,S,ECON,102,,OVERALL,Principles of Macroeconomics,,33,71.18181818,18.04586959,95.0,0.0,1,2.0,3.0,6.0,0.0,2,5,2.0,3,5,4
UBCO,2017,S,ECON,331,,001,World Economy since 1800,Peter Wylie,18,91.55555556,3.203347922,97.0,85.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,3,15
UBCO,2017,S,ECON,331,,OVERALL,World Economy since 1800,,18,91.55555556,3.203347922,97.0,85.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,3,15
UBCO,2017,S,ECON,345,,001,Money and Banking,Khan Islam,32,73.4375,12.40951118,96.0,46.0,2,1.0,0.0,2.0,4.0,5,3,4.0,4,5,2
UBCO,2017,S,ECON,345,,OVERALL,Money and Banking,,32,73.4375,12.40951118,96.0,46.0,2,1.0,0.0,2.0,4.0,5,3,4.0,4,5,2
UBCO,2017,S,ECON,355,,001,International Trade,Karl Pinno;Tazul Islam,28,79.92857143,10.73218963,100.0,56.0,0,0.0,1.0,0.0,2.0,3,3,7.0,2,5,5
UBCO,2017,S,ECON,355,,OVERALL,International Trade,,28,79.92857143,10.73218963,100.0,56.0,0,0.0,1.0,0.0,2.0,3,3,7.0,2,5,5
UBCO,2017,S,ECON,358,,001,Competitiveness in the International Economy,Peter Wylie,18,91.83333333,3.129555503,96.0,86.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,4,14
UBCO,2017,S,ECON,358,,OVERALL,Competitiveness in the International Economy,,18,91.83333333,3.129555503,96.0,86.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,4,14
