Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2017,S,VISA,102,,001,Drawing and Two-Dimensional Art Practices I,Patrick Lundeen;Tannis Nielsen,13,77.846153846,7.744311394,92.0,66.0,0,0,0,0.0,2,1,1,4,2,2,1
UBCO,2017,S,VISA,102,,002,Drawing and Two-Dimensional Art Practices I,Amy Modahl;Tannis Nielsen,10,75.5,8.289886744,85.0,55.0,0,0,1,0.0,0,1,0,5,2,1,0
UBCO,2017,S,VISA,102,,OVERALL,Drawing and Two-Dimensional Art Practices I,,23,76.826086957,7.88930331,92.0,55.0,0,0,1,0.0,2,2,1,9,4,3,1
UBCO,2017,S,VISA,106,,001,Introduction to Digital Media I,Jon Corbett;Jon Michael Robert Corbett,27,75.0,6.866865817,88.0,64.0,0,0,0,0.0,4,4,6,7,2,4,0
UBCO,2017,S,VISA,106,,OVERALL,Introduction to Digital Media I,,27,75.0,6.866865817,88.0,64.0,0,0,0,0.0,4,4,6,7,2,4,0
UBCO,2017,S,VISA,108,,101,Introduction to Digital Media II,Jon Corbett;Jon Michael Robert Corbett,15,76.4,16.092589244,94.0,26.0,1,0,1,0.0,0,0,1,4,5,2,1
UBCO,2017,S,VISA,108,,OVERALL,Introduction to Digital Media II,,15,76.4,16.092589244,94.0,26.0,1,0,1,0.0,0,0,1,4,5,2,1
UBCO,2017,S,VISA,110,,001,Studies in Photography,Andreas Rutkauskas,26,74.615384615,8.495066442,84.0,56.0,0,0,3,1.0,1,2,6,2,11,0,0
UBCO,2017,S,VISA,110,,OVERALL,Studies in Photography,,26,74.615384615,8.495066442,84.0,56.0,0,0,3,1.0,1,2,6,2,11,0,0
UBCO,2017,S,VISA,460,H,101,Special Topics in Visual Art,Katherine Pickering,9,79.444444444,11.359039474,89.0,54.0,0,1,0,0.0,0,1,1,0,3,3,0
UBCO,2017,S,VISA,460,H,OVERALL,Special Topics in Visual Art,,9,79.444444444,11.359039474,89.0,54.0,0,1,0,0.0,0,1,1,0,3,3,0
