Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2017,W,JPST,100,,001,Beginning Japanese Language I,Mayu Takasaki,33,72.15151515,22.40134094,96.0,4.0,3,0.0,1,4,2.0,3.0,3,2,5,4,6
UBCO,2017,W,JPST,100,,002,Beginning Japanese Language I,Mayu Takasaki,34,67.32352941,22.22027546,94.0,20.0,8,1.0,1,1,2.0,0.0,6,2,6,1,6
UBCO,2017,W,JPST,100,,003,Beginning Japanese Language I,Nina Langton,27,64.59259259,23.86219936,92.0,7.0,4,1.0,4,3,0.0,3.0,0,5,2,0,5
UBCO,2017,W,JPST,100,,OVERALL,Beginning Japanese Language I,,94,68.23404255,22.73003107,96.0,4.0,15,2.0,6,8,4.0,6.0,9,9,13,5,17
UBCO,2017,W,JPST,101,,001,Beginning Japanese Language II,Alwyn Spies,16,67.5625,30.28083828,96.0,0.0,5,0.0,1,0,0.0,0.0,2,0,1,1,6
UBCO,2017,W,JPST,101,,002,Beginning Japanese Language II,Alwyn Spies,25,79.48,15.5566706,95.0,13.0,1,0.0,0,0,0.0,2.0,3,4,5,6,4
UBCO,2017,W,JPST,101,,OVERALL,Beginning Japanese Language II,,41,74.82926829,22.88438599,96.0,0.0,6,0.0,1,0,0.0,2.0,5,4,6,7,10
UBCO,2017,W,JPST,200,,001,Continuing Japanese Language I,Alwyn Spies,13,78.61538462,15.1632146,96.0,46.0,1,0.0,0,1,2.0,1.0,0,0,2,2,4
UBCO,2017,W,JPST,200,,OVERALL,Continuing Japanese Language I,,13,78.61538462,15.1632146,96.0,46.0,1,0.0,0,1,2.0,1.0,0,0,2,2,4
UBCO,2017,W,JPST,201,,001,Continuing Japanese Language II,Mayu Takasaki,6,64.83333333,20.58559367,92.0,33.0,1,1.0,0,0,1.0,0.0,1,1,0,0,1
UBCO,2017,W,JPST,201,,OVERALL,Continuing Japanese Language II,,6,64.83333333,20.58559367,92.0,33.0,1,1.0,0,0,1.0,0.0,1,1,0,0,1
UBCO,2017,W,JPST,215,,101,Introduction to Contemporary Japan Through Pop Culture,Mayu Takasaki;Nina Langton,17,71.05882353,16.76853671,92.0,20.0,1,1.0,1,1,0.0,2.0,3,3,3,1,1
UBCO,2017,W,JPST,215,,OVERALL,Introduction to Contemporary Japan Through Pop Culture,,17,71.05882353,16.76853671,92.0,20.0,1,1.0,1,1,0.0,2.0,3,3,3,1,1
UBCO,2017,W,JPST,300,,001,Japanese Through Manga: Business Culture,Mayu Takasaki,13,75.0,24.80591327,92.0,0.0,1,0.0,0,2,0.0,1.0,0,0,3,3,3
UBCO,2017,W,JPST,300,,OVERALL,Japanese Through Manga: Business Culture,,13,75.0,24.80591327,92.0,0.0,1,0.0,0,2,0.0,1.0,0,0,3,3,3
UBCO,2017,W,JPST,354,,001,Introduction to Japanese Cinema,Nina Langton,20,70.35,10.79607629,88.0,51.0,0,2.0,1,3,1.0,2.0,4,2,3,2,0
UBCO,2017,W,JPST,354,,OVERALL,Introduction to Japanese Cinema,,20,70.35,10.79607629,88.0,51.0,0,2.0,1,3,1.0,2.0,4,2,3,2,0
