Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2017,W,PHYS,111,,001,Introductory Physics for the Physical Sciences I,Araz Sholehkerdar;Ben Tippett;Cole Niclas Priestman;Cole Priestman;Emma Richardson;Ethan Tang;Garen Goh;John Hopkinson;Nicholas Kayban;Sean Colford;Stephanie Hamilton,183,70.25136612,16.955733764,99.0,0.0,24,5,13,24,19,10,14,17,15,11,31
UBCO,2017,W,PHYS,111,,002,Introductory Physics for the Physical Sciences I,Araz Sholehkerdar;Emma Richardson;Garen Goh;Jake Bobowski;Mitchell Wiebe;Nicholas Kayban;Sean Colford;Stephanie Hamilton,119,75.428571429,14.051703213,100.0,24.0,5,2.0,6,8,14,10,9,22,12,10,21
UBCO,2017,W,PHYS,111,,OVERALL,Introductory Physics for the Physical Sciences I,,302,72.291390728,16.05186337,100.0,0.0,29,7,19,32,33,20,23,39,27,21,52
UBCO,2017,W,PHYS,112,,001,Introductory Physics for the Life Sciences I,Allison Percy;Andrew Ogilvy;Araz Sholehkerdar;Ben Tippett;Ethan Tang;Ngoc Hieu Hoang,191,73.183246073,15.175913462,100.0,2.0,17,2.0,6,12,11,22,28,23,31,19,20
UBCO,2017,W,PHYS,112,,002,Introductory Physics for the Life Sciences I,Allison Percy;Andrew Ogilvy;Araz Sholehkerdar;David Mcfarlane Roberts;David Roberts;Jake Bobowski;John Hopkinson;Tobyn Neame,198,72.474747475,13.975572187000001,100.0,0.0,17,7,5,17,17,21,22,30,18,26,18
UBCO,2017,W,PHYS,112,,OVERALL,Introductory Physics for the Life Sciences I,,389,72.822622108,14.562765057,100.0,0.0,34,9,11,29,28,43,50,53,49,45,38
UBCO,2017,W,PHYS,121,,101,Introductory Physics for the Physical Sciences II,Araz Sholehkerdar;Ben Tippett;Mitchell Wiebe;Ramie Ali Adeeb;Ramie Nguyen Ali Adeeb,213,72.90140845100001,17.732941521,100.0,2.0,16,10,12,15,11,19,26,16,34,21,33
UBCO,2017,W,PHYS,121,,OVERALL,Introductory Physics for the Physical Sciences II,,213,72.90140845100001,17.732941521,100.0,2.0,16,10,12,15,11,19,26,16,34,21,33
UBCO,2017,W,PHYS,122,,101,Introductory Physics for the Life Sciences II,Allison Percy;Andrew Ogilvy;Araz Sholehkerdar;John Hopkinson;Kaden Kujanpaa;Kai Neubauer;Miranda Kirby;Ramie Ali Adeeb;Ramie Nguyen Ali Adeeb,210,75.342857143,11.438479984,100.0,46.0,1.0,6,14,13,17,34,18,26,37,19,25
UBCO,2017,W,PHYS,122,,102,Introductory Physics for the Life Sciences II,Andrew Ogilvy;Araz Sholehkerdar;John Hopkinson;Kaden Kujanpaa;Kai Neubauer;Miranda Kirby;Ramie Ali Adeeb;Ramie Nguyen Ali Adeeb,111,77.162162162,12.047286032,95.0,3.0,1.0,1,5,6,5,11,14,17,20,18,13
