Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,W,BIOC,304,,001,Molecular Biochemistry I,Kristi Yearwood;Larissa Traas;Richard Plunkett,119,82.941176471,8.98802793,96.0,31.0,2,0,1,0.0,1,3,11.0,17,26,30,28
UBCO,2018,W,BIOC,304,,OVERALL,Molecular Biochemistry I,,119,82.941176471,8.98802793,96.0,31.0,2,0,1,0.0,1,3,11.0,17,26,30,28
UBCO,2018,W,BIOC,305,,101,Molecular Biochemistry II,Kristi Yearwood;Larissa Traas;Richard Plunkett,96,78.822916667,13.723583076,99.0,5.0,1,3,5,2.0,3,9,6.0,14,15,18,20
UBCO,2018,W,BIOC,305,,OVERALL,Molecular Biochemistry II,,96,78.822916667,13.723583076,99.0,5.0,1,3,5,2.0,3,9,6.0,14,15,18,20
UBCO,2018,W,BIOC,307,,001,Enology I,Daniel Durall,29,80.206896552,11.427971043,95.0,50.0,0,1,0,0.0,3,5,3.0,1,3,5,8
UBCO,2018,W,BIOC,307,,OVERALL,Enology I,,29,80.206896552,11.427971043,95.0,50.0,0,1,0,0.0,3,5,3.0,1,3,5,8
UBCO,2018,W,BIOC,308,,001,Pharmacology I,Andis Klegeris;Jessica Harrison,81,70.012345679,11.20546053,90.0,41.0,2,6,7,9.0,5,9,14.0,15,6,7,1
UBCO,2018,W,BIOC,308,,OVERALL,Pharmacology I,,81,70.012345679,11.20546053,90.0,41.0,2,6,7,9.0,5,9,14.0,15,6,7,1
UBCO,2018,W,BIOC,309,,101,Pharmacology II,Jessica Harrison;Sanjoy Ghosh,68,71.588235294,13.82970553,94.0,39.0,2,7,5,8.0,5,7,6.0,4,8,6,10
UBCO,2018,W,BIOC,309,,OVERALL,Pharmacology II,,68,71.588235294,13.82970553,94.0,39.0,2,7,5,8.0,5,7,6.0,4,8,6,10
UBCO,2018,W,BIOC,310,,001,Plant Chemistry,Jillian Forsyth;Susan Murch,33,83.636363636,13.605647223,100.0,54.0,0,1,0,0.0,3,5,2.0,1,6,1,14
UBCO,2018,W,BIOC,310,,OVERALL,Plant Chemistry,,33,83.636363636,13.605647223,100.0,54.0,0,1,0,0.0,3,5,2.0,1,6,1,14
UBCO,2018,W,BIOC,393,,101,Biochemistry Laboratory,April L. Mahovlic;April Mahovlic;Brendan D'Souza;Drake Poirier;Gabriel Zavala;Jacqueline Alexandra Barnett;Jacqueline Barnett;Jiayu Ye;John Winkler;Mackenzie Moore;Osei Boakye Fordwour;Osei Fordwour;Richard Plunkett,86,87.093023256,9.264261384,100.0,55.0,0,0,2,1.0,1,1,3.0,5,14,16,43
UBCO,2018,W,BIOC,393,,OVERALL,Biochemistry Laboratory,,86,87.093023256,9.264261384,100.0,55.0,0,0,2,1.0,1,1,3.0,5,14,16,43
UBCO,2018,W,BIOC,402,,001,Proteins: Structure and Function,Thu Thuy Dang,61,75.278688525,12.70450202,94.0,37.0,3,1,4,0.0,7,6,5.0,10,8,9,8
UBCO,2018,W,BIOC,402,,OVERALL,Proteins: Structure and Function,,61,75.278688525,12.70450202,94.0,37.0,3,1,4,0.0,7,6,5.0,10,8,9,8
UBCO,2018,W,BIOC,403,,101,Enzymology,Kirsten Wolthers,23,77.869565217,17.360625114,97.0,34.0,2,0,1,0.0,1,2,3.0,0,3,6,5
UBCO,2018,W,BIOC,403,,OVERALL,Enzymology,,23,77.869565217,17.360625114,97.0,34.0,2,0,1,0.0,1,2,3.0,0,3,6,5
UBCO,2018,W,BIOC,407,,101,The Biochemical Basis of Disease,Andis Klegeris;Sarah Green;Sarah J. Green,46,74.326086957,11.662007351,95.0,51.0,0,3,2,3.0,4,5,7.0,5,5,8,4
UBCO,2018,W,BIOC,407,,OVERALL,The Biochemical Basis of Disease,,46,74.326086957,11.662007351,95.0,51.0,0,3,2,3.0,4,5,7.0,5,5,8,4
UBCO,2018,W,BIOC,410,,001,Nucleic Acids - Structure and Function,Isaac Li,37,79.675675676,12.436626137,100.0,46.0,1,2,1,0.0,2,0,3.0,5,10,4,9
UBCO,2018,W,BIOC,410,,OVERALL,Nucleic Acids - Structure and Function,,37,79.675675676,12.436626137,100.0,46.0,1,2,1,0.0,2,0,3.0,5,10,4,9
