Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,W,CRWR,150,,001,Introduction to Writing Poetry and Non-Fiction,Cara Fionn Johnston;Laisha Rosnau;Victoria Alvarez,30,79.6,7.412012617,89.0,55.0,0,0.0,1,0.0,1.0,2.0,3,4.0,13,6,0
UBCO,2018,W,CRWR,150,,002,Introduction to Writing Poetry and Non-Fiction,Laisha Rosnau;Matthew Lee Rader;Yining Ooi,35,78.08571429,20.59750332,92.0,0.0,2,0.0,0,1.0,1.0,2.0,0,1.0,13,13,2
UBCO,2018,W,CRWR,150,,OVERALL,Introduction to Writing Poetry and Non-Fiction,,65,78.78461539,15.83853322,92.0,0.0,2,0.0,1,1.0,2.0,4.0,3,5.0,26,19,2
UBCO,2018,W,CRWR,160,,001,Introduction to Writing Fiction and Drama,Adam Schroeder;Anne Fleming;Richard Amante,38,74.86842105,9.897231534,87.0,50.0,0,3.0,1,0.0,2.0,5.0,5,7.0,10,5,0
UBCO,2018,W,CRWR,160,,101,Introduction to Writing Fiction and Drama,Adam Schroeder;Alexandra Campos;Alexandra Livier Campos;Laisha Rosnau,40,82.0,11.10093551,95.0,28.0,1,0.0,0,0.0,0.0,3.0,3,4.0,8,15,6
UBCO,2018,W,CRWR,160,,OVERALL,Introduction to Writing Fiction and Drama,,78,78.52564103,11.0614862,95.0,28.0,1,3.0,1,0.0,2.0,8.0,8,11.0,18,20,6
UBCO,2018,W,CRWR,205,,101,Writing Popular Fiction,Ashley J Little;Ashley Little;Richard Amante,35,82.0,14.03566885,93.0,20.0,2,0.0,0,0.0,0.0,0.0,2,2.0,13,5,11
UBCO,2018,W,CRWR,205,,OVERALL,Writing Popular Fiction,,35,82.0,14.03566885,93.0,20.0,2,0.0,0,0.0,0.0,0.0,2,2.0,13,5,11
UBCO,2018,W,CRWR,216,,002,Intermediate Workshop in Creative Writing: Poetry,Michael Smith;Nancy Holmes,9,74.66666667,6.946221995,87.0,62.0,0,0.0,0,1.0,0.0,2.0,3,1.0,1,1,0
UBCO,2018,W,CRWR,216,,OVERALL,Intermediate Workshop in Creative Writing: Poetry,,9,74.66666667,6.946221995,87.0,62.0,0,0.0,0,1.0,0.0,2.0,3,1.0,1,1,0
UBCO,2018,W,CRWR,217,,001,Intermediate Workshop in Creative Writing: Fiction,Anne Fleming;Matthew Lee Rader,17,79.35294118,9.061878782,89.0,57.0,0,0.0,1,1.0,0.0,0.0,3,3.0,4,5,0
UBCO,2018,W,CRWR,217,,OVERALL,Intermediate Workshop in Creative Writing: Fiction,,17,79.35294118,9.061878782,89.0,57.0,0,0.0,1,1.0,0.0,0.0,3,3.0,4,5,0
UBCO,2018,W,CRWR,250,,001,Workshop in Creative Writing: Screenwriting,Hilary Janzen;Hilary N Janzen;Michael Smith,29,75.55172414,10.04129405,90.0,39.0,1,0.0,1,1.0,0.0,5.0,2,6.0,10,2,1
UBCO,2018,W,CRWR,250,,OVERALL,Workshop in Creative Writing: Screenwriting,,29,75.55172414,10.04129405,90.0,39.0,1,0.0,1,1.0,0.0,5.0,2,6.0,10,2,1
UBCO,2018,W,CRWR,260,,001,Theory and Practice of Creative Writing,Matthew Lee Rader,18,80.5,5.943360111,90.0,67.0,0,0.0,0,0.0,1.0,0.0,3,6.0,4,3,1
UBCO,2018,W,CRWR,260,,OVERALL,Theory and Practice of Creative Writing,,18,80.5,5.943360111,90.0,67.0,0,0.0,0,0.0,1.0,0.0,3,6.0,4,3,1
UBCO,2018,W,CRWR,310,,001,The Power of Metaphor,Cristalle Smith;Nancy Holmes,20,68.6,19.92723606,85.0,15.0,2,0.0,2,1.0,1.0,0.0,4,2.0,7,1,0
UBCO,2018,W,CRWR,310,,OVERALL,The Power of Metaphor,,20,68.6,19.92723606,85.0,15.0,2,0.0,2,1.0,1.0,0.0,4,2.0,7,1,0
UBCO,2018,W,CRWR,380,,001,Writing of the Short Story,Anne Fleming;Laisha Rosnau,14,80.85714286,8.891284781,93.0,67.0,0,0.0,0,0.0,1.0,2.0,2,0.0,4,2,3
UBCO,2018,W,CRWR,380,,OVERALL,Writing of the Short Story,,14,80.85714286,8.891284781,93.0,67.0,0,0.0,0,0.0,1.0,2.0,2,0.0,4,2,3
UBCO,2018,W,CRWR,381,,001,Writing of Poetry,Matthew Lee Rader,11,77.36363636,14.22865227,94.0,55.0,0,0.0,1,2.0,1.0,0.0,0,0.0,1,5,1
UBCO,2018,W,CRWR,381,,OVERALL,Writing of Poetry,,11,77.36363636,14.22865227,94.0,55.0,0,0.0,1,2.0,1.0,0.0,0,0.0,1,5,1
UBCO,2018,W,CRWR,384,,001,Spoken Word,Denise Kenney,7,79.42857143,10.35788175,87.0,57.0,0,0.0,1,0.0,0.0,0.0,0,1.0,3,2,0
UBCO,2018,W,CRWR,384,,OVERALL,Spoken Word,,7,79.42857143,10.35788175,87.0,57.0,0,0.0,1,0.0,0.0,0.0,0,1.0,3,2,0
UBCO,2018,W,CRWR,470,A,001,Portfolio,Anne Fleming;Nancy Holmes,15,84.8,5.440588203,92.0,73.0,0,0.0,0,0.0,0.0,0.0,2,0.0,3,9,1
UBCO,2018,W,CRWR,470,A,OVERALL,Portfolio,,15,84.8,5.440588203,92.0,73.0,0,0.0,0,0.0,0.0,0.0,2,0.0,3,9,1
UBCO,2018,W,CRWR,471,,001,Writing of the Novel,Anne Fleming,13,80.69230769,10.78103748,93.0,56.0,0,0.0,1,0.0,0.0,2.0,2,0.0,0,6,2
UBCO,2018,W,CRWR,471,,OVERALL,Writing of the Novel,,13,80.69230769,10.78103748,93.0,56.0,0,0.0,1,0.0,0.0,2.0,2,0.0,0,6,2
UBCO,2018,W,CRWR,473,,001,Writing and Community Learning,Nancy Holmes,7,81.42857143,5.826867164,88.0,74.0,0,0.0,0,0.0,0.0,0.0,2,1.0,2,2,0
UBCO,2018,W,CRWR,473,,OVERALL,Writing and Community Learning,,7,81.42857143,5.826867164,88.0,74.0,0,0.0,0,0.0,0.0,0.0,2,1.0,2,2,0
UBCO,2018,W,CRWR,474,,001,Writing with Media,Michael Smith,12,77.0,19.37664949,87.0,17.0,1,0.0,0,0.0,0.0,0.0,1,1.0,5,4,0
UBCO,2018,W,CRWR,474,,OVERALL,Writing with Media,,12,77.0,19.37664949,87.0,17.0,1,0.0,0,0.0,0.0,0.0,1,1.0,5,4,0
UBCO,2018,W,CRWR,580,C,001,Graduate Workshop in Creative Writing,Matthew Lee Rader,8,86.75,5.391792705,93.0,75.0,0,0.0,0,0.0,0.0,0.0,1,0.0,1,4,2
UBCO,2018,W,CRWR,580,C,OVERALL,Graduate Workshop in Creative Writing,,8,86.75,5.391792705,93.0,75.0,0,0.0,0,0.0,0.0,0.0,1,0.0,1,4,2
