Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,W,GWST,100,,001,"Gender, Race, Sexuality, and Power I: An Introduction",Andrea Keber;Mylene Gamache,92,72.717391304,13.953869120999999,94.0,14.0,,,,,,16,20,11,16,8,
UBCO,2018,W,GWST,100,,002,"Gender, Race, Sexuality, and Power I: An Introduction",Deirdre Gaine;Mylene Gamache,88,72.875,14.342135095,92.0,7.0,,,,,7,16,13,13,18,9,
UBCO,2018,W,GWST,110,,101,"Gender, Race, Sexuality, and Power II: Everyday Life",Deirdre Gaine;Heather Latimer,58,73.189655172,16.32827372,95.0,8.0,,,,,,5,5,11,14,6,
UBCO,2018,W,GWST,216,,101,Critical Foundations: Feminism and Difference,Mylene Gamache,15,75.6,21.148454857,88.0,2.0,,,,,,,,,5,5,
UBCO,2018,W,GWST,235,,001,Laughing Feminisms: Gender and Humour,Alison Conway,22,73.590909091,10.177749264,89.0,45.0,,,,,,5,,7,,,
UBCO,2018,W,GWST,323,,101,"Feminist Epistemologies: Gender, Science, and Knowledge",Heather Latimer,26,71.423076923,20.207272110999998,90.0,0.0,,,,,,,,,5,5,
UBCO,2018,W,GWST,333,,001,Perspectives on Gendered Bodies,Mylene Gamache,26,78.423076923,8.29541115,93.0,62.0,,,,,,,,,8,,
UBCO,2018,W,GWST,430,,101,Femininities,Mylene Gamache,20,74.3,18.57870881,95.0,9.0,,,,,,,,,,,
UBCO,2018,W,GWST,435,,101,Women and Religion,Alison Conway,15,71.93333333300001,20.352138065,89.0,4.0,,,,,,,5,,,,
UBCO,2018,W,GWST,495,P,001,Topics in Women's Studies,Heather Latimer,14,75.785714286,8.586022375,85.0,55.0,,,,,,,,,5,,
