Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,W,HMKN,100,,001,"Health, Fitness, and Lifestyle",Alexandre M Santos;Alexandre Santos;Gina Whitaker;Kaela Cranston;Kelsey R Wuerstl;Kelsey Wuerstl;Kendra Todd;Tanya Forneris,238,79.092436975,10.794975856,96.0,0.0,4,2.0,2,10.0,8,11,30.0,38.0,46,67.0,20.0
UBCO,2018,W,HMKN,100,,OVERALL,"Health, Fitness, and Lifestyle",,238,79.092436975,10.794975856,96.0,0.0,4,2.0,2,10.0,8,11,30.0,38.0,46,67.0,20.0
UBCO,2018,W,HMKN,101,,001,Biomechanics,Hogun Kang;Jonathan Smirl;Justine Magnuson;Tanya Forneris,239,72.058577406,13.682040599,99.0,0.0,9,11.0,24,17.0,22,25,28.0,30.0,29,21.0,23.0
UBCO,2018,W,HMKN,101,,OVERALL,Biomechanics,,239,72.058577406,13.682040599,99.0,0.0,9,11.0,24,17.0,22,25,28.0,30.0,29,21.0,23.0
UBCO,2018,W,HMKN,105,,001,Canadian Health Care System,Andrew Hughes;Sarah Lawrason;Tanya Forneris,258,85.755813953,6.079760478,99.0,69.0,0,0.0,0,0.0,0,4,9.0,26.0,71,68.0,80.0
UBCO,2018,W,HMKN,105,,OVERALL,Canadian Health Care System,,258,85.755813953,6.079760478,99.0,69.0,0,0.0,0,0.0,0,4,9.0,26.0,71,68.0,80.0
UBCO,2018,W,HMKN,190,,001,Functional Anatomy and Applied Physiology I,Brooke Shafer;Helena Neudorf;Jinelle Gelinas;Liam Tapsell;Tanya Forneris;Tyler Vermeulen;Zoe Soon,239,78.217573222,11.039784089,100.0,43.0,2,0.0,8,16.0,16,25,30.0,28.0,37,41.0,36.0
UBCO,2018,W,HMKN,190,,OVERALL,Functional Anatomy and Applied Physiology I,,239,78.217573222,11.039784089,100.0,43.0,2,0.0,8,16.0,16,25,30.0,28.0,37,41.0,36.0
UBCO,2018,W,HMKN,191,,001,Functional Anatomy and Applied Physiology II,Alyssa Koziol;Brooke Shafer;Mathew Debenham;Nicole Hargreaves;Tanya Forneris;Tyler Vermeulen;Zoe Soon,225,77.986666667,11.483870676,100.0,52.0,0,5.0,11,11.0,16,22,35.0,21.0,35,29.0,40.0
UBCO,2018,W,HMKN,191,,OVERALL,Functional Anatomy and Applied Physiology II,,225,77.986666667,11.483870676,100.0,52.0,0,5.0,11,11.0,16,22,35.0,21.0,35,29.0,40.0
UBCO,2018,W,HMKN,200,,001,Exercise Physiology I,Gregory Dumanoir;Hannah Caldwell;Hannah G Caldwell;Jinelle Gelinas;John Sasso;Jordan Carr;Mathew G Rieger;Mathew Rieger;Tanya Forneris,171,74.631578947,11.332874998,98.0,41.0,6,2.0,8,10.0,19,17,26.0,26.0,22,17.0,18.0
UBCO,2018,W,HMKN,200,,OVERALL,Exercise Physiology I,,171,74.631578947,11.332874998,98.0,41.0,6,2.0,8,10.0,19,17,26.0,26.0,22,17.0,18.0
UBCO,2018,W,HMKN,201,,001,Exercise Psychology,Matthew Stork;Tanya Forneris;Tineke Dineen,200,78.71,10.84175346,100.0,0.0,1,2.0,6,5.0,4,20,27.0,32.0,52,29.0,22.0
UBCO,2018,W,HMKN,201,,OVERALL,Exercise Psychology,,200,78.71,10.84175346,100.0,0.0,1,2.0,6,5.0,4,20,27.0,32.0,52,29.0,22.0
UBCO,2018,W,HMKN,202,,001,Human Motor Behaviour I,Brian Dalton;Liam Tapsell;Megan Trotman;Tanya Forneris,165,78.006060606,11.777664356,100.0,31.0,3,2.0,7,8.0,13,13,12.0,22.0,30,27.0,28.0
UBCO,2018,W,HMKN,202,,OVERALL,Human Motor Behaviour I,,165,78.006060606,11.777664356,100.0,31.0,3,2.0,7,8.0,13,13,12.0,22.0,30,27.0,28.0
UBCO,2018,W,HMKN,203,,001,Lifespan Physical and Motor Development,Garett Jackson;Garett S Jackson;Zoe Soon,162,78.62962963,9.00026838,100.0,55.0,0,0.0,2,4.0,7,24,27.0,25.0,30,23.0,20.0
UBCO,2018,W,HMKN,203,,OVERALL,Lifespan Physical and Motor Development,,162,78.62962963,9.00026838,100.0,55.0,0,0.0,2,4.0,7,24,27.0,25.0,30,23.0,20.0
UBCO,2018,W,HMKN,205,,001,Methods of Data Analysis,Alexandre M Santos;Alexandre Santos;Robert Colin Reid;Tanya Forneris,203,78.532019704,9.897629947,99.0,45.0,1,2.0,4,8.0,7,29,22.0,31.0,39,33.0,27.0
UBCO,2018,W,HMKN,205,,OVERALL,Methods of Data Analysis,,203,78.532019704,9.897629947,99.0,45.0,1,2.0,4,8.0,7,29,22.0,31.0,39,33.0,27.0
UBCO,2018,W,HMKN,206,,001,Health Research Methods,Courtney Brown;Nicole Hargreaves;Tanya Forneris,235,79.65106383,10.535935096,97.0,0.0,2,2.0,4,5.0,6,13,27.0,30.0,61,54.0,31.0
